problem, nodes, solutions, fails, time, optimum
abz5.fjs, 627367, 0, 313455, timeout, none
abz6.fjs, 264806, 0, 132177, timeout, none
abz7.fjs, 69459, 0, 33478, timeout, none
abz8.fjs, 27629, 0, 12569, timeout, none
abz9.fjs, 60115, 0, 28802, timeout, none
car1.fjs, 650209, 0, 324984, timeout, none
car2.fjs, 719473, 0, 359607, timeout, none
car3.fjs, 540460, 0, 270085, timeout, none
car4.fjs, 625236, 0, 312466, timeout, none
car5.fjs, 646710, 0, 323226, timeout, none
car6.fjs, 532661, 0, 266200, timeout, none
car7.fjs, 827796, 0, 413819, timeout, none
car8.fjs, 468038, 0, 233904, timeout, none
la01.fjs, 1203636, 0, 601715, timeout, none
la02.fjs, 1373300, 0, 686547, timeout, none
la03.fjs, 1387819, 0, 693804, timeout, none
la04.fjs, 1925320, 0, 962554, timeout, none
la05.fjs, 997222, 0, 498508, timeout, none
la06.fjs, 463737, 0, 231631, timeout, none
la07.fjs, 1004817, 0, 502175, timeout, none
la08.fjs, 562265, 0, 280896, timeout, none
la09.fjs, 565064, 0, 282294, timeout, none
la10.fjs, 735682, 0, 367613, timeout, none
la11.fjs, 263854, 0, 131512, timeout, none
la12.fjs, 263240, 0, 131208, timeout, none
la13.fjs, 379656, 0, 189418, timeout, none
la14.fjs, 489719, 0, 244443, timeout, none
la15.fjs, 314868, 0, 157018, timeout, none
la16.fjs, 268137, 0, 133842, timeout, none
la17.fjs, 396248, 0, 197897, timeout, none
la18.fjs, 333768, 0, 166657, timeout, none
la19.fjs, 396285, 0, 197915, timeout, none
la20.fjs, 512539, 0, 256042, timeout, none
la21.fjs, 252565, 0, 125816, timeout, none
la22.fjs, 203220, 0, 101140, timeout, none
la23.fjs, 358900, 0, 178975, timeout, none
la24.fjs, 227609, 0, 113341, timeout, none
la25.fjs, 144573, 0, 71825, timeout, none
la26.fjs, 110548, 0, 54443, timeout, none
la27.fjs, 79923, 0, 39131, timeout, none
la28.fjs, 65240, 0, 31780, timeout, none
la29.fjs, 80622, 0, 39479, timeout, none
la30.fjs, 81155, 0, 39743, timeout, none
la31.fjs, 50580, 0, 23476, timeout, none
la32.fjs, 47185, 0, 21780, timeout, none
la33.fjs, 50528, 0, 23444, timeout, none
la34.fjs, 29371, 0, 12858, timeout, none
la35.fjs, 28694, 0, 12535, timeout, none
la36.fjs, 97245, 0, 47908, timeout, none
la37.fjs, 187517, 0, 93045, timeout, none
la38.fjs, 108790, 0, 53672, timeout, none
la39.fjs, 120151, 0, 59364, timeout, none
la40.fjs, 51706, 0, 25139, timeout, none
mt06.fjs, 2588736, 0, 1294315, timeout, none
mt10.fjs, 455210, 0, 227377, timeout, none
mt20.fjs, 263160, 0, 131164, timeout, none
orb1.fjs, 443555, 0, 221555, timeout, none
orb2.fjs, 680462, 0, 340002, timeout, none
orb3.fjs, 440591, 0, 220070, timeout, none
orb4.fjs, 899315, 0, 449431, timeout, none
orb5.fjs, 507627, 0, 253588, timeout, none
orb6.fjs, 446266, 0, 222910, timeout, none
orb7.fjs, 637730, 0, 318636, timeout, none
orb8.fjs, 445538, 0, 222544, timeout, none
orb9.fjs, 329477, 0, 164512, timeout, none
orb10.fjs, 263766, 0, 131657, timeout, none
