problem, nodes, solutions, fails, time, optimum
abz5.fjs, 383475, 0, 191510, timeout, none
abz6.fjs, 103779, 0, 51664, timeout, none
abz7.fjs, 18884, 0, 8191, timeout, none
abz8.fjs, 6259, 0, 1885, timeout, none
abz9.fjs, 15795, 0, 6643, timeout, none
car1.fjs, 288156, 0, 143958, timeout, none
car2.fjs, 313676, 0, 156709, timeout, none
car3.fjs, 239125, 0, 119418, timeout, none
car4.fjs, 269441, 0, 134569, timeout, none
car5.fjs, 343542, 0, 171642, timeout, none
car6.fjs, 322886, 0, 161313, timeout, none
car7.fjs, 343012, 0, 171428, timeout, none
car8.fjs, 209603, 0, 104687, timeout, none
la01.fjs, 575174, 0, 287484, timeout, none
la02.fjs, 661225, 0, 330510, timeout, none
la03.fjs, 656589, 0, 328190, timeout, none
la04.fjs, 1077094, 0, 538441, timeout, none
la05.fjs, 354553, 0, 177174, timeout, none
la06.fjs, 177214, 0, 88370, timeout, none
la07.fjs, 590549, 0, 295041, timeout, none
la08.fjs, 255329, 0, 127429, timeout, none
la09.fjs, 258861, 0, 129193, timeout, none
la10.fjs, 473511, 0, 236528, timeout, none
la11.fjs, 101331, 0, 50251, timeout, none
la12.fjs, 102120, 0, 50649, timeout, none
la13.fjs, 195688, 0, 97435, timeout, none
la14.fjs, 273286, 0, 136227, timeout, none
la15.fjs, 191023, 0, 95096, timeout, none
la16.fjs, 103925, 0, 51737, timeout, none
la17.fjs, 204400, 0, 101974, timeout, none
la18.fjs, 154457, 0, 77002, timeout, none
la19.fjs, 203175, 0, 101361, timeout, none
la20.fjs, 297761, 0, 148654, timeout, none
la21.fjs, 148927, 0, 73998, timeout, none
la22.fjs, 129249, 0, 64155, timeout, none
la23.fjs, 243261, 0, 121154, timeout, none
la24.fjs, 130454, 0, 64764, timeout, none
la25.fjs, 66402, 0, 32740, timeout, none
la26.fjs, 54232, 0, 26286, timeout, none
la27.fjs, 34168, 0, 16254, timeout, none
la28.fjs, 23925, 0, 11123, timeout, none
la29.fjs, 34720, 0, 16528, timeout, none
la30.fjs, 34132, 0, 16232, timeout, none
la31.fjs, 12377, 0, 4375, timeout, none
la32.fjs, 10406, 0, 3391, timeout, none
la33.fjs, 15581, 0, 5971, timeout, none
la34.fjs, 6900, 0, 1623, timeout, none
la35.fjs, 6313, 0, 1345, timeout, none
la36.fjs, 49144, 0, 23858, timeout, none
la37.fjs, 120049, 0, 59312, timeout, none
la38.fjs, 57077, 0, 27816, timeout, none
la39.fjs, 72872, 0, 35725, timeout, none
la40.fjs, 17947, 0, 8260, timeout, none
mt06.fjs, 1600162, 0, 800029, timeout, none
mt10.fjs, 250726, 0, 125135, timeout, none
mt20.fjs, 102529, 0, 50849, timeout, none
orb1.fjs, 247966, 0, 123761, timeout, none
orb2.fjs, 468213, 0, 233878, timeout, none
orb3.fjs, 247526, 0, 123538, timeout, none
orb4.fjs, 580550, 0, 290049, timeout, none
orb5.fjs, 341996, 0, 170773, timeout, none
orb6.fjs, 248786, 0, 124171, timeout, none
orb7.fjs, 384943, 0, 192243, timeout, none
orb8.fjs, 248357, 0, 123954, timeout, none
orb9.fjs, 153135, 0, 76341, timeout, none
orb10.fjs, 103920, 0, 51735, timeout, none
