problem, nodes, solutions, fails, time, optimum
abz5.fjs, 6754, 8, 3202, timeout, 4780
abz6.fjs, 8356, 14, 4001, timeout, 3449
abz7.fjs, 2845, 1, 341, timeout, 5643
abz8.fjs, 6356, 0, 1953, timeout, none
abz9.fjs, 2849, 1, 339, timeout, 5625
car1.fjs, 505739, 0, 252755, timeout, none
car2.fjs, 308237, 0, 153995, timeout, none
car3.fjs, 340905, 0, 170313, timeout, none
car4.fjs, 265314, 0, 132511, timeout, none
car5.fjs, 435358, 0, 217555, timeout, none
car6.fjs, 590151, 0, 294951, timeout, none
car7.fjs, 21945, 2, 10908, timeout, 8021
car8.fjs, 388928, 0, 194355, timeout, none
la01.fjs, 2012009, 0, 1005905, timeout, none
la02.fjs, 1837866, 1, 918834, timeout, 1840
la03.fjs, 833878, 0, 416839, timeout, none
la04.fjs, 14407, 4, 7128, timeout, 1659
la05.fjs, 1988176, 5, 993985, timeout, 1430
la06.fjs, 35170, 4, 17390, timeout, 2438
la07.fjs, 1133270, 0, 566404, timeout, none
la08.fjs, 65236, 14, 32416, timeout, 2214
la09.fjs, 29474, 10, 14537, timeout, 2163
la10.fjs, 6631, 4, 3127, timeout, 2572
la11.fjs, 100322, 0, 49753, timeout, none
la12.fjs, 403672, 0, 201430, timeout, none
la13.fjs, 883546, 0, 441371, timeout, none
la14.fjs, 809977, 0, 404576, timeout, none
la15.fjs, 403202, 0, 201192, timeout, none
la16.fjs, 402427, 0, 200994, timeout, none
la17.fjs, 10173, 5, 4917, timeout, 3079
la18.fjs, 258125, 9, 128833, timeout, 3308
la19.fjs, 9057, 13, 4350, timeout, 3244
la20.fjs, 805481, 3, 402518, timeout, 3433
la21.fjs, 1178, 1, 245, timeout, 5104
la22.fjs, 2296, 4, 780, timeout, 5500
la23.fjs, 1523, 2, 395, timeout, 6327
la24.fjs, 1319052, 0, 659071, timeout, none
la25.fjs, 1167, 1, 243, timeout, 4879
la26.fjs, 838230, 0, 418294, timeout, none
la27.fjs, 2355, 2, 466, timeout, 8173
la28.fjs, 2369, 2, 463, timeout, 7538
la29.fjs, 2379, 2, 478, timeout, 7372
la30.fjs, 8732, 2, 3651, timeout, 7503
la31.fjs, 149540, 0, 72974, timeout, none
la32.fjs, 160322, 0, 78362, timeout, none
la33.fjs, 4261, 1, 481, timeout, 10107
la34.fjs, 152033, 0, 74201, timeout, none
la35.fjs, 7570, 0, 1993, timeout, none
la36.fjs, 1891, 1, 364, timeout, 8707
la37.fjs, 1698, 1, 271, timeout, 9115
la38.fjs, 1717, 1, 269, timeout, 8140
la39.fjs, 1894, 2, 369, timeout, 8151
la40.fjs, 1698, 1, 270, timeout, 8921
mt06.fjs, 74233, 5, 37078, timeout, 127
mt10.fjs, 3128, 4, 1385, timeout, 3056
mt20.fjs, 187812, 0, 93497, timeout, none
orb1.fjs, 751495, 0, 375532, timeout, none
orb2.fjs, 3254, 4, 1444, timeout, 3195
orb3.fjs, 887744, 0, 443653, timeout, none
orb4.fjs, 4579, 10, 2181, timeout, 2599
orb5.fjs, 1244134, 4, 621844, timeout, 2537
orb6.fjs, 11530, 7, 5559, timeout, 2549
orb7.fjs, 4485, 6, 2055, timeout, 1347
orb8.fjs, 56253, 4, 27925, timeout, 1546
orb9.fjs, 5914, 8, 2782, timeout, 2613
orb10.fjs, 10625, 6, 5143, timeout, 3120
