problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 28958, 476, 9, 14427, timeout, 1381
abz6.fjs, 25157, 397, 9, 12520, timeout, 1021
abz7.fjs, 4843, 2975, 28, 2229, timeout, 860
abz8.fjs, 2365, 1622, 20, 1016, timeout, 964
abz9.fjs, 4646, 2032, 19, 2139, timeout, 920
car1.fjs, 76691, 942, 2, 38317, timeout, 8225
car2.fjs, 84063, 61, 1, 42004, timeout, 9661
car3.fjs, 48233, 282, 10, 24081, timeout, 8316
car4.fjs, 149607, 70, 2, 74769, timeout, 10255
car5.fjs, 96273, 79, 3, 48104, timeout, 9866
car6.fjs, 80767, 102, 2, 40347, timeout, 10027
car7.fjs, 101121, 98, 4, 50537, timeout, 7460
car8.fjs, 83975, 123, 2, 41957, timeout, 10009
la01.fjs, 153337, 106, 4, 76641, timeout, 835
la02.fjs, 152073, 129, 8, 76008, timeout, 705
la03.fjs, 116409, 98, 3, 58180, timeout, 747
la04.fjs, 146049, 5051, 12, 72994, timeout, 614
la05.fjs, 167935, 112, 6, 83938, timeout, 710
la06.fjs, 110496, 617, 22, 55192, timeout, 926
la07.fjs, 81272, 116, 4, 40597, timeout, 1152
la08.fjs, 48556, 439, 12, 24234, timeout, 982
la09.fjs, 55514, 109, 5, 27717, timeout, 1067
la10.fjs, 133176, 176, 8, 66540, timeout, 1118
la11.fjs, 68147, 277, 7, 34018, timeout, 1277
la12.fjs, 64010, 214, 8, 31950, timeout, 1155
la13.fjs, 72876, 6780, 5, 36380, timeout, 1344
la14.fjs, 29783, 165, 7, 14837, timeout, 1460
la15.fjs, 60781, 246, 3, 30337, timeout, 1609
la16.fjs, 31264, 709, 10, 15581, timeout, 1083
la17.fjs, 19652, 1547, 30, 9768, timeout, 843
la18.fjs, 35650, 696, 18, 17764, timeout, 1053
la19.fjs, 30178, 364, 8, 15042, timeout, 905
la20.fjs, 19309, 505, 15, 9609, timeout, 988
la21.fjs, 31661, 669, 8, 15753, timeout, 1422
la22.fjs, 21428, 198, 4, 10636, timeout, 1348
la23.fjs, 20702, 408, 10, 10271, timeout, 1265
la24.fjs, 33193, 176, 4, 16511, timeout, 1308
la25.fjs, 7717, 1208, 28, 3768, timeout, 1333
la26.fjs, 5917, 892, 16, 2851, timeout, 1547
la27.fjs, 18039, 988, 24, 8891, timeout, 1642
la28.fjs, 13525, 2846, 6, 6651, timeout, 1639
la29.fjs, 18795, 727, 13, 9291, timeout, 1504
la30.fjs, 13165, 859, 18, 6466, timeout, 1812
la31.fjs, 3489, 1039, 16, 1577, timeout, 2165
la32.fjs, 8220, 374, 2, 3940, timeout, 2264
la33.fjs, 2626, 780, 12, 1156, timeout, 2103
la34.fjs, 7568, 823, 21, 3610, timeout, 2154
la35.fjs, 3985, 742, 12, 1833, timeout, 2188
la36.fjs, 10536, 10490, 86, 5081, timeout, 1437
la37.fjs, 5615, 665, 17, 2676, timeout, 1845
la38.fjs, 11727, 2327, 37, 5724, timeout, 1503
la39.fjs, 6394, 1411, 21, 3080, timeout, 1450
la40.fjs, 9185, 677, 12, 4468, timeout, 1725
mt06.fjs, 314344, 120, 5, 157150, timeout, 63
mt10.fjs, 33991, 509, 13, 16940, timeout, 1161
mt20.fjs, 43043, 130, 4, 21464, timeout, 1286
orb1.fjs, 25951, 289, 6, 12924, timeout, 1355
orb2.fjs, 41656, 951, 21, 20772, timeout, 1034
orb3.fjs, 10714, 585, 15, 5316, timeout, 1148
orb4.fjs, 30333, 25452, 20, 15110, timeout, 1169
orb5.fjs, 42980, 191, 3, 21444, timeout, 1068
orb6.fjs, 70293, 390, 9, 35083, timeout, 1233
orb7.fjs, 42084, 123, 2, 20995, timeout, 516
orb8.fjs, 25154, 401, 8, 12532, timeout, 1043
orb9.fjs, 33507, 648, 26, 16690, timeout, 1150
orb10.fjs, 37201, 322, 5, 18554, timeout, 1139
