problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 69826, 215, 6, 34853, timeout, 1424
abz6.fjs, 55897, 121, 3, 27893, timeout, 1029
abz7.fjs, 8425, 1248, 14, 4036, timeout, 832
abz8.fjs, 3931, 1445, 21, 1799, timeout, 816
abz9.fjs, 4002, 731, 13, 1841, timeout, 900
car1.fjs, 108501, 1348, 6, 54219, timeout, 7640
car2.fjs, 114918, 366, 4, 57429, timeout, 8221
car3.fjs, 161571, 82, 2, 80749, timeout, 8709
car4.fjs, 177530, 67, 1, 88731, timeout, 9766
car5.fjs, 33691, 146, 3, 16823, timeout, 8501
car6.fjs, 47479, 89, 2, 23702, timeout, 10472
car7.fjs, 119744, 83, 3, 59846, timeout, 7940
car8.fjs, 133729, 148, 4, 66833, timeout, 9188
la01.fjs, 129653, 271, 12, 64793, timeout, 762
la02.fjs, 121934, 104, 4, 60943, timeout, 742
la03.fjs, 143205, 60, 2, 71577, timeout, 744
la04.fjs, 155293, 115, 6, 77620, timeout, 720
la05.fjs, 172168, 115, 5, 86053, timeout, 698
la06.fjs, 84933, 91, 2, 42427, timeout, 1088
la07.fjs, 63255, 217, 10, 31580, timeout, 1017
la08.fjs, 103650, 147, 5, 51779, timeout, 1031
la09.fjs, 105500, 92, 4, 52706, timeout, 1095
la10.fjs, 113197, 235, 9, 56549, timeout, 937
la11.fjs, 60215, 186, 7, 30051, timeout, 1294
la12.fjs, 53699, 421, 7, 26790, timeout, 1204
la13.fjs, 62446, 301, 12, 31158, timeout, 1170
la14.fjs, 72913, 3008, 8, 36398, timeout, 1306
la15.fjs, 82701, 136, 3, 41296, timeout, 1352
la16.fjs, 51967, 110, 1, 25935, timeout, 1122
la17.fjs, 45149, 1119, 20, 22519, timeout, 800
la18.fjs, 35579, 642, 16, 17731, timeout, 1053
la19.fjs, 69858, 110, 1, 34874, timeout, 1003
la20.fjs, 56276, 380, 15, 28077, timeout, 1108
la21.fjs, 37677, 257, 4, 18754, timeout, 1280
la22.fjs, 28822, 269, 5, 14336, timeout, 1183
la23.fjs, 36491, 779, 17, 18149, timeout, 1175
la24.fjs, 26214, 231, 3, 13030, timeout, 1101
la25.fjs, 16951, 697, 13, 8392, timeout, 1208
la26.fjs, 6662, 579, 8, 3226, timeout, 1420
la27.fjs, 18851, 224, 1, 9314, timeout, 1730
la28.fjs, 17751, 381, 6, 8764, timeout, 1626
la29.fjs, 15767, 474, 10, 7774, timeout, 1731
la30.fjs, 19281, 752, 15, 9517, timeout, 1628
la31.fjs, 7073, 1574, 25, 3357, timeout, 1870
la32.fjs, 8915, 756, 15, 4295, timeout, 2016
la33.fjs, 6881, 780, 11, 3266, timeout, 1990
la34.fjs, 3314, 464, 6, 1499, timeout, 2010
la35.fjs, 4118, 753, 13, 1893, timeout, 2171
la36.fjs, 5771, 496, 8, 2772, timeout, 1608
la37.fjs, 5843, 4689, 9, 2804, timeout, 1707
la38.fjs, 12893, 3339, 53, 6279, timeout, 1584
la39.fjs, 12066, 431, 6, 5921, timeout, 1460
la40.fjs, 5526, 2269, 28, 2647, timeout, 1337
mt06.fjs, 299752, 268496, 4, 149857, timeout, 60
mt10.fjs, 60655, 754, 14, 30273, timeout, 1071
mt20.fjs, 53087, 119, 3, 26487, timeout, 1426
orb1.fjs, 71622, 241, 8, 35748, timeout, 1353
orb2.fjs, 38851, 375, 11, 19373, timeout, 1022
orb3.fjs, 26811, 276, 11, 13352, timeout, 1220
orb4.fjs, 35085, 1082, 18, 17485, timeout, 1127
orb5.fjs, 41094, 191, 4, 20497, timeout, 1146
orb6.fjs, 42463, 232, 4, 21176, timeout, 1269
orb7.fjs, 26208, 224, 6, 13056, timeout, 502
orb8.fjs, 63756, 175, 2, 31822, timeout, 1149
orb9.fjs, 40458, 277, 6, 20181, timeout, 1226
orb10.fjs, 64209, 340, 10, 32044, timeout, 1279
