problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 5012, 630, 72, 2391, timeout, 1651
abz6.fjs, 4057, 1079, 79, 1909, timeout, 1289
abz7.fjs, 176, 0, 0, 0, timeout, none
abz8.fjs, 178, 0, 0, 0, timeout, none
abz9.fjs, 176, 0, 0, 0, timeout, none
car1.fjs, 20769, 1745, 3, 10352, timeout, 9865
car2.fjs, 20675, 60, 1, 10309, timeout, 10350
car3.fjs, 13793, 4040, 7, 6860, timeout, 9233
car4.fjs, 19445, 3199, 3, 9691, timeout, 10547
car5.fjs, 11675, 7241, 7, 5805, timeout, 8515
car6.fjs, 13061, 82, 1, 6493, timeout, 10517
car7.fjs, 16207, 62, 3, 8079, timeout, 7813
car8.fjs, 9085, 8700, 8, 4511, timeout, 9389
la01.fjs, 19627, 71, 3, 9786, timeout, 1040
la02.fjs, 18567, 236, 12, 9249, timeout, 718
la03.fjs, 22023, 412, 3, 10983, timeout, 897
la04.fjs, 14869, 131, 10, 7403, timeout, 733
la05.fjs, 16787, 3607, 11, 8359, timeout, 745
la06.fjs, 7902, 331, 11, 3906, timeout, 1141
la07.fjs, 14939, 252, 28, 7403, timeout, 1268
la08.fjs, 7419, 5888, 13, 3665, timeout, 1090
la09.fjs, 11177, 132, 6, 5545, timeout, 1252
la10.fjs, 8718, 3078, 14, 4310, timeout, 1241
la11.fjs, 6508, 1180, 7, 3198, timeout, 1616
la12.fjs, 7798, 559, 7, 3840, timeout, 1480
la13.fjs, 13302, 120, 2, 6594, timeout, 1582
la14.fjs, 7078, 702, 8, 3481, timeout, 1751
la15.fjs, 10301, 118, 2, 5095, timeout, 1707
la16.fjs, 4095, 362, 58, 1949, timeout, 1306
la17.fjs, 3818, 1700, 21, 1852, timeout, 1044
la18.fjs, 4716, 866, 6, 2308, timeout, 1169
la19.fjs, 3891, 1737, 154, 1752, timeout, 1147
la20.fjs, 3152, 765, 14, 1527, timeout, 1159
la21.fjs, 1820, 993, 18, 825, timeout, 1587
la22.fjs, 2279, 1422, 56, 1015, timeout, 1546
la23.fjs, 1792, 1498, 101, 740, timeout, 1445
la24.fjs, 2197, 1063, 53, 976, timeout, 1479
la25.fjs, 1889, 1190, 21, 854, timeout, 1617
la26.fjs, 1576, 1491, 5, 681, timeout, 2150
la27.fjs, 1114, 1013, 10, 453, timeout, 2096
la28.fjs, 1253, 1234, 11, 524, timeout, 1947
la29.fjs, 1224, 377, 9, 505, timeout, 1869
la30.fjs, 1315, 841, 6, 551, timeout, 2203
la31.fjs, 180, 0, 0, 0, timeout, none
la32.fjs, 179, 0, 0, 0, timeout, none
la33.fjs, 180, 0, 0, 0, timeout, none
la34.fjs, 179, 0, 0, 0, timeout, none
la35.fjs, 180, 0, 0, 0, timeout, none
la36.fjs, 720, 468, 5, 255, timeout, 2093
la37.fjs, 800, 768, 11, 289, timeout, 2022
la38.fjs, 853, 836, 55, 259, timeout, 1976
la39.fjs, 704, 674, 7, 242, timeout, 1910
la40.fjs, 760, 735, 16, 271, timeout, 1921
mt06.fjs, 23699, 1227, 13, 11826, timeout, 64
mt10.fjs, 3530, 501, 149, 1579, timeout, 1136
mt20.fjs, 6241, 1619, 10, 3062, timeout, 1544
orb1.fjs, 4901, 285, 30, 2377, timeout, 1390
orb2.fjs, 4205, 1975, 131, 1933, timeout, 1204
orb3.fjs, 4903, 601, 77, 2330, timeout, 1352
orb4.fjs, 3574, 2246, 20, 1729, timeout, 1297
orb5.fjs, 4555, 727, 66, 2168, timeout, 1044
orb6.fjs, 3777, 482, 8, 1839, timeout, 1316
orb7.fjs, 3513, 896, 38, 1681, timeout, 480
orb8.fjs, 5203, 1032, 25, 2530, timeout, 1171
orb9.fjs, 5243, 5227, 107, 2474, timeout, 1294
orb10.fjs, 3948, 644, 144, 1791, timeout, 1227
