problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 38078, 624, 9, 18987, timeout, 1381
abz6.fjs, 57419, 477, 9, 28651, timeout, 1021
abz7.fjs, 7907, 3328, 28, 3762, timeout, 860
abz8.fjs, 2546, 2146, 20, 1106, timeout, 964
abz9.fjs, 6787, 2359, 19, 3209, timeout, 920
car1.fjs, 48052, 963, 2, 23998, timeout, 8225
car2.fjs, 61318, 64, 1, 30631, timeout, 9661
car3.fjs, 81398, 394, 10, 40663, timeout, 8316
car4.fjs, 100562, 80, 2, 50246, timeout, 10255
car5.fjs, 76763, 107, 3, 38349, timeout, 9866
car6.fjs, 39325, 113, 2, 19626, timeout, 10027
car7.fjs, 43713, 139, 4, 21833, timeout, 7460
car8.fjs, 65440, 134, 2, 32690, timeout, 10009
la01.fjs, 79044, 153, 4, 39494, timeout, 835
la02.fjs, 120938, 201, 8, 60440, timeout, 705
la03.fjs, 89512, 116, 3, 44731, timeout, 747
la04.fjs, 121014, 3540, 12, 60476, timeout, 614
la05.fjs, 54205, 187, 6, 27073, timeout, 710
la06.fjs, 59719, 825, 22, 29804, timeout, 926
la07.fjs, 54320, 165, 4, 27121, timeout, 1152
la08.fjs, 27704, 483, 12, 13808, timeout, 982
la09.fjs, 47308, 151, 5, 23613, timeout, 1067
la10.fjs, 58241, 236, 8, 29072, timeout, 1118
la11.fjs, 57879, 344, 7, 28884, timeout, 1277
la12.fjs, 41793, 299, 8, 20841, timeout, 1155
la13.fjs, 47348, 6693, 5, 23617, timeout, 1344
la14.fjs, 24771, 264, 7, 12331, timeout, 1460
la15.fjs, 16002, 214, 3, 7947, timeout, 1609
la16.fjs, 17493, 878, 10, 8695, timeout, 1083
la17.fjs, 19410, 2005, 30, 9647, timeout, 843
la18.fjs, 26427, 1032, 18, 13153, timeout, 1053
la19.fjs, 23931, 480, 8, 11919, timeout, 905
la20.fjs, 17376, 770, 15, 8642, timeout, 988
la21.fjs, 15212, 789, 8, 7529, timeout, 1422
la22.fjs, 20755, 253, 4, 10300, timeout, 1348
la23.fjs, 8472, 596, 10, 4157, timeout, 1265
la24.fjs, 29896, 238, 4, 14862, timeout, 1308
la25.fjs, 3734, 1572, 28, 1777, timeout, 1333
la26.fjs, 4761, 1056, 16, 2273, timeout, 1547
la27.fjs, 5819, 1267, 24, 2781, timeout, 1642
la28.fjs, 18398, 2638, 6, 9087, timeout, 1639
la29.fjs, 20071, 847, 13, 9929, timeout, 1504
la30.fjs, 5014, 1124, 18, 2391, timeout, 1812
la31.fjs, 2583, 1338, 16, 1123, timeout, 2165
la32.fjs, 4571, 382, 2, 2115, timeout, 2264
la33.fjs, 2991, 1088, 12, 1338, timeout, 2103
la34.fjs, 3393, 1155, 21, 1522, timeout, 2154
la35.fjs, 2129, 912, 12, 905, timeout, 2188
la36.fjs, 4663, 4565, 39, 2213, timeout, 1610
la37.fjs, 4917, 957, 17, 2327, timeout, 1845
la38.fjs, 11819, 3184, 37, 5770, timeout, 1503
la39.fjs, 3414, 1792, 21, 1591, timeout, 1450
la40.fjs, 9948, 1003, 12, 4850, timeout, 1725
mt06.fjs, 310647, 156, 5, 155301, timeout, 63
mt10.fjs, 48757, 690, 13, 24323, timeout, 1161
mt20.fjs, 47533, 172, 4, 23709, timeout, 1286
orb1.fjs, 23946, 355, 6, 11922, timeout, 1355
orb2.fjs, 20194, 1285, 21, 10041, timeout, 1034
orb3.fjs, 10196, 771, 15, 5056, timeout, 1148
orb4.fjs, 20134, 15611, 20, 10010, timeout, 1169
orb5.fjs, 40982, 227, 3, 20445, timeout, 1068
orb6.fjs, 44015, 475, 9, 21944, timeout, 1233
orb7.fjs, 40456, 144, 2, 20181, timeout, 516
orb8.fjs, 45049, 541, 8, 22479, timeout, 1043
orb9.fjs, 17656, 1017, 26, 8765, timeout, 1150
orb10.fjs, 60984, 327, 5, 30446, timeout, 1139
