problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 80584, 286, 6, 40232, timeout, 1424
abz6.fjs, 63847, 143, 3, 31867, timeout, 1029
abz7.fjs, 9027, 1434, 14, 4337, timeout, 832
abz8.fjs, 5667, 2054, 21, 2668, timeout, 816
abz9.fjs, 4837, 1098, 13, 2258, timeout, 900
car1.fjs, 56509, 807, 6, 28223, timeout, 7640
car2.fjs, 123382, 252, 4, 61661, timeout, 8221
car3.fjs, 122048, 92, 2, 60987, timeout, 8709
car4.fjs, 133810, 68, 1, 66871, timeout, 9766
car5.fjs, 38131, 165, 3, 19043, timeout, 8501
car6.fjs, 32727, 97, 2, 16326, timeout, 10472
car7.fjs, 96725, 117, 3, 48337, timeout, 7940
car8.fjs, 45876, 188, 4, 22906, timeout, 9188
la01.fjs, 51804, 421, 12, 25869, timeout, 762
la02.fjs, 57079, 129, 4, 28516, timeout, 742
la03.fjs, 148589, 76, 2, 74270, timeout, 744
la04.fjs, 70926, 182, 6, 35437, timeout, 720
la05.fjs, 143749, 155, 5, 71844, timeout, 698
la06.fjs, 39057, 107, 2, 19489, timeout, 1088
la07.fjs, 141280, 315, 10, 70593, timeout, 1017
la08.fjs, 113918, 175, 5, 56914, timeout, 1031
la09.fjs, 115315, 135, 4, 57613, timeout, 1095
la10.fjs, 98724, 288, 9, 49311, timeout, 937
la11.fjs, 58010, 266, 7, 28947, timeout, 1294
la12.fjs, 75626, 415, 7, 37753, timeout, 1204
la13.fjs, 58699, 435, 12, 29285, timeout, 1170
la14.fjs, 47396, 1948, 8, 23640, timeout, 1306
la15.fjs, 61961, 164, 3, 30926, timeout, 1352
la16.fjs, 68946, 114, 1, 34424, timeout, 1122
la17.fjs, 18380, 1414, 20, 9134, timeout, 800
la18.fjs, 36826, 938, 16, 18354, timeout, 1053
la19.fjs, 59608, 114, 1, 29749, timeout, 1003
la20.fjs, 56502, 670, 15, 28190, timeout, 1108
la21.fjs, 21858, 293, 4, 10844, timeout, 1280
la22.fjs, 27603, 371, 5, 13726, timeout, 1183
la23.fjs, 37259, 1064, 17, 18533, timeout, 1175
la24.fjs, 25218, 256, 3, 12533, timeout, 1101
la25.fjs, 27739, 846, 13, 13786, timeout, 1208
la26.fjs, 5175, 579, 8, 2483, timeout, 1420
la27.fjs, 27631, 227, 1, 13704, timeout, 1730
la28.fjs, 15497, 452, 6, 7637, timeout, 1626
la29.fjs, 26294, 587, 10, 13038, timeout, 1731
la30.fjs, 16950, 905, 15, 8351, timeout, 1628
la31.fjs, 7350, 1950, 25, 3496, timeout, 1870
la32.fjs, 2842, 974, 15, 1258, timeout, 2016
la33.fjs, 5952, 962, 11, 2802, timeout, 1990
la34.fjs, 1952, 547, 6, 818, timeout, 2010
la35.fjs, 2843, 866, 13, 1255, timeout, 2171
la36.fjs, 7715, 655, 8, 3743, timeout, 1608
la37.fjs, 4225, 593, 8, 1996, timeout, 1714
la38.fjs, 14826, 4330, 53, 7246, timeout, 1584
la39.fjs, 11495, 558, 6, 5636, timeout, 1460
la40.fjs, 4047, 3227, 28, 1907, timeout, 1337
mt06.fjs, 378360, 199123, 4, 189161, timeout, 60
mt10.fjs, 38663, 868, 14, 19276, timeout, 1071
mt20.fjs, 83934, 132, 3, 41910, timeout, 1426
orb1.fjs, 61790, 331, 8, 30832, timeout, 1353
orb2.fjs, 26121, 520, 11, 13008, timeout, 1022
orb3.fjs, 35129, 345, 11, 17511, timeout, 1220
orb4.fjs, 16129, 1399, 18, 8007, timeout, 1127
orb5.fjs, 45507, 223, 4, 22704, timeout, 1146
orb6.fjs, 89412, 231, 4, 44650, timeout, 1269
orb7.fjs, 18296, 292, 6, 9100, timeout, 502
orb8.fjs, 63841, 165, 2, 31864, timeout, 1149
orb9.fjs, 66703, 333, 6, 33303, timeout, 1226
orb10.fjs, 89960, 469, 10, 44919, timeout, 1279
