problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 7321, 1329, 89, 3528, timeout, 1651
abz6.fjs, 7177, 3982, 159, 3387, timeout, 1289
abz7.fjs, 247, 0, 0, 0, timeout, none
abz8.fjs, 250, 0, 0, 0, timeout, none
abz9.fjs, 245, 0, 0, 0, timeout, none
car1.fjs, 28997, 1763, 3, 14466, timeout, 9865
car2.fjs, 28555, 62, 1, 14249, timeout, 10350
car3.fjs, 17879, 1274, 7, 8903, timeout, 9233
car4.fjs, 22061, 1605, 3, 10999, timeout, 10547
car5.fjs, 14514, 715, 6, 7223, timeout, 9014
car6.fjs, 15782, 82, 1, 7853, timeout, 10517
car7.fjs, 20627, 73, 3, 10289, timeout, 7813
car8.fjs, 14852, 13442, 693, 6710, timeout, 9389
la01.fjs, 24183, 22990, 5, 12063, timeout, 1018
la02.fjs, 24857, 312, 12, 12394, timeout, 718
la03.fjs, 30615, 238, 3, 15279, timeout, 897
la04.fjs, 20667, 191, 10, 10302, timeout, 733
la05.fjs, 22073, 2295, 60, 10953, timeout, 745
la06.fjs, 10244, 345, 11, 5077, timeout, 1141
la07.fjs, 16452, 853, 156, 8031, timeout, 1268
la08.fjs, 10066, 4293, 13, 4987, timeout, 1090
la09.fjs, 13339, 374, 57, 6575, timeout, 1252
la10.fjs, 11186, 1953, 14, 5544, timeout, 1241
la11.fjs, 7125, 796, 7, 3507, timeout, 1616
la12.fjs, 10968, 538, 7, 5425, timeout, 1480
la13.fjs, 15793, 123, 2, 7839, timeout, 1582
la14.fjs, 8304, 621, 8, 4094, timeout, 1751
la15.fjs, 14746, 120, 2, 7318, timeout, 1707
la16.fjs, 6163, 5229, 91, 2950, timeout, 1292
la17.fjs, 4842, 1752, 21, 2364, timeout, 1044
la18.fjs, 6200, 770, 6, 3050, timeout, 1169
la19.fjs, 7445, 5429, 276, 3407, timeout, 1147
la20.fjs, 5399, 933, 14, 2649, timeout, 1159
la21.fjs, 2815, 1308, 18, 1322, timeout, 1587
la22.fjs, 3739, 2914, 100, 1701, timeout, 1546
la23.fjs, 3678, 3600, 128, 1654, timeout, 1438
la24.fjs, 3661, 2221, 67, 1693, timeout, 1479
la25.fjs, 2930, 1088, 21, 1375, timeout, 1617
la26.fjs, 2673, 262, 4, 1226, timeout, 2200
la27.fjs, 1732, 1039, 10, 755, timeout, 2096
la28.fjs, 1625, 1530, 13, 708, timeout, 1943
la29.fjs, 1930, 490, 9, 858, timeout, 1869
la30.fjs, 2140, 702, 6, 961, timeout, 2203
la31.fjs, 235, 0, 0, 0, timeout, none
la32.fjs, 234, 0, 0, 0, timeout, none
la33.fjs, 236, 0, 0, 0, timeout, none
la34.fjs, 235, 0, 0, 0, timeout, none
la35.fjs, 236, 0, 0, 0, timeout, none
la36.fjs, 938, 904, 6, 358, timeout, 2083
la37.fjs, 1155, 890, 11, 462, timeout, 2022
la38.fjs, 1771, 1745, 40, 732, timeout, 1991
la39.fjs, 1316, 1273, 13, 551, timeout, 1853
la40.fjs, 1323, 1279, 17, 551, timeout, 1912
mt06.fjs, 31717, 658, 15, 15833, timeout, 64
mt10.fjs, 6606, 3134, 269, 2996, timeout, 1136
mt20.fjs, 7877, 679, 10, 3880, timeout, 1544
orb1.fjs, 7032, 879, 39, 3434, timeout, 1390
orb2.fjs, 6523, 3319, 144, 3079, timeout, 1204
orb3.fjs, 7237, 2369, 138, 3436, timeout, 1352
orb4.fjs, 4804, 1462, 20, 2344, timeout, 1297
orb5.fjs, 6655, 1705, 66, 3218, timeout, 1044
orb6.fjs, 4671, 429, 10, 2284, timeout, 1316
orb7.fjs, 5367, 1518, 62, 2584, timeout, 480
orb8.fjs, 7374, 1605, 157, 3483, timeout, 1171
orb9.fjs, 7812, 6653, 305, 3559, timeout, 1274
orb10.fjs, 5376, 675, 179, 2470, timeout, 1227
