problem, nodes, solutions, fails, time, optimum
abz5.fjs, 441586, 0, 220783, timeout, none
abz6.fjs, 329031, 0, 164506, timeout, none
abz7.fjs, 63261, 0, 31607, timeout, none
abz8.fjs, 17929, 0, 8938, timeout, none
abz9.fjs, 20009, 0, 9982, timeout, none
car1.fjs, 441444, 0, 220715, timeout, none
car2.fjs, 535848, 0, 267917, timeout, none
car3.fjs, 863997, 0, 431992, timeout, none
car4.fjs, 234298, 0, 117142, timeout, none
car5.fjs, 1355504, 0, 677745, timeout, none
car6.fjs, 692490, 0, 346237, timeout, none
car7.fjs, 2713575, 0, 1356779, timeout, none
car8.fjs, 1195877, 0, 597931, timeout, none
la01.fjs, 1467526, 0, 733756, timeout, none
la02.fjs, 20989760, 0, 10494870, timeout, none
la03.fjs, 1660457, 0, 830219, timeout, none
la04.fjs, 2810153, 0, 1405068, timeout, none
la05.fjs, 2739965, 0, 1369972, timeout, none
la06.fjs, 382906, 0, 191445, timeout, none
la07.fjs, 472362, 0, 236173, timeout, none
la08.fjs, 411733, 0, 205859, timeout, none
la09.fjs, 662354, 0, 331167, timeout, none
la10.fjs, 435117, 0, 217550, timeout, none
la11.fjs, 224178, 0, 112080, timeout, none
la12.fjs, 72321, 0, 36151, timeout, none
la13.fjs, 166506, 0, 83242, timeout, none
la14.fjs, 179127, 0, 89555, timeout, none
la15.fjs, 195338, 0, 97660, timeout, none
la16.fjs, 562088, 0, 281035, timeout, none
la17.fjs, 1945329, 0, 972652, timeout, none
la18.fjs, 418736, 0, 209359, timeout, none
la19.fjs, 507935, 0, 253956, timeout, none
la20.fjs, 341208, 0, 170593, timeout, none
la21.fjs, 120193, 0, 60082, timeout, none
la22.fjs, 235472, 0, 117722, timeout, none
la23.fjs, 65853, 0, 32915, timeout, none
la24.fjs, 172445, 0, 86208, timeout, none
la25.fjs, 99038, 0, 49505, timeout, none
la26.fjs, 57951, 0, 28960, timeout, none
la27.fjs, 19901, 0, 9935, timeout, none
la28.fjs, 30669, 0, 15321, timeout, none
la29.fjs, 43146, 0, 21557, timeout, none
la30.fjs, 49972, 0, 24970, timeout, none
la31.fjs, 7571, 0, 3764, timeout, none
la32.fjs, 4948, 0, 2453, timeout, none
la33.fjs, 2508, 0, 1232, timeout, none
la34.fjs, 5958, 0, 2958, timeout, none
la35.fjs, 4370, 0, 2164, timeout, none
la36.fjs, 22918, 0, 11442, timeout, none
la37.fjs, 203559, 0, 101758, timeout, none
la38.fjs, 54194, 0, 27078, timeout, none
la39.fjs, 24163, 0, 12063, timeout, none
la40.fjs, 112718, 0, 56340, timeout, none
mt06.fjs, 30590167, 0, 15295074, timeout, none
mt10.fjs, 436059, 0, 218021, timeout, none
mt20.fjs, 248251, 0, 124117, timeout, none
orb1.fjs, 410730, 0, 205356, timeout, none
orb2.fjs, 755008, 0, 377496, timeout, none
orb3.fjs, 314233, 0, 157107, timeout, none
orb4.fjs, 174600, 0, 87289, timeout, none
orb5.fjs, 728456, 0, 364218, timeout, none
orb6.fjs, 206748, 0, 103364, timeout, none
orb7.fjs, 475483, 0, 237732, timeout, none
orb8.fjs, 520810, 0, 260396, timeout, none
orb9.fjs, 691678, 0, 345829, timeout, none
orb10.fjs, 1215120, 0, 607550, timeout, none
