problem, nodes, solutions, fails, time, optimum
abz5.fjs, 37718, 8, 18682, timeout, 4780
abz6.fjs, 67843, 21, 33734, timeout, 3162
abz7.fjs, 2667, 1, 272, timeout, 5643
abz8.fjs, 108192, 0, 52999, timeout, none
abz9.fjs, 2647, 1, 257, timeout, 5625
car1.fjs, 1263239, 0, 631517, timeout, none
car2.fjs, 1085529, 0, 542657, timeout, none
car3.fjs, 1095198, 0, 547478, timeout, none
car4.fjs, 1013843, 0, 506790, timeout, none
car5.fjs, 1186253, 0, 593019, timeout, none
car6.fjs, 1252398, 0, 626098, timeout, none
car7.fjs, 236499, 2, 118196, timeout, 8021
car8.fjs, 1122582, 0, 561201, timeout, none
la01.fjs, 2278725, 0, 1139280, timeout, none
la02.fjs, 2141749, 1, 1070791, timeout, 1840
la03.fjs, 1489806, 0, 744818, timeout, none
la04.fjs, 2127595, 5, 1063709, timeout, 1606
la05.fjs, 2028684, 5, 1014253, timeout, 1430
la06.fjs, 95881, 4, 47744, timeout, 2438
la07.fjs, 1569720, 0, 784659, timeout, none
la08.fjs, 47487, 14, 23538, timeout, 2214
la09.fjs, 144300, 10, 71947, timeout, 2163
la10.fjs, 106615, 4, 53120, timeout, 2572
la11.fjs, 537573, 0, 268418, timeout, none
la12.fjs, 886588, 0, 442925, timeout, none
la13.fjs, 1188157, 0, 593708, timeout, none
la14.fjs, 1235230, 0, 617241, timeout, none
la15.fjs, 873918, 0, 436584, timeout, none
la16.fjs, 949513, 0, 474577, timeout, none
la17.fjs, 104544, 5, 52102, timeout, 3079
la18.fjs, 879539, 9, 439575, timeout, 3308
la19.fjs, 118477, 13, 59060, timeout, 3244
la20.fjs, 1115850, 3, 557730, timeout, 3433
la21.fjs, 6059, 6, 2768, timeout, 5041
la22.fjs, 4660, 8, 2081, timeout, 5164
