problem, nodes, solutions, fails, time, optimum
abz5.fjs, 14579, 8, 7112, timeout, 4780
abz6.fjs, 17550, 19, 8582, timeout, 3281
abz7.fjs, 3617, 1, 729, timeout, 5643
abz8.fjs, 24248, 0, 10754, timeout, none
abz9.fjs, 3471, 1, 654, timeout, 5625
car1.fjs, 978149, 0, 488752, timeout, none
car2.fjs, 655020, 0, 327208, timeout, none
car3.fjs, 789651, 0, 394500, timeout, none
car4.fjs, 662549, 0, 330960, timeout, none
car5.fjs, 918680, 0, 459000, timeout, none
car6.fjs, 1090458, 0, 544848, timeout, none
car7.fjs, 51965, 2, 25935, timeout, 8021
car8.fjs, 896801, 0, 448032, timeout, none
la01.fjs, 2934856, 0, 1467261, timeout, none
la02.fjs, 2605329, 1, 1302514, timeout, 1840
la03.fjs, 1202297, 0, 600980, timeout, none
la04.fjs, 2177587, 5, 1088639, timeout, 1606
la05.fjs, 2292072, 5, 1145887, timeout, 1430
la06.fjs, 26180, 4, 12895, timeout, 2438
la07.fjs, 2209610, 0, 1104486, timeout, none
la08.fjs, 25967, 14, 12779, timeout, 2214
la09.fjs, 29525, 10, 14560, timeout, 2163
la10.fjs, 22287, 4, 10956, timeout, 2572
la11.fjs, 348713, 0, 173856, timeout, none
la12.fjs, 849418, 0, 424196, timeout, none
la13.fjs, 1612640, 0, 805776, timeout, none
la14.fjs, 1716934, 0, 857960, timeout, none
la15.fjs, 961451, 0, 480219, timeout, none
la16.fjs, 927509, 0, 463464, timeout, none
la17.fjs, 15494, 5, 7574, timeout, 3079
la18.fjs, 764922, 9, 382147, timeout, 3308
la19.fjs, 16924, 13, 8281, timeout, 3244
la20.fjs, 1143901, 3, 571623, timeout, 3433
la21.fjs, 4631, 2, 1809, timeout, 5084
la22.fjs, 5354, 4, 2186, timeout, 5500
