problem, nodes, solutions, fails, time, optimum
abz5.fjs, 68082, 9, 33988, timeout, 1381
abz6.fjs, 60356, 9, 30118, timeout, 1021
abz7.fjs, 9944, 28, 4779, timeout, 860
abz8.fjs, 3887, 20, 1775, timeout, 964
abz9.fjs, 9815, 19, 4723, timeout, 920
car1.fjs, 166687, 2, 83314, timeout, 8225
car2.fjs, 183838, 1, 91890, timeout, 9661
car3.fjs, 128325, 10, 64127, timeout, 8316
car4.fjs, 214237, 2, 107083, timeout, 10255
car5.fjs, 115518, 3, 57726, timeout, 9866
car6.fjs, 113621, 2, 56773, timeout, 10027
car7.fjs, 151103, 4, 75527, timeout, 7460
car8.fjs, 56567, 2, 28253, timeout, 10009
la01.fjs, 185949, 4, 92946, timeout, 835
la02.fjs, 202374, 8, 101158, timeout, 705
la03.fjs, 151462, 3, 75706, timeout, 747
la04.fjs, 198694, 12, 99316, timeout, 614
la05.fjs, 228501, 6, 114220, timeout, 710
la06.fjs, 163703, 22, 81795, timeout, 926
la07.fjs, 90002, 4, 44962, timeout, 1152
la08.fjs, 65682, 12, 32796, timeout, 982
la09.fjs, 80799, 5, 40358, timeout, 1067
la10.fjs, 172124, 8, 86013, timeout, 1118
la11.fjs, 79762, 7, 39826, timeout, 1277
la12.fjs, 79641, 9, 39764, timeout, 1155
la13.fjs, 96073, 5, 47979, timeout, 1344
la14.fjs, 42141, 7, 21016, timeout, 1460
la15.fjs, 64779, 3, 32336, timeout, 1609
la16.fjs, 34813, 10, 17355, timeout, 1083
la17.fjs, 37668, 30, 18775, timeout, 843
la18.fjs, 42381, 18, 21129, timeout, 1053
la19.fjs, 45441, 8, 22674, timeout, 905
la20.fjs, 23200, 15, 11554, timeout, 988
la21.fjs, 41920, 9, 20881, timeout, 1422
la22.fjs, 30759, 4, 15301, timeout, 1348
la23.fjs, 24234, 10, 12037, timeout, 1265
la24.fjs, 40334, 4, 20081, timeout, 1308
la25.fjs, 12392, 28, 6105, timeout, 1333
la26.fjs, 7656, 16, 3720, timeout, 1547
la27.fjs, 22435, 24, 11088, timeout, 1642
la28.fjs, 17502, 6, 8639, timeout, 1639
la29.fjs, 24372, 13, 12078, timeout, 1504
la30.fjs, 20484, 18, 10125, timeout, 1812
la31.fjs, 3819, 16, 1741, timeout, 2165
la32.fjs, 9647, 2, 4653, timeout, 2264
la33.fjs, 2820, 12, 1253, timeout, 2103
la34.fjs, 7841, 21, 3746, timeout, 2154
la35.fjs, 5035, 12, 2358, timeout, 2188
la36.fjs, 9586, 52, 4662, timeout, 1529
la37.fjs, 8855, 17, 4294, timeout, 1845
la38.fjs, 13212, 37, 6466, timeout, 1503
la39.fjs, 6501, 21, 3134, timeout, 1450
la40.fjs, 11217, 12, 5484, timeout, 1725
mt06.fjs, 397911, 5, 198934, timeout, 63
mt10.fjs, 39828, 13, 19857, timeout, 1161
mt20.fjs, 56425, 4, 28155, timeout, 1286
orb1.fjs, 34140, 6, 17018, timeout, 1355
orb2.fjs, 43314, 21, 21599, timeout, 1034
orb3.fjs, 13582, 15, 6748, timeout, 1148
orb4.fjs, 52837, 18, 26360, timeout, 1180
orb5.fjs, 31828, 3, 15867, timeout, 1068
orb6.fjs, 85603, 9, 42738, timeout, 1233
orb7.fjs, 53775, 2, 26840, timeout, 516
orb8.fjs, 35579, 8, 17744, timeout, 1043
orb9.fjs, 34802, 26, 17338, timeout, 1150
orb10.fjs, 53403, 5, 26655, timeout, 1139
