problem, nodes, solutions, fails, time, optimum
abz5.fjs, 86070, 6, 42975, timeout, 1424
abz6.fjs, 75140, 3, 37513, timeout, 1029
abz7.fjs, 10041, 14, 4844, timeout, 832
abz8.fjs, 3123, 20, 1395, timeout, 818
abz9.fjs, 4729, 13, 2204, timeout, 900
car1.fjs, 129834, 6, 64884, timeout, 7640
car2.fjs, 146961, 4, 73450, timeout, 8221
car3.fjs, 2566, 2, 1247, 7.27s, 8709
car4.fjs, 212218, 1, 106075, timeout, 9766
car5.fjs, 40854, 3, 20404, timeout, 8501
car6.fjs, 70981, 2, 35452, timeout, 10472
car7.fjs, 144565, 3, 72257, timeout, 7940
car8.fjs, 177372, 4, 88654, timeout, 9188
la01.fjs, 184685, 12, 92309, timeout, 762
la02.fjs, 176098, 4, 88024, timeout, 742
la03.fjs, 180313, 2, 90131, timeout, 744
la04.fjs, 183388, 6, 91667, timeout, 720
la05.fjs, 207665, 5, 103801, timeout, 698
la06.fjs, 93257, 2, 46589, timeout, 1088
la07.fjs, 95022, 10, 47463, timeout, 1017
la08.fjs, 126810, 5, 63359, timeout, 1031
la09.fjs, 128897, 4, 64404, timeout, 1095
la10.fjs, 137729, 9, 68814, timeout, 937
la11.fjs, 75532, 7, 37708, timeout, 1294
la12.fjs, 55964, 7, 27921, timeout, 1204
la13.fjs, 83708, 12, 41789, timeout, 1170
la14.fjs, 97245, 8, 48564, timeout, 1306
la15.fjs, 105980, 3, 52935, timeout, 1352
la16.fjs, 76379, 1, 38140, timeout, 1122
la17.fjs, 52704, 20, 26297, timeout, 800
la18.fjs, 41093, 16, 20487, timeout, 1053
la19.fjs, 85685, 1, 42787, timeout, 1003
la20.fjs, 70188, 15, 35032, timeout, 1108
la21.fjs, 51371, 4, 25600, timeout, 1280
la22.fjs, 34072, 5, 16960, timeout, 1183
la23.fjs, 47817, 17, 23811, timeout, 1175
la24.fjs, 33453, 3, 16649, timeout, 1101
la25.fjs, 21367, 13, 10599, timeout, 1208
la26.fjs, 8906, 8, 4346, timeout, 1420
la27.fjs, 23295, 1, 11536, timeout, 1730
la28.fjs, 24532, 6, 12154, timeout, 1626
la29.fjs, 20687, 10, 10234, timeout, 1731
la30.fjs, 22868, 15, 11310, timeout, 1628
la31.fjs, 6120, 25, 2880, timeout, 1870
la32.fjs, 7141, 15, 3407, timeout, 2016
la33.fjs, 7088, 11, 3370, timeout, 1990
la34.fjs, 3676, 6, 1680, timeout, 2010
la35.fjs, 4032, 13, 1849, timeout, 2171
la36.fjs, 6293, 8, 3032, timeout, 1608
la37.fjs, 6919, 8, 3342, timeout, 1714
la38.fjs, 13649, 53, 6657, timeout, 1584
la39.fjs, 14809, 6, 7292, timeout, 1460
la40.fjs, 3975, 22, 1884, timeout, 1350
mt06.fjs, 388301, 2, 194134, timeout, 62
mt10.fjs, 81345, 14, 40616, timeout, 1071
mt20.fjs, 61906, 3, 30896, timeout, 1426
orb1.fjs, 87331, 8, 43602, timeout, 1353
orb2.fjs, 35896, 11, 17895, timeout, 1022
orb3.fjs, 34726, 11, 17308, timeout, 1220
orb4.fjs, 45610, 18, 22747, timeout, 1127
orb5.fjs, 48041, 4, 23970, timeout, 1146
orb6.fjs, 66257, 4, 33072, timeout, 1269
orb7.fjs, 34565, 6, 17233, timeout, 502
orb8.fjs, 83884, 2, 41885, timeout, 1149
orb9.fjs, 49169, 6, 24536, timeout, 1226
orb10.fjs, 83523, 10, 41700, timeout, 1279
