problem, nodes, solutions, fails, time, optimum
abz5.fjs, 1881, 0, 925, timeout, none
abz6.fjs, 2012, 0, 989, timeout, none
abz7.fjs, 127, 0, 27, timeout, none
abz8.fjs, 120, 0, 29, timeout, none
abz9.fjs, 138, 0, 34, timeout, none
car1.fjs, 4711, 0, 2339, timeout, none
car2.fjs, 4852, 0, 2409, timeout, none
car3.fjs, 5004, 0, 2484, timeout, none
car4.fjs, 5834, 0, 2902, timeout, none
car5.fjs, 4236, 0, 2099, timeout, none
car6.fjs, 3926, 0, 1946, timeout, none
car7.fjs, 8553, 0, 4261, timeout, none
car8.fjs, 5248, 0, 2606, timeout, none
la01.fjs, 8547, 0, 4255, timeout, none
la02.fjs, 6841, 0, 3397, timeout, none
la03.fjs, 7359, 0, 3665, timeout, none
la04.fjs, 7684, 0, 3822, timeout, none
la05.fjs, 8150, 0, 4056, timeout, none
la06.fjs, 3109, 0, 1535, timeout, none
la07.fjs, 2025, 0, 996, timeout, none
la08.fjs, 2290, 0, 1131, timeout, none
la09.fjs, 2895, 0, 1431, timeout, none
la10.fjs, 2855, 0, 1415, timeout, none
la11.fjs, 1189, 0, 579, timeout, none
la12.fjs, 1769, 0, 869, timeout, none
la13.fjs, 1127, 0, 548, timeout, none
la14.fjs, 1103, 0, 536, timeout, none
la15.fjs, 1210, 0, 584, timeout, none
la16.fjs, 1928, 0, 949, timeout, none
la17.fjs, 2132, 0, 1051, timeout, none
la18.fjs, 2236, 0, 1098, timeout, none
la19.fjs, 1816, 0, 891, timeout, none
la20.fjs, 1648, 0, 807, timeout, none
la21.fjs, 735, 0, 342, timeout, none
la22.fjs, 712, 0, 326, timeout, none
la23.fjs, 668, 0, 313, timeout, none
la24.fjs, 800, 0, 374, timeout, none
la25.fjs, 510, 0, 233, timeout, none
la26.fjs, 326, 0, 134, timeout, none
la27.fjs, 254, 0, 105, timeout, none
la28.fjs, 414, 0, 186, timeout, none
la29.fjs, 209, 0, 81, timeout, none
la30.fjs, 278, 0, 104, timeout, none
la31.fjs, 85, 0, 15, timeout, none
la32.fjs, 85, 0, 14, timeout, none
la33.fjs, 93, 0, 19, timeout, none
la34.fjs, 93, 0, 18, timeout, none
la35.fjs, 131, 0, 37, timeout, none
la36.fjs, 308, 0, 129, timeout, none
la37.fjs, 294, 0, 121, timeout, none
la38.fjs, 295, 0, 97, timeout, none
la39.fjs, 276, 0, 114, timeout, none
la40.fjs, 240, 0, 93, timeout, none
mt06.fjs, 35877, 0, 17917, timeout, none
mt10.fjs, 1911, 0, 936, timeout, none
mt20.fjs, 1123, 0, 545, timeout, none
orb1.fjs, 1937, 0, 953, timeout, none
orb2.fjs, 1905, 0, 938, timeout, none
orb3.fjs, 1203, 0, 585, timeout, none
orb4.fjs, 1971, 0, 968, timeout, none
orb5.fjs, 2218, 0, 1087, timeout, none
orb6.fjs, 1797, 0, 877, timeout, none
orb7.fjs, 2097, 0, 1023, timeout, none
orb8.fjs, 1795, 0, 879, timeout, none
orb9.fjs, 1876, 0, 919, timeout, none
orb10.fjs, 1928, 0, 940, timeout, none
