problem, nodes, solutions, fails, time, optimum
abz5.fjs, 7249, 89, 3493, timeout, 1651
abz6.fjs, 5804, 110, 2751, timeout, 1289
abz7.fjs, 228, 0, 3, timeout, none
abz8.fjs, 228, 0, 1, timeout, none
abz9.fjs, 228, 0, 2, timeout, none
car1.fjs, 28948, 3, 14441, timeout, 9865
car2.fjs, 30189, 1, 15066, timeout, 10350
car3.fjs, 18543, 8, 9234, timeout, 9233
car4.fjs, 26401, 5, 13167, timeout, 10547
car5.fjs, 15925, 7, 7930, timeout, 8515
car6.fjs, 17400, 1, 8662, timeout, 10517
car7.fjs, 21847, 3, 10899, timeout, 7813
car8.fjs, 12242, 441, 5652, timeout, 10099
la01.fjs, 27247, 3, 13596, timeout, 1040
la02.fjs, 27079, 11, 13505, timeout, 718
la03.fjs, 32153, 3, 16048, timeout, 897
la04.fjs, 21325, 10, 10631, timeout, 733
la05.fjs, 23775, 11, 11853, timeout, 745
la06.fjs, 12180, 12, 6042, timeout, 1141
la07.fjs, 21397, 28, 10631, timeout, 1268
la08.fjs, 11129, 8, 5522, timeout, 1131
la09.fjs, 15846, 6, 7879, timeout, 1252
la10.fjs, 12252, 14, 6076, timeout, 1241
la11.fjs, 8880, 7, 4384, timeout, 1531
la12.fjs, 11230, 7, 5556, timeout, 1480
la13.fjs, 20116, 2, 10001, timeout, 1582
la14.fjs, 1540, 7, 714, 107.99s, 1765
la15.fjs, 15334, 2, 7611, timeout, 1707
la16.fjs, 5824, 58, 2813, timeout, 1306
la17.fjs, 5184, 21, 2535, timeout, 1044
la18.fjs, 6766, 6, 3332, timeout, 1169
la19.fjs, 5254, 118, 2470, timeout, 1147
la20.fjs, 4473, 14, 2187, timeout, 1159
la21.fjs, 2790, 16, 1311, timeout, 1594
la22.fjs, 3511, 54, 1636, timeout, 1546
la23.fjs, 2445, 82, 1073, timeout, 1462
la24.fjs, 2917, 47, 1342, timeout, 1479
la25.fjs, 2809, 19, 1316, timeout, 1653
la26.fjs, 2404, 5, 1094, timeout, 2150
la27.fjs, 1613, 6, 705, timeout, 2111
la28.fjs, 2077, 6, 933, timeout, 2083
la29.fjs, 1969, 9, 877, timeout, 1869
la30.fjs, 2098, 6, 944, timeout, 2203
la31.fjs, 249, 0, 2, timeout, none
la32.fjs, 251, 0, 5, timeout, none
la33.fjs, 250, 0, 4, timeout, none
la34.fjs, 250, 0, 7, timeout, none
la35.fjs, 249, 0, 1, timeout, none
la36.fjs, 1175, 5, 482, timeout, 2093
la37.fjs, 1251, 11, 513, timeout, 2022
la38.fjs, 1475, 88, 540, timeout, 1943
la39.fjs, 1080, 6, 430, timeout, 1922
la40.fjs, 1175, 14, 470, timeout, 1942
mt06.fjs, 32959, 14, 16454, timeout, 64
mt10.fjs, 4799, 206, 2155, timeout, 1136
mt20.fjs, 8400, 10, 4142, timeout, 1544
orb1.fjs, 5853, 23, 2859, timeout, 1390
orb2.fjs, 4839, 45, 2337, timeout, 1205
orb3.fjs, 6781, 81, 3265, timeout, 1352
orb4.fjs, 4636, 13, 2268, timeout, 1387
orb5.fjs, 6403, 47, 3111, timeout, 1044
orb6.fjs, 5936, 10, 2916, timeout, 1316
orb7.fjs, 4415, 44, 2131, timeout, 480
orb8.fjs, 7520, 54, 3659, timeout, 1171
orb9.fjs, 7646, 105, 3675, timeout, 1377
orb10.fjs, 5791, 148, 2708, timeout, 1227
