problem, nodes, solutions, fails, time, optimum
abz5.fjs, 757771, 0, 378658, timeout, none
abz6.fjs, 332203, 0, 165876, timeout, none
abz7.fjs, 177108, 0, 87303, timeout, none
abz8.fjs, 51117, 0, 24314, timeout, none
abz9.fjs, 146038, 0, 71764, timeout, none
car1.fjs, 697941, 0, 348850, timeout, none
car2.fjs, 731781, 0, 365761, timeout, none
car3.fjs, 634125, 0, 316918, timeout, none
car4.fjs, 672313, 0, 336005, timeout, none
car5.fjs, 782972, 0, 391357, timeout, none
car6.fjs, 758551, 0, 379145, timeout, none
car7.fjs, 768570, 0, 384207, timeout, none
car8.fjs, 588723, 0, 294247, timeout, none
la01.fjs, 942109, 0, 470952, timeout, none
la02.fjs, 1048452, 0, 524124, timeout, none
la03.fjs, 1043437, 0, 521614, timeout, none
la04.fjs, 1347095, 0, 673442, timeout, none
la05.fjs, 731775, 0, 365785, timeout, none
la06.fjs, 480546, 0, 240036, timeout, none
la07.fjs, 984568, 0, 492051, timeout, none
la08.fjs, 607011, 0, 303270, timeout, none
la09.fjs, 611900, 0, 305712, timeout, none
la10.fjs, 867094, 0, 433320, timeout, none
la11.fjs, 326649, 0, 162910, timeout, none
la12.fjs, 328862, 0, 164020, timeout, none
la13.fjs, 515624, 0, 257403, timeout, none
la14.fjs, 637382, 0, 318275, timeout, none
la15.fjs, 510731, 0, 254950, timeout, none
la16.fjs, 331461, 0, 165505, timeout, none
la17.fjs, 526135, 0, 262841, timeout, none
la18.fjs, 436637, 0, 218092, timeout, none
la19.fjs, 525303, 0, 262425, timeout, none
la20.fjs, 665193, 0, 332370, timeout, none
la21.fjs, 439862, 0, 219465, timeout, none
la22.fjs, 397918, 0, 198489, timeout, none
