problem, nodes, solutions, fails, time, optimum
abz5.fjs, 76137, 8, 37894, timeout, 4780
abz6.fjs, 74885, 14, 37265, timeout, 3449
abz7.fjs, 2857, 1, 353, timeout, 5643
abz8.fjs, 51159, 0, 24354, timeout, none
abz9.fjs, 2860, 1, 350, timeout, 5625
car1.fjs, 957131, 0, 478451, timeout, none
car2.fjs, 720952, 0, 360353, timeout, none
car3.fjs, 773234, 0, 386478, timeout, none
car4.fjs, 663435, 0, 331571, timeout, none
car5.fjs, 887784, 0, 443768, timeout, none
car6.fjs, 1054855, 0, 527303, timeout, none
car7.fjs, 158409, 2, 79140, timeout, 8021
car8.fjs, 837916, 0, 418849, timeout, none
la01.fjs, 2542153, 0, 1270976, timeout, none
la02.fjs, 2372158, 1, 1185980, timeout, 1840
la03.fjs, 1214537, 0, 607168, timeout, none
la04.fjs, 117140, 4, 58496, timeout, 1659
la05.fjs, 2515099, 5, 1257445, timeout, 1430
la06.fjs, 370048, 4, 184831, timeout, 2438
la07.fjs, 1831372, 0, 915455, timeout, none
la08.fjs, 334728, 14, 167161, timeout, 2214
la09.fjs, 126917, 10, 63259, timeout, 2163
la10.fjs, 124125, 4, 61875, timeout, 2572
la11.fjs, 324713, 0, 161948, timeout, none
la12.fjs, 815480, 0, 407336, timeout, none
la13.fjs, 1493172, 0, 746181, timeout, none
la14.fjs, 1431752, 0, 715465, timeout, none
la15.fjs, 826286, 0, 412734, timeout, none
la16.fjs, 793306, 0, 396434, timeout, none
la17.fjs, 102557, 5, 51108, timeout, 3079
la18.fjs, 1262976, 9, 631260, timeout, 3308
la19.fjs, 279391, 13, 139518, timeout, 3244
la20.fjs, 1460667, 3, 730111, timeout, 3433
la21.fjs, 4650, 6, 2064, timeout, 5041
la22.fjs, 4246, 8, 1825, timeout, 5164
