problem, nodes, solutions, fails, time, optimum
abz5.fjs, 6464756, -1, 2694463, timeout, 1270
abz6.fjs, 2708474, -1, 1121197, 330.01s, 925
abz7.fjs, 5714291, -1, 1564753, timeout, 778
abz8.fjs, 5143241, -1, 1610071, timeout, 737
abz9.fjs, 9993405, -1, 2851374, timeout, 828
car1.fjs, 4598580, -1, 2013933, timeout, 7222
car2.fjs, 4925968, -1, 2627896, timeout, 7519
car3.fjs, 2139387, -1, 1565321, timeout, 8255
car4.fjs, 6498626, -1, 3045714, timeout, 9883
car5.fjs, 2253641, -1, 816395, timeout, 7477
car6.fjs, 1192592, -1, 775921, timeout, 9766
car7.fjs, 1063442, -1, 421360, 461.01s, 6123
car8.fjs, 2984251, -1, 1309143, timeout, 8806
la01.fjs, 9799395, -1, 4541000, timeout, 739
la02.fjs, 5987410, -1, 3984898, timeout, 695
la03.fjs, 10212735, -1, 5503525, timeout, 714
la04.fjs, 1804180, -1, 1192341, 272.01s, 558
la05.fjs, 9199013, -1, 3710611, timeout, 698
la06.fjs, 6763542, -1, 3836983, timeout, 926
la07.fjs, 6272441, -1, 3991975, timeout, 903
la08.fjs, 6096636, -1, 3804059, timeout, 864
la09.fjs, 5694114, -1, 4150590, timeout, 993
la10.fjs, 10115025, -1, 4842160, timeout, 937
la11.fjs, 4463328, -1, 3459036, timeout, 1129
la12.fjs, 5430032, -1, 3950565, timeout, 1097
la13.fjs, 8555245, -1, 4692404, timeout, 1150
la14.fjs, 5262824, -1, 3386775, timeout, 1205
la15.fjs, 7348478, -1, 4747048, timeout, 1346
la16.fjs, 1834399, -1, 871600, 294.01s, 892
la17.fjs, 27414, -1, 7716, 1.01s, 675
la18.fjs, 1971868, -1, 963952, 238.01s, 838
la19.fjs, 1930050, -1, 692130, 198.01s, 794
la20.fjs, 119959, -1, 41239, 10.01s, 857
la21.fjs, 4874397, -1, 2451599, timeout, 1104
la22.fjs, 2992092, -1, 1836938, timeout, 1003
la23.fjs, 2775705, -1, 1881896, timeout, 1041
la24.fjs, 4534746, -1, 2331300, timeout, 987
la25.fjs, 9380700, -1, 2614018, timeout, 1208
la26.fjs, 4557787, -1, 2158624, timeout, 1302
la27.fjs, 11077971, -1, 3813454, timeout, 1547
la28.fjs, 4967801, -1, 2348266, timeout, 1402
la29.fjs, 7801744, -1, 2662014, timeout, 1425
la30.fjs, 3917327, -1, 1991729, timeout, 1489
la31.fjs, 3521478, -1, 1648961, timeout, 1784
la32.fjs, 2970870, -1, 1621510, timeout, 1860
la33.fjs, 7221248, -1, 2247131, timeout, 1820
la34.fjs, 3220045, -1, 1630224, timeout, 1818
la35.fjs, 3559939, -1, 1617876, timeout, 2032
la36.fjs, 3392699, -1, 1118228, timeout, 1316
la37.fjs, 6527984, -1, 1618262, timeout, 1598
la38.fjs, 8850766, -1, 2921839, timeout, 1381
la39.fjs, 6699422, -1, 2040479, timeout, 1368
la40.fjs, 4384246, -1, 1373445, timeout, 1245
mt06.fjs, 752, -1, 58, 0.00s, 55
mt10.fjs, 3180938, -1, 2247177, timeout, 984
mt20.fjs, 14164459, -1, 5073934, timeout, 1426
orb1.fjs, 5224939, -1, 2446762, timeout, 1071
orb2.fjs, 3870031, -1, 1822633, timeout, 905
orb3.fjs, 5167986, -1, 2908728, timeout, 1096
orb4.fjs, 3359293, -1, 1496096, timeout, 1022
orb5.fjs, 5886399, -1, 3371402, timeout, 962
orb6.fjs, 4932480, -1, 2499980, timeout, 1074
orb7.fjs, 3959439, -1, 1841751, timeout, 385
orb8.fjs, 5618936, -1, 2674914, timeout, 985
orb9.fjs, 2240367, -1, 1110487, timeout, 939
orb10.fjs, 4115036, -1, 2484950, timeout, 1132
