problem, nodes, solutions, fails, time, optimum
abz5.fjs, 15400433, -1, 2018440, timeout, 1398
abz6.fjs, 8202676, -1, 2289852, timeout, 996
abz7.fjs, 6958442, -1, 962621, timeout, 765
abz8.fjs, 35651987, -1, 1238721, timeout, 808
abz9.fjs, 12144042, -1, 890730, timeout, 765
car1.fjs, 5158181, -1, 1656949, timeout, 7640
car2.fjs, 42176744, -1, 8640121, timeout, 7824
car3.fjs, 44021920, -1, 8617687, timeout, 8879
car4.fjs, 9362973, -1, 2372440, timeout, 9766
car5.fjs, 5869493, -1, 1371416, timeout, 8384
car6.fjs, 43149497, -1, 7875276, timeout, 9957
car7.fjs, 62342671, -1, 5578933, timeout, 7078
car8.fjs, 1098407, -1, 976839, timeout, 8931
la01.fjs, 77849639, -1, 8305592, timeout, 701
la02.fjs, 55431512, -1, 8913772, timeout, 709
la03.fjs, 7125040, -1, 4974584, timeout, 598
la04.fjs, 48376903, -1, 13847530, timeout, 668
la05.fjs, 56713133, -1, 13922164, timeout, 657
la06.fjs, 15001897, -1, 4564168, timeout, 923
la07.fjs, 55308684, -1, 9612322, timeout, 931
la08.fjs, 10576594, -1, 2909788, timeout, 954
la09.fjs, 20134507, -1, 6598073, timeout, 1012
la10.fjs, 28023390, -1, 4862949, timeout, 983
la11.fjs, 6931800, -1, 3014150, timeout, 1312
la12.fjs, 20230487, -1, 6143218, timeout, 1140
la13.fjs, 4323272, -1, 2930719, timeout, 1184
la14.fjs, 5955514, -1, 2580773, timeout, 1291
la15.fjs, 5784906, -1, 3000315, timeout, 1414
la16.fjs, 6686166, -1, 2079858, timeout, 953
la17.fjs, 73006167, -1, 6967478, timeout, 791
la18.fjs, 5257017, -1, 2109837, timeout, 858
la19.fjs, 10429449, -1, 2613754, timeout, 799
la20.fjs, 10726523, -1, 1801087, timeout, 908
la21.fjs, 22802640, -1, 1828923, timeout, 1227
la22.fjs, 42486369, -1, 1864561, timeout, 1210
la23.fjs, 43691903, -1, 2045809, timeout, 1090
la24.fjs, 35524843, -1, 2052148, timeout, 1045
la25.fjs, 22603616, -1, 2336671, timeout, 1085
la26.fjs, 41181224, -1, 1953062, timeout, 1444
la27.fjs, 3046863, -1, 2494121, timeout, 1637
la28.fjs, 55472624, -1, 6984797, timeout, 1633
la29.fjs, 11970471, -1, 1763557, timeout, 1406
la30.fjs, 20113031, -1, 1439694, timeout, 1548
la31.fjs, 15168001, -1, 1149895, timeout, 2084
la32.fjs, 21908664, -1, 1131966, timeout, 2263
la33.fjs, 3437206, -1, 1356406, timeout, 2039
la34.fjs, 7035765, -1, 967847, timeout, 2084
la35.fjs, 3752426, -1, 1002234, timeout, 2264
la36.fjs, 19086771, -1, 1045705, timeout, 1493
la37.fjs, 15905730, -1, 1111759, timeout, 1643
la38.fjs, 58288093, -1, 2433373, timeout, 1404
la39.fjs, 12845398, -1, 994548, timeout, 1441
la40.fjs, 7805125, -1, 1222414, timeout, 1425
mt06.fjs, 1189, -1, 319, 0.00s, 55
mt10.fjs, 57033580, -1, 6095925, timeout, 981
mt20.fjs, 3766907, -1, 2571701, timeout, 1411
orb1.fjs, 14162556, -1, 3071207, timeout, 1101
orb2.fjs, 2473615, -1, 1558216, timeout, 941
orb3.fjs, 4741275, -1, 2650032, timeout, 1080
orb4.fjs, 2968893, -1, 2176242, timeout, 1154
orb5.fjs, 6958501, -1, 2362681, timeout, 890
orb6.fjs, 5737871, -1, 2172150, timeout, 1075
orb7.fjs, 4451209, -1, 2873433, timeout, 406
orb8.fjs, 4724372, -1, 2754632, timeout, 1008
orb9.fjs, 3455174, -1, 1709406, timeout, 996
orb10.fjs, 7109254, -1, 2572812, timeout, 1108
