problem, nodes, solutions, fails, time, optimum
abz5.fjs, 6211415, -1, 3474098, timeout, 1236
abz6.fjs, 7090470, -1, 3160240, timeout, 925
abz7.fjs, 4615082, -1, 1619154, timeout, 753
abz8.fjs, 3621706, -1, 1301531, timeout, 723
abz9.fjs, 6528514, -1, 2119136, timeout, 830
car1.fjs, 4640367, -1, 3284205, timeout, 8382
car2.fjs, 2367040, -1, 2207932, timeout, 8665
car3.fjs, 8826122, -1, 8580951, timeout, 9898
car4.fjs, 5785516, -1, 4068099, timeout, 9980
car5.fjs, 4432017, -1, 3086112, timeout, 8163
car6.fjs, 2698079, -1, 1549415, timeout, 10423
car7.fjs, 2362118, -1, 1952361, timeout, 7302
car8.fjs, 6094320, -1, 1976286, timeout, 8832
la01.fjs, 6496053, -1, 4879798, timeout, 666
la02.fjs, 7805796, -1, 4584019, timeout, 660
la03.fjs, 12415881, -1, 6913409, timeout, 714
la04.fjs, 6375658, -1, 4578737, timeout, 568
la05.fjs, 11749942, -1, 6475494, timeout, 593
la06.fjs, 7276200, -1, 5374213, timeout, 942
la07.fjs, 6455507, -1, 4810329, timeout, 907
la08.fjs, 6676738, -1, 4548855, timeout, 863
la09.fjs, 6785499, -1, 5102711, timeout, 993
la10.fjs, 11743240, -1, 5559618, timeout, 958
la11.fjs, 7618778, -1, 4264646, timeout, 1271
la12.fjs, 6760607, -1, 4637722, timeout, 1096
la13.fjs, 6814584, -1, 4803137, timeout, 1157
la14.fjs, 8936254, -1, 3734055, timeout, 1292
la15.fjs, 11429514, -1, 5392358, timeout, 1416
la16.fjs, 7435010, -1, 2733571, 597.01s, 892
la17.fjs, 2933620, -1, 1182281, 240.01s, 707
la18.fjs, 6034822, -1, 3016741, timeout, 842
la19.fjs, 5260871, -1, 1736496, 398.01s, 796
la20.fjs, 8044725, -1, 3111592, timeout, 902
la21.fjs, 6328168, -1, 2800641, timeout, 1169
la22.fjs, 6748883, -1, 3086780, timeout, 1071
la23.fjs, 5703617, -1, 2670351, timeout, 1032
la24.fjs, 6422566, -1, 2150586, timeout, 1015
la25.fjs, 8670061, -1, 2619114, timeout, 1173
la26.fjs, 6275371, -1, 2669426, timeout, 1344
la27.fjs, 7274267, -1, 2214598, timeout, 1365
la28.fjs, 6916385, -1, 3093049, timeout, 1440
la29.fjs, 5159989, -1, 2309704, timeout, 1348
la30.fjs, 6369587, -1, 2218044, timeout, 1483
la31.fjs, 4768376, -1, 1726684, timeout, 1863
la32.fjs, 6638810, -1, 1905975, timeout, 2023
la33.fjs, 4188951, -1, 1762320, timeout, 1860
la34.fjs, 5685398, -1, 1884529, timeout, 1833
la35.fjs, 5337663, -1, 1978679, timeout, 1975
la36.fjs, 6399007, -1, 1971497, timeout, 1357
la37.fjs, 6988260, -1, 1909119, timeout, 1527
la38.fjs, 5612006, -1, 1709829, timeout, 1327
la39.fjs, 6437957, -1, 1624173, timeout, 1327
la40.fjs, 8404867, -1, 2602144, timeout, 1378
mt06.fjs, 1507, -1, 291, 0.00s, 55
mt10.fjs, 6257942, -1, 3262666, timeout, 986
mt20.fjs, 10923742, -1, 4636410, timeout, 1405
orb1.fjs, 9819774, -1, 3522835, timeout, 1183
orb2.fjs, 5575885, -1, 2946525, timeout, 914
orb3.fjs, 8209504, -1, 3515993, timeout, 1151
orb4.fjs, 5591123, -1, 2596455, timeout, 1026
orb5.fjs, 9061322, -1, 3495805, timeout, 930
orb6.fjs, 7559151, -1, 3040154, timeout, 1141
orb7.fjs, 7448611, -1, 3220427, timeout, 393
orb8.fjs, 8121626, -1, 4045209, timeout, 1011
orb9.fjs, 4399429, -1, 2001756, timeout, 934
orb10.fjs, 7342733, -1, 4031666, timeout, 1092
