problem, nodes, solutions, fails, time, optimum
abz5.fjs, 396529760, 6, 198264793, timeout, 1424
abz6.fjs, 278359025, 3, 139179454, timeout, 1029
abz7.fjs, 40264698, 16, 20132030, timeout, 893
abz8.fjs, 78540312, 21, 39269682, timeout, 816
abz9.fjs, 63628560, 13, 31813995, timeout, 900
car1.fjs, 392963554, 3, 196481731, timeout, 7222
car2.fjs, 565258486, 3, 282629204, timeout, 7519
car3.fjs, 96158945, 5, 48079425, timeout, 8255
car4.fjs, 551904789, 1, 275952362, timeout, 9883
car5.fjs, 210243004, 7, 105121424, timeout, 7922
car6.fjs, 304795231, 2, 152397573, timeout, 10676
car7.fjs, 62402830, 3, 31201379, timeout, 7288
car8.fjs, 145374432, 5, 72687158, timeout, 9292
la01.fjs, 150940807, 12, 75470327, timeout, 762
la02.fjs, 161024930, 6, 80512415, timeout, 737
la03.fjs, 367205712, 2, 183602824, timeout, 744
la04.fjs, 380890292, 10, 190445064, timeout, 679
la05.fjs, 437022125, 5, 218511015, timeout, 698
la06.fjs, 253359424, 6, 126679655, timeout, 1078
la07.fjs, 94203778, 9, 47101803, timeout, 919
la08.fjs, 236531831, 3, 118265870, timeout, 1036
la09.fjs, 419562100, 4, 209780998, timeout, 1095
la10.fjs, 443633122, 9, 221816484, timeout, 937
la11.fjs, 420813221, 4, 210406543, timeout, 1188
la12.fjs, 93976078, 17, 46987881, timeout, 1166
la13.fjs, 139125795, 20, 69562760, timeout, 1150
la14.fjs, 257735398, 8, 128867611, timeout, 1306
la15.fjs, 441149122, 3, 220574493, timeout, 1346
la16.fjs, 251786497, 6, 125893167, timeout, 1138
la17.fjs, 157769249, 20, 78884343, timeout, 800
la18.fjs, 155995227, 16, 77997428, timeout, 1053
la19.fjs, 310152365, 1, 155076126, timeout, 1005
la20.fjs, 199278493, 15, 99639092, timeout, 1108
la21.fjs, 258347395, 5, 129173601, timeout, 1381
la22.fjs, 161320955, 4, 80660376, timeout, 1179
la23.fjs, 265497829, 17, 132748669, timeout, 1175
la24.fjs, 174367129, 1, 87183481, timeout, 1190
la25.fjs, 161212794, 19, 80606154, timeout, 1263
la26.fjs, 98961183, 15, 49480309, timeout, 1414
la27.fjs, 194794321, 5, 97397036, timeout, 1633
la28.fjs, 189143277, 6, 94571484, timeout, 1626
la29.fjs, 127575070, 10, 63787385, timeout, 1626
la30.fjs, 89092787, 14, 44546099, timeout, 1532
la31.fjs, 119869593, 25, 59934343, timeout, 1870
la32.fjs, 175115663, 4, 87557644, timeout, 2086
la33.fjs, 26261328, 33, 13130011, timeout, 1984
la34.fjs, 45252697, 14, 22626076, timeout, 2078
la35.fjs, 91170384, 9, 45584963, timeout, 2209
la36.fjs, 154499487, 11, 77249521, timeout, 1597
la37.fjs, 54946001, 9, 27472810, timeout, 1707
la38.fjs, 147815030, 18, 73907148, timeout, 1606
la39.fjs, 91970862, 6, 45985249, timeout, 1460
la40.fjs, 58698304, 14, 29348812, timeout, 1377
mt06.fjs, 493988915, 6, 246994419, timeout, 55
mt10.fjs, 100219778, 17, 50109692, timeout, 1071
mt20.fjs, 329271192, 3, 164635536, timeout, 1426
orb1.fjs, 403695848, 7, 201847838, timeout, 1372
orb2.fjs, 70628531, 15, 35314021, timeout, 990
orb3.fjs, 286859350, 5, 143429601, timeout, 1221
orb4.fjs, 119465910, 18, 59732683, timeout, 1127
orb5.fjs, 158741652, 4, 79370752, timeout, 1146
orb6.fjs, 186876121, 3, 93437994, timeout, 1246
orb7.fjs, 223476024, 8, 111737905, timeout, 498
orb8.fjs, 192780878, 5, 96390345, timeout, 1020
orb9.fjs, 160761798, 6, 80380807, timeout, 1226
orb10.fjs, 333782704, 10, 166891229, timeout, 1279
