problem, nodes, solutions, fails, time, optimum
abz5.fjs, 71950101, 5, 35974953, timeout, 1319
abz6.fjs, 88665386, 6, 44332613, timeout, 986
abz7.fjs, 12136760, 13, 6068109, timeout, 850
abz8.fjs, 15135800, 12, 7567651, timeout, 815
abz9.fjs, 12742744, 6, 6371149, timeout, 878
car1.fjs, 73764251, 1, 36882093, timeout, 9298
car2.fjs, 87899286, 1, 43949611, timeout, 8665
car3.fjs, 104346590, 1, 52173259, timeout, 10122
car4.fjs, 118150748, 2, 59075338, timeout, 9980
car5.fjs, 147425937, 3, 73712927, timeout, 9077
car6.fjs, 77186058, 4, 38592980, timeout, 10887
car7.fjs, 124531125, 1, 62265534, timeout, 8170
car8.fjs, 28265795, 2, 14132854, timeout, 9541
la01.fjs, 153495856, 3, 76747882, timeout, 816
la02.fjs, 87717011, 6, 43858459, timeout, 764
la03.fjs, 89942459, 2, 44971198, timeout, 758
la04.fjs, 79450912, 13, 39725377, timeout, 682
la05.fjs, 110796352, 8, 55398117, timeout, 593
la06.fjs, 49846282, 4, 24923087, timeout, 1036
la07.fjs, 79513195, 3, 39756550, timeout, 1065
la08.fjs, 93049979, 8, 46524919, timeout, 876
la09.fjs, 52781001, 9, 26390424, timeout, 1046
la10.fjs, 40777376, 4, 20388624, timeout, 1002
la11.fjs, 41046003, 10, 20522910, timeout, 1327
la12.fjs, 35132434, 9, 17566116, timeout, 1096
la13.fjs, 26566672, 11, 13283229, timeout, 1181
la14.fjs, 23848745, 17, 11924227, timeout, 1292
la15.fjs, 50978022, 3, 25488952, timeout, 1416
la16.fjs, 67670439, 8, 33835112, timeout, 1106
la17.fjs, 65460325, 3, 32730088, timeout, 858
la18.fjs, 32363556, 16, 16181589, timeout, 992
la19.fjs, 54502901, 10, 27251325, timeout, 971
la20.fjs, 70614295, 4, 35307073, timeout, 1130
la21.fjs, 61152551, 6, 30576139, timeout, 1352
la22.fjs, 36707244, 8, 18353496, timeout, 1193
la23.fjs, 32824093, 17, 16411826, timeout, 1164
la24.fjs, 31086017, 15, 15542784, timeout, 1136
la25.fjs, 33961468, 15, 16980550, timeout, 1234
la26.fjs, 18540847, 13, 9270192, timeout, 1368
la27.fjs, 17397331, 10, 8698500, timeout, 1656
la28.fjs, 32297326, 3, 16148534, timeout, 1607
la29.fjs, 14834507, 4, 7417122, timeout, 1513
la30.fjs, 18009843, 8, 9004769, timeout, 1754
la31.fjs, 12790827, 6, 6395215, timeout, 2103
la32.fjs, 6396453, 5, 3198022, timeout, 2333
la33.fjs, 10180275, 16, 5089834, timeout, 2003
la34.fjs, 8807556, 10, 4403558, timeout, 2046
la35.fjs, 9483090, 21, 4741195, timeout, 2154
la36.fjs, 36597979, 10, 18298759, timeout, 1602
la37.fjs, 30412444, 3, 15206090, timeout, 1637
la38.fjs, 41414833, 22, 20707052, timeout, 1603
la39.fjs, 20964802, 11, 10482165, timeout, 1445
la40.fjs, 33539040, 12, 16769290, timeout, 1609
mt06.fjs, 4182080, 9, 2086262, 43.01s, 55
mt10.fjs, 41667790, 21, 20833713, timeout, 1096
mt20.fjs, 52689418, 3, 26344650, timeout, 1421
orb1.fjs, 114937185, 11, 57468467, timeout, 1309
orb2.fjs, 74265153, 7, 37132481, timeout, 1055
orb3.fjs, 60987313, 10, 30493553, timeout, 1232
orb4.fjs, 32553762, 10, 16276769, timeout, 1250
orb5.fjs, 47130261, 3, 23565061, timeout, 1054
orb6.fjs, 101258117, 2, 50629000, timeout, 1301
orb7.fjs, 61813584, 3, 30906724, timeout, 488
orb8.fjs, 68428483, 7, 34214160, timeout, 1082
orb9.fjs, 25345673, 5, 12672759, timeout, 1234
orb10.fjs, 50215580, 3, 25107724, timeout, 1263
