problem, nodes, solutions, fails, time, optimum
abz5.fjs, 33495048, 7, 16747459, timeout, 1466
abz6.fjs, 39061157, 8, 19530434, timeout, 1058
abz7.fjs, 11208465, 9, 5603969, timeout, 878
abz8.fjs, 11160346, 11, 5579719, timeout, 849
abz9.fjs, 8732651, 16, 4365848, timeout, 885
car1.fjs, 62489115, 3, 31244527, timeout, 9672
car2.fjs, 95192519, 2, 47596229, timeout, 9887
car3.fjs, 46791094, 1, 23395520, timeout, 10279
car4.fjs, 80591779, 3, 40295855, timeout, 9696
car5.fjs, 72885503, 9, 36442667, timeout, 9640
car6.fjs, 57248527, 3, 28624227, timeout, 11939
car7.fjs, 63674807, 3, 31837380, timeout, 8192
car8.fjs, 53774240, 3, 26887087, timeout, 9192
la01.fjs, 72930732, 8, 36465284, timeout, 693
la02.fjs, 61471486, 8, 30735663, timeout, 733
la03.fjs, 60087235, 4, 30043581, timeout, 714
la04.fjs, 51726485, 10, 25862999, timeout, 668
la05.fjs, 63658523, 4, 31829228, timeout, 612
la06.fjs, 35787759, 6, 17893809, timeout, 986
la07.fjs, 34546900, 1, 17273421, timeout, 984
la08.fjs, 40077049, 3, 20037994, timeout, 990
la09.fjs, 34015805, 8, 17007801, timeout, 1045
la10.fjs, 46338825, 4, 23169349, timeout, 987
la11.fjs, 38513951, 5, 19256902, timeout, 1274
la12.fjs, 29242915, 8, 14621333, timeout, 1070
la13.fjs, 29766483, 2, 14883189, timeout, 1265
la14.fjs, 31282613, 4, 15641253, timeout, 1344
la15.fjs, 29432715, 4, 14716293, timeout, 1387
la16.fjs, 31406476, 11, 15703107, timeout, 1082
la17.fjs, 29150553, 11, 14575096, timeout, 835
la18.fjs, 36543716, 11, 18271689, timeout, 946
la19.fjs, 40771002, 21, 20385252, timeout, 989
la20.fjs, 15009579, 2, 7504753, timeout, 1069
la21.fjs, 35780372, 5, 17890111, timeout, 1385
la22.fjs, 19983433, 6, 9991555, timeout, 1227
la23.fjs, 24628788, 10, 12314212, timeout, 1211
la24.fjs, 28992282, 20, 14495702, timeout, 1183
la25.fjs, 23399659, 8, 11699670, timeout, 1286
la26.fjs, 20646200, 5, 10322959, timeout, 1484
la27.fjs, 16482405, 15, 8240874, timeout, 1499
la28.fjs, 14318112, 4, 7158915, timeout, 1630
la29.fjs, 17600348, 7, 8800007, timeout, 1551
la30.fjs, 11689258, 10, 5844365, timeout, 1634
la31.fjs, 14479564, 7, 7239490, timeout, 2096
la32.fjs, 11108192, 5, 5553893, timeout, 2338
la33.fjs, 10291404, 4, 5145513, timeout, 2050
la34.fjs, 12722811, 7, 6361130, timeout, 2062
la35.fjs, 12459554, 3, 6229598, timeout, 2190
la36.fjs, 10010172, 7, 5004906, timeout, 1593
la37.fjs, 18233360, 15, 9116275, timeout, 1629
la38.fjs, 8754683, 6, 4377121, timeout, 1691
la39.fjs, 13321580, 16, 6660284, timeout, 1512
la40.fjs, 20290880, 12, 10145085, timeout, 1486
mt06.fjs, 27619, 9, 13766, 0.00s, 55
mt10.fjs, 33555674, 14, 16777630, timeout, 1154
mt20.fjs, 40153344, 2, 20076623, timeout, 1560
orb1.fjs, 35765830, 3, 17882856, timeout, 1332
orb2.fjs, 26767825, 9, 13383782, timeout, 1094
orb3.fjs, 26293098, 8, 13146471, timeout, 1205
orb4.fjs, 33394845, 4, 16697361, timeout, 1285
orb5.fjs, 35355043, 7, 17677432, timeout, 1060
orb6.fjs, 37315993, 6, 18657916, timeout, 1263
orb7.fjs, 24872026, 7, 12435616, timeout, 468
orb8.fjs, 31950926, 10, 15975334, timeout, 1060
orb9.fjs, 22594093, 5, 11296973, timeout, 1190
orb10.fjs, 43888745, 4, 21944307, timeout, 1222
