problem, nodes, solutions, fails, time, optimum
abz5.fjs, 454427, 0, 227105, timeout, none
abz6.fjs, 412634, 0, 206209, timeout, none
abz7.fjs, 64908, 0, 32042, timeout, none
abz8.fjs, 65951, 0, 32561, timeout, none
abz9.fjs, 65138, 0, 32170, timeout, none
car1.fjs, 602890, 0, 301388, timeout, none
car2.fjs, 670372, 0, 335125, timeout, none
car3.fjs, 499425, 0, 249650, timeout, none
car4.fjs, 577936, 0, 288903, timeout, none
car5.fjs, 502897, 0, 251384, timeout, none
car6.fjs, 357828, 0, 178840, timeout, none
car7.fjs, 772706, 0, 386305, timeout, none
car8.fjs, 443141, 0, 221502, timeout, none
la01.fjs, 1075741, 0, 537815, timeout, none
la02.fjs, 1085049, 0, 542471, timeout, none
la03.fjs, 1076265, 0, 538080, timeout, none
la04.fjs, 927166, 0, 463531, timeout, none
la05.fjs, 1066513, 0, 533203, timeout, none
la06.fjs, 436044, 0, 217928, timeout, none
la07.fjs, 433606, 0, 216715, timeout, none
la08.fjs, 506699, 0, 253259, timeout, none
la09.fjs, 429373, 0, 214595, timeout, none
la10.fjs, 507635, 0, 253728, timeout, none
la11.fjs, 246749, 0, 123242, timeout, none
la12.fjs, 449466, 0, 224596, timeout, none
la13.fjs, 293308, 0, 146519, timeout, none
la14.fjs, 246890, 0, 123306, timeout, none
la15.fjs, 246300, 0, 123006, timeout, none
la16.fjs, 309896, 0, 154842, timeout, none
la17.fjs, 465565, 0, 232674, timeout, none
la18.fjs, 361539, 0, 180662, timeout, none
la19.fjs, 254023, 0, 126903, timeout, none
la20.fjs, 256256, 0, 128015, timeout, none
la21.fjs, 112742, 0, 56187, timeout, none
la22.fjs, 111882, 0, 55763, timeout, none
la23.fjs, 112564, 0, 56106, timeout, none
la24.fjs, 255334, 0, 127475, timeout, none
la25.fjs, 138371, 0, 69007, timeout, none
la26.fjs, 60596, 0, 30027, timeout, none
la27.fjs, 60191, 0, 29823, timeout, none
la28.fjs, 61484, 0, 30469, timeout, none
la29.fjs, 74669, 0, 37072, timeout, none
la30.fjs, 75091, 0, 37264, timeout, none
la31.fjs, 39705, 0, 19347, timeout, none
la32.fjs, 27424, 0, 13210, timeout, none
la33.fjs, 27512, 0, 13257, timeout, none
la34.fjs, 27243, 0, 13134, timeout, none
la35.fjs, 77711, 0, 38366, timeout, none
la36.fjs, 196420, 0, 97922, timeout, none
la37.fjs, 49111, 0, 24267, timeout, none
la38.fjs, 83590, 0, 41512, timeout, none
la39.fjs, 48715, 0, 24071, timeout, none
la40.fjs, 94644, 0, 47049, timeout, none
mt06.fjs, 1733335, 0, 866631, timeout, none
mt10.fjs, 254283, 0, 127030, timeout, none
mt20.fjs, 245449, 0, 122579, timeout, none
orb1.fjs, 250901, 0, 125342, timeout, none
orb2.fjs, 310456, 0, 155117, timeout, none
orb3.fjs, 253069, 0, 126428, timeout, none
orb4.fjs, 462761, 0, 231272, timeout, none
orb5.fjs, 365546, 0, 182664, timeout, none
orb6.fjs, 251539, 0, 125661, timeout, none
orb7.fjs, 321528, 0, 160653, timeout, none
orb8.fjs, 256001, 0, 127894, timeout, none
orb9.fjs, 621314, 0, 310549, timeout, none
orb10.fjs, 362694, 0, 181238, timeout, none
