problem, nodes, solutions, fails, time, optimum
abz5.fjs, 271647, 0, 135715, timeout, none
abz6.fjs, 223205, 0, 111495, timeout, none
abz7.fjs, 23944, 0, 11561, timeout, none
abz8.fjs, 21102, 0, 10137, timeout, none
abz9.fjs, 23773, 0, 11488, timeout, none
car1.fjs, 216624, 0, 108256, timeout, none
car2.fjs, 280932, 0, 140405, timeout, none
car3.fjs, 215194, 0, 107535, timeout, none
car4.fjs, 240839, 0, 120355, timeout, none
car5.fjs, 196635, 0, 98254, timeout, none
car6.fjs, 155344, 0, 77599, timeout, none
car7.fjs, 336813, 0, 168359, timeout, none
car8.fjs, 197520, 0, 98692, timeout, none
la01.fjs, 450452, 0, 225171, timeout, none
la02.fjs, 467064, 0, 233479, timeout, none
la03.fjs, 511292, 0, 255594, timeout, none
la04.fjs, 307929, 0, 153913, timeout, none
la05.fjs, 432120, 0, 216007, timeout, none
la06.fjs, 172155, 0, 85984, timeout, none
la07.fjs, 166010, 0, 82917, timeout, none
la08.fjs, 199916, 0, 99868, timeout, none
la09.fjs, 155999, 0, 77909, timeout, none
la10.fjs, 207053, 0, 103437, timeout, none
la11.fjs, 87568, 0, 43652, timeout, none
la12.fjs, 245171, 0, 122449, timeout, none
la13.fjs, 137433, 0, 68582, timeout, none
la14.fjs, 90932, 0, 45328, timeout, none
la15.fjs, 97660, 0, 48686, timeout, none
la16.fjs, 136482, 0, 68136, timeout, none
la17.fjs, 276040, 0, 137912, timeout, none
la18.fjs, 183515, 0, 91651, timeout, none
la19.fjs, 100070, 0, 49927, timeout, none
la20.fjs, 99324, 0, 49549, timeout, none
la21.fjs, 43190, 0, 21411, timeout, none
la22.fjs, 41331, 0, 20488, timeout, none
la23.fjs, 42098, 0, 20874, timeout, none
la24.fjs, 150460, 0, 75041, timeout, none
la25.fjs, 60363, 0, 30004, timeout, none
la26.fjs, 22959, 0, 11209, timeout, none
la27.fjs, 23539, 0, 11497, timeout, none
la28.fjs, 22423, 0, 10939, timeout, none
la29.fjs, 33226, 0, 16351, timeout, none
la30.fjs, 32988, 0, 16213, timeout, none
la31.fjs, 15108, 0, 7049, timeout, none
la32.fjs, 7450, 0, 3223, timeout, none
la33.fjs, 6639, 0, 2821, timeout, none
la34.fjs, 7768, 0, 3397, timeout, none
la35.fjs, 33897, 0, 16459, timeout, none
la36.fjs, 117600, 0, 58513, timeout, none
la37.fjs, 17509, 0, 8467, timeout, none
la38.fjs, 39127, 0, 19281, timeout, none
la39.fjs, 16408, 0, 7918, timeout, none
la40.fjs, 47779, 0, 23617, timeout, none
mt06.fjs, 609380, 0, 304655, timeout, none
mt10.fjs, 93504, 0, 46641, timeout, none
mt20.fjs, 88083, 0, 43897, timeout, none
orb1.fjs, 91808, 0, 45796, timeout, none
orb2.fjs, 145015, 0, 72397, timeout, none
orb3.fjs, 93486, 0, 46637, timeout, none
orb4.fjs, 260555, 0, 130170, timeout, none
orb5.fjs, 179888, 0, 89836, timeout, none
orb6.fjs, 98804, 0, 49294, timeout, none
orb7.fjs, 147460, 0, 73620, timeout, none
orb8.fjs, 93965, 0, 46877, timeout, none
orb9.fjs, 436154, 0, 217968, timeout, none
orb10.fjs, 179578, 0, 89681, timeout, none
