problem, nodes, solutions, fails, time, optimum
abz5.fjs, 984188, 0, 492013, timeout, none
abz6.fjs, 1010624, 0, 505234, timeout, none
abz7.fjs, 225671, 0, 112506, timeout, none
abz8.fjs, 205861, 0, 102586, timeout, none
abz9.fjs, 185257, 0, 92332, timeout, none
car1.fjs, 363396, 0, 181662, timeout, none
car2.fjs, 441089, 0, 220501, timeout, none
car3.fjs, 465094, 0, 232507, timeout, none
car4.fjs, 430493, 0, 215201, timeout, none
car5.fjs, 267196, 0, 133554, timeout, none
car6.fjs, 1076686, 0, 538292, timeout, none
car7.fjs, 1445239, 0, 722586, timeout, none
car8.fjs, 546908, 0, 273408, timeout, none
la01.fjs, 1266856, 0, 633386, timeout, none
la02.fjs, 1348311, 0, 674116, timeout, none
la03.fjs, 554948, 0, 277440, timeout, none
la04.fjs, 564070, 0, 282001, timeout, none
la05.fjs, 475823, 0, 237877, timeout, none
la06.fjs, 325867, 0, 162865, timeout, none
la07.fjs, 221136, 0, 110506, timeout, none
la08.fjs, 237421, 0, 118645, timeout, none
la09.fjs, 469160, 0, 234513, timeout, none
la10.fjs, 323572, 0, 161722, timeout, none
la11.fjs, 84096, 0, 41950, timeout, none
la12.fjs, 531683, 0, 265735, timeout, none
la13.fjs, 217315, 0, 108556, timeout, none
la14.fjs, 236055, 0, 117922, timeout, none
la15.fjs, 485775, 0, 242776, timeout, none
la16.fjs, 853881, 0, 426867, timeout, none
la17.fjs, 1100608, 0, 550219, timeout, none
la18.fjs, 1129915, 0, 564882, timeout, none
la19.fjs, 1107142, 0, 553487, timeout, none
la20.fjs, 945288, 0, 472563, timeout, none
la21.fjs, 661563, 0, 330641, timeout, none
la22.fjs, 629046, 0, 314388, timeout, none
la23.fjs, 620619, 0, 310181, timeout, none
la24.fjs, 702065, 0, 350893, timeout, none
la25.fjs, 716030, 0, 357882, timeout, none
la26.fjs, 505684, 0, 252638, timeout, none
la27.fjs, 408574, 0, 204074, timeout, none
la28.fjs, 32661, 0, 16126, timeout, none
la29.fjs, 483018, 0, 241312, timeout, none
la30.fjs, 370915, 0, 185233, timeout, none
la31.fjs, 232087, 0, 115630, timeout, none
la32.fjs, 57525, 0, 28360, timeout, none
la33.fjs, 157616, 0, 78404, timeout, none
la34.fjs, 22994, 0, 11110, timeout, none
la35.fjs, 231160, 0, 115189, timeout, none
la36.fjs, 550039, 0, 274760, timeout, none
la37.fjs, 514407, 0, 256975, timeout, none
la38.fjs, 496214, 0, 247881, timeout, none
la39.fjs, 448996, 0, 224261, timeout, none
la40.fjs, 497140, 0, 248366, timeout, none
mt06.fjs, 2037712, 0, 1018831, timeout, none
mt10.fjs, 340636, 0, 170240, timeout, none
mt20.fjs, 300873, 0, 150323, timeout, none
orb1.fjs, 670059, 0, 334954, timeout, none
orb2.fjs, 591331, 0, 295586, timeout, none
orb3.fjs, 640696, 0, 320276, timeout, none
orb4.fjs, 962782, 0, 481312, timeout, none
orb5.fjs, 304965, 0, 152408, timeout, none
orb6.fjs, 587283, 0, 293566, timeout, none
orb7.fjs, 1062709, 0, 531260, timeout, none
orb8.fjs, 214106, 0, 106981, timeout, none
orb9.fjs, 1009123, 0, 504484, timeout, none
orb10.fjs, 1147034, 0, 573437, timeout, none
