problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 47387, 929, 12, 23607, timeout, 1849
abz6.fjs, 66390, 329, 11, 33109, timeout, 1290
abz7.fjs, 4063, 3504, 37, 1781, timeout, 917
abz8.fjs, 5565, 1202, 21, 2540, timeout, 1205
abz9.fjs, 6059, 2460, 29, 2762, timeout, 974
car1.fjs, 99351, 78537, 6, 49630, timeout, 11703
car2.fjs, 171228, 101, 7, 85568, timeout, 12183
car3.fjs, 102941, 154, 4, 51421, timeout, 11126
car4.fjs, 202426, 99, 6, 101162, timeout, 13611
car5.fjs, 170968, 7655, 11, 85428, timeout, 10735
car6.fjs, 98227, 4537, 4, 49053, timeout, 11496
car7.fjs, 171046, 265, 9, 85478, timeout, 8681
car8.fjs, 79071, 1390, 5, 39488, timeout, 11221
la01.fjs, 145876, 278, 13, 72887, timeout, 950
la02.fjs, 206804, 107, 4, 103357, timeout, 1147
la03.fjs, 180093, 83, 1, 90007, timeout, 1033
la04.fjs, 192295, 147, 9, 96100, timeout, 1017
la05.fjs, 200850, 120, 6, 100377, timeout, 898
la06.fjs, 55680, 22037, 14, 27772, timeout, 1451
la07.fjs, 81895, 1201, 2, 40889, timeout, 1623
la08.fjs, 84425, 318, 19, 42140, timeout, 1228
la09.fjs, 86455, 143, 5, 43167, timeout, 1427
la10.fjs, 123506, 140, 4, 61690, timeout, 1763
la11.fjs, 28548, 188, 4, 14193, timeout, 1940
la12.fjs, 49910, 193, 3, 24875, timeout, 1929
la13.fjs, 55249, 217, 5, 27540, timeout, 2270
la14.fjs, 61647, 177, 4, 30741, timeout, 1834
la15.fjs, 52696, 413, 5, 26267, timeout, 2341
la16.fjs, 54865, 544, 14, 27342, timeout, 1255
la17.fjs, 62664, 432, 4, 31252, timeout, 1021
la18.fjs, 64994, 201, 5, 32409, timeout, 1164
la19.fjs, 48364, 847, 21, 24096, timeout, 1096
la20.fjs, 54617, 951, 14, 27226, timeout, 1104
la21.fjs, 13241, 633, 18, 6493, timeout, 2124
la22.fjs, 10583, 1306, 38, 5144, timeout, 1672
la23.fjs, 12344, 608, 19, 6033, timeout, 1772
la24.fjs, 22133, 299, 7, 10942, timeout, 1464
la25.fjs, 27372, 410, 9, 13566, timeout, 2205
la26.fjs, 18515, 713, 7, 9097, timeout, 2520
la27.fjs, 13569, 456, 6, 6620, timeout, 2458
la28.fjs, 19519, 1170, 23, 9572, timeout, 2160
la29.fjs, 10459, 797, 18, 5057, timeout, 2148
la30.fjs, 9039, 789, 27, 4337, timeout, 2220
la31.fjs, 4872, 623, 5, 2203, timeout, 3329
la32.fjs, 6412, 1418, 18, 2951, timeout, 3386
la33.fjs, 7726, 2839, 47, 3589, timeout, 3130
la34.fjs, 4064, 801, 9, 1797, timeout, 2784
la35.fjs, 4507, 872, 13, 2009, timeout, 3540
la36.fjs, 4405, 476, 6, 2026, timeout, 1915
la37.fjs, 3836, 676, 8, 1748, timeout, 1961
la38.fjs, 7404, 744, 8, 3528, timeout, 1618
la39.fjs, 16871, 877, 11, 8255, timeout, 1673
la40.fjs, 7763, 2242, 19, 3697, timeout, 1534
mt06.fjs, 132771, 2421, 10, 66360, timeout, 62
mt10.fjs, 22882, 1767, 39, 11346, timeout, 1215
mt20.fjs, 57966, 164, 2, 28903, timeout, 1832
orb1.fjs, 64060, 786, 20, 31934, timeout, 1357
orb2.fjs, 46024, 500, 6, 22940, timeout, 1435
orb3.fjs, 42546, 755, 12, 21192, timeout, 1666
orb4.fjs, 11145, 735, 21, 5493, timeout, 1285
orb5.fjs, 36102, 564, 12, 17973, timeout, 1044
orb6.fjs, 41829, 337, 8, 20847, timeout, 1398
orb7.fjs, 50110, 293, 11, 24969, timeout, 682
orb8.fjs, 65356, 557, 15, 32590, timeout, 1154
orb9.fjs, 33076, 967, 36, 16437, timeout, 1191
orb10.fjs, 44837, 259, 5, 22346, timeout, 1359
