problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 54085, 190, 2, 26966, timeout, 1681
abz6.fjs, 55010, 17820, 14, 27412, timeout, 1416
abz7.fjs, 4394, 598, 4, 1961, timeout, 950
abz8.fjs, 5785, 1669, 22, 2652, timeout, 972
abz9.fjs, 4700, 719, 6, 2112, timeout, 968
car1.fjs, 165927, 181, 13, 82907, timeout, 11025
car2.fjs, 153879, 4510, 11, 76890, timeout, 12271
car3.fjs, 155527, 1117, 7, 77707, timeout, 10321
car4.fjs, 164349, 91, 1, 82130, timeout, 13291
car5.fjs, 110841, 337, 12, 55367, timeout, 11086
car6.fjs, 54111, 165, 2, 27004, timeout, 11075
car7.fjs, 207851, 170, 6, 103883, timeout, 9372
car8.fjs, 91786, 226, 6, 45846, timeout, 10374
la01.fjs, 176907, 108, 3, 88414, timeout, 951
la02.fjs, 201451, 89, 2, 100683, timeout, 1126
la03.fjs, 185933, 125465, 5, 92922, timeout, 1014
la04.fjs, 177289, 84, 2, 88603, timeout, 1049
la05.fjs, 187316, 112, 2, 93614, timeout, 921
la06.fjs, 57284, 163, 4, 28581, timeout, 1520
la07.fjs, 129626, 134, 4, 64749, timeout, 1580
la08.fjs, 77378, 275, 10, 38624, timeout, 1189
la09.fjs, 88440, 149, 6, 44157, timeout, 1428
la10.fjs, 68025, 14239, 6, 33949, timeout, 1681
la11.fjs, 64174, 196, 6, 32001, timeout, 1911
la12.fjs, 53334, 441, 7, 26581, timeout, 1830
la13.fjs, 72047, 186, 3, 35941, timeout, 2286
la14.fjs, 46525, 262, 6, 23181, timeout, 2018
la15.fjs, 46176, 222, 7, 23005, timeout, 2385
la16.fjs, 70365, 168, 1, 35098, timeout, 1326
la17.fjs, 42361, 231, 8, 21099, timeout, 1109
la18.fjs, 41704, 231, 6, 20773, timeout, 1167
la19.fjs, 40138, 32807, 38, 19966, timeout, 1046
la20.fjs, 50567, 373, 5, 25202, timeout, 1179
la21.fjs, 28462, 280, 4, 14108, timeout, 2146
la22.fjs, 12349, 4534, 8, 6054, timeout, 1685
la23.fjs, 24386, 659, 14, 12064, timeout, 1778
la24.fjs, 24591, 280, 4, 12177, timeout, 1472
la25.fjs, 21775, 657, 21, 10750, timeout, 2048
la26.fjs, 19099, 900, 16, 9369, timeout, 2636
la27.fjs, 10922, 542, 7, 5295, timeout, 2206
la28.fjs, 18469, 714, 9, 9066, timeout, 2185
la29.fjs, 13294, 620, 13, 6477, timeout, 2152
la30.fjs, 13563, 367, 2, 6625, timeout, 2374
la31.fjs, 3342, 1105, 19, 1425, timeout, 3277
la32.fjs, 7182, 2506, 35, 3317, timeout, 3063
la33.fjs, 8633, 987, 20, 4054, timeout, 3084
la34.fjs, 8192, 942, 10, 3845, timeout, 2751
la35.fjs, 5124, 1076, 12, 2323, timeout, 3273
la36.fjs, 11242, 444, 5, 5443, timeout, 1752
la37.fjs, 4603, 906, 16, 2119, timeout, 1761
la38.fjs, 15143, 1314, 19, 7367, timeout, 1788
la39.fjs, 12763, 2082, 27, 6195, timeout, 1583
la40.fjs, 5927, 4876, 54, 2777, timeout, 1501
mt06.fjs, 243043, 3619, 12, 121487, timeout, 59
mt10.fjs, 48152, 1606, 35, 23977, timeout, 1207
mt20.fjs, 43314, 247, 9, 21574, timeout, 1648
orb1.fjs, 64898, 1145, 29, 32344, timeout, 1281
orb2.fjs, 70454, 424, 10, 35137, timeout, 1309
orb3.fjs, 69666, 586, 23, 34730, timeout, 1349
orb4.fjs, 50646, 422, 6, 25241, timeout, 1393
orb5.fjs, 55542, 172, 2, 27688, timeout, 1049
orb6.fjs, 79213, 1334, 30, 39503, timeout, 1211
orb7.fjs, 20587, 278, 8, 10217, timeout, 602
orb8.fjs, 31320, 443, 9, 15587, timeout, 1187
orb9.fjs, 41635, 224, 5, 20746, timeout, 1234
orb10.fjs, 57201, 490, 16, 28505, timeout, 1324
