problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 6521, 374, 17, 3172, timeout, 1927
abz6.fjs, 8031, 195, 7, 3935, timeout, 1593
abz7.fjs, 413, 0, 0, 0, timeout, none
abz8.fjs, 416, 0, 0, 0, timeout, none
abz9.fjs, 418, 0, 0, 0, timeout, none
car1.fjs, 18248, 1338, 6, 9078, timeout, 12021
car2.fjs, 26457, 622, 268, 12921, timeout, 12829
car3.fjs, 15947, 11130, 6, 7925, timeout, 11991
car4.fjs, 24604, 7291, 1602, 10658, timeout, 13570
car5.fjs, 18498, 3478, 7, 9199, timeout, 12978
car6.fjs, 12838, 5733, 322, 6046, timeout, 12173
car7.fjs, 20735, 6647, 372, 9961, timeout, 10283
car8.fjs, 14763, 14368, 1216, 6122, timeout, 12125
la01.fjs, 26197, 2970, 7, 13055, timeout, 1081
la02.fjs, 27432, 1754, 4, 13675, timeout, 1222
la03.fjs, 23952, 96, 3, 11936, timeout, 1116
la04.fjs, 27734, 374, 3, 13826, timeout, 1161
la05.fjs, 22488, 4722, 97, 11111, timeout, 939
la06.fjs, 15943, 1652, 7, 7908, timeout, 1676
la07.fjs, 14195, 2423, 214, 6827, timeout, 1661
la08.fjs, 12395, 952, 14, 6129, timeout, 1291
la09.fjs, 13872, 154, 6, 6874, timeout, 1605
la10.fjs, 19944, 123, 1, 9911, timeout, 2019
la11.fjs, 10607, 1313, 5, 5219, timeout, 2248
la12.fjs, 12631, 2570, 10, 6226, timeout, 1875
la13.fjs, 9496, 455, 6, 4665, timeout, 2494
la14.fjs, 14519, 168, 4, 7176, timeout, 2121
la15.fjs, 13274, 169, 2, 6556, timeout, 2686
la16.fjs, 6622, 554, 11, 3228, timeout, 1643
la17.fjs, 5033, 1001, 23, 2432, timeout, 1059
la18.fjs, 6157, 1591, 12, 2996, timeout, 1511
la19.fjs, 7479, 370, 10, 3655, timeout, 1528
la20.fjs, 6164, 533, 15, 2998, timeout, 1371
la21.fjs, 3640, 839, 8, 1695, timeout, 2310
la22.fjs, 3450, 1752, 12, 1598, timeout, 1986
la23.fjs, 4702, 400, 21, 2212, timeout, 2201
la24.fjs, 3031, 385, 15, 1391, timeout, 1928
la25.fjs, 3500, 809, 11, 1627, timeout, 2477
la26.fjs, 2538, 493, 8, 1104, timeout, 3057
la27.fjs, 2535, 818, 13, 1098, timeout, 2766
la28.fjs, 2127, 1557, 13, 896, timeout, 2549
la29.fjs, 2533, 1320, 6, 1103, timeout, 2473
la30.fjs, 1908, 770, 8, 797, timeout, 2512
la31.fjs, 395, 0, 0, 0, timeout, none
la32.fjs, 399, 0, 0, 0, timeout, none
la33.fjs, 402, 0, 0, 0, timeout, none
la34.fjs, 400, 0, 0, 0, timeout, none
la35.fjs, 400, 0, 0, 0, timeout, none
la36.fjs, 991, 941, 15, 328, timeout, 2121
la37.fjs, 1528, 1241, 53, 539, timeout, 2215
la38.fjs, 1090, 966, 12, 376, timeout, 1971
la39.fjs, 1257, 1174, 23, 449, timeout, 2111
la40.fjs, 1112, 594, 11, 390, timeout, 1973
mt06.fjs, 25480, 400, 7, 12715, timeout, 69
mt10.fjs, 6071, 1663, 164, 2802, timeout, 1528
mt20.fjs, 8371, 186, 5, 4106, timeout, 2033
orb1.fjs, 6910, 1823, 115, 3270, timeout, 1722
orb2.fjs, 7182, 2395, 51, 3472, timeout, 1365
orb3.fjs, 8290, 778, 4, 4065, timeout, 1930
orb4.fjs, 5174, 1755, 30, 2493, timeout, 1410
orb5.fjs, 5345, 1438, 13, 2595, timeout, 1074
orb6.fjs, 6664, 2320, 75, 3189, timeout, 1642
orb7.fjs, 5701, 2588, 78, 2708, timeout, 799
orb8.fjs, 7000, 371, 15, 3413, timeout, 1358
orb9.fjs, 6199, 1491, 112, 2921, timeout, 1407
orb10.fjs, 5740, 3040, 24, 2779, timeout, 1343
