problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 18020, 1024, 12, 8923, timeout, 1849
abz6.fjs, 26339, 529, 11, 13084, timeout, 1290
abz7.fjs, 2770, 2703, 28, 1147, timeout, 930
abz8.fjs, 3004, 1786, 21, 1259, timeout, 1205
abz9.fjs, 3766, 3104, 29, 1615, timeout, 974
car1.fjs, 42860, 39572, 6, 21384, timeout, 11703
car2.fjs, 64265, 169, 7, 32086, timeout, 12183
car3.fjs, 58842, 177, 4, 29371, timeout, 11126
car4.fjs, 112775, 165, 6, 56337, timeout, 13611
car5.fjs, 91795, 4096, 11, 45841, timeout, 10735
car6.fjs, 34168, 2372, 4, 17024, timeout, 11496
car7.fjs, 110083, 332, 9, 54996, timeout, 8681
car8.fjs, 47572, 867, 5, 23738, timeout, 11221
la01.fjs, 135863, 426, 13, 67880, timeout, 950
la02.fjs, 145941, 133, 4, 72925, timeout, 1147
la03.fjs, 134814, 87, 1, 67367, timeout, 1033
la04.fjs, 106572, 243, 9, 53238, timeout, 1017
la05.fjs, 158373, 172, 6, 79139, timeout, 898
la06.fjs, 20071, 12759, 14, 9967, timeout, 1451
la07.fjs, 76261, 819, 2, 38072, timeout, 1623
la08.fjs, 47710, 509, 19, 23782, timeout, 1228
la09.fjs, 52932, 205, 5, 26406, timeout, 1427
la10.fjs, 51768, 186, 4, 25821, timeout, 1763
la11.fjs, 21278, 244, 4, 10557, timeout, 1940
la12.fjs, 14404, 216, 3, 7122, timeout, 1929
la13.fjs, 52188, 267, 5, 26009, timeout, 2270
la14.fjs, 23629, 208, 4, 11732, timeout, 1834
la15.fjs, 35599, 476, 5, 17718, timeout, 2341
la16.fjs, 41175, 719, 14, 20498, timeout, 1255
la17.fjs, 42431, 377, 4, 21134, timeout, 1021
la18.fjs, 66077, 280, 5, 32951, timeout, 1164
la19.fjs, 15050, 1283, 21, 7439, timeout, 1096
la20.fjs, 44478, 1051, 14, 22156, timeout, 1104
la21.fjs, 7086, 888, 18, 3415, timeout, 2124
la22.fjs, 5906, 1873, 38, 2805, timeout, 1672
la23.fjs, 4554, 942, 19, 2142, timeout, 1772
la24.fjs, 7963, 393, 7, 3857, timeout, 1464
la25.fjs, 4329, 551, 9, 2044, timeout, 2205
la26.fjs, 7951, 759, 7, 3816, timeout, 2520
la27.fjs, 18300, 523, 6, 8986, timeout, 2458
la28.fjs, 19964, 1435, 23, 9795, timeout, 2160
la29.fjs, 4605, 1146, 18, 2130, timeout, 2148
la30.fjs, 8789, 1330, 27, 4212, timeout, 2220
la31.fjs, 1679, 760, 5, 605, timeout, 3329
la32.fjs, 2140, 1725, 18, 815, timeout, 3386
la33.fjs, 2717, 2648, 37, 1083, timeout, 3220
la34.fjs, 1153, 893, 9, 342, timeout, 2784
la35.fjs, 1426, 1171, 13, 468, timeout, 3540
la36.fjs, 2754, 560, 6, 1201, timeout, 1915
la37.fjs, 1489, 878, 8, 575, timeout, 1961
la38.fjs, 8276, 837, 8, 3963, timeout, 1618
la39.fjs, 6935, 1029, 11, 3287, timeout, 1673
la40.fjs, 2770, 2688, 19, 1230, timeout, 1534
mt06.fjs, 66652, 1604, 10, 33299, timeout, 62
mt10.fjs, 11982, 2588, 39, 5896, timeout, 1215
mt20.fjs, 41849, 174, 2, 20844, timeout, 1832
orb1.fjs, 57190, 1224, 20, 28499, timeout, 1357
orb2.fjs, 5623, 527, 6, 2739, timeout, 1435
orb3.fjs, 6928, 842, 12, 3384, timeout, 1666
orb4.fjs, 7209, 1334, 21, 3525, timeout, 1285
orb5.fjs, 28424, 718, 12, 14135, timeout, 1044
orb6.fjs, 11229, 510, 8, 5547, timeout, 1398
orb7.fjs, 29215, 433, 11, 14521, timeout, 682
orb8.fjs, 13894, 880, 15, 6859, timeout, 1154
orb9.fjs, 15190, 1696, 36, 7494, timeout, 1191
orb10.fjs, 9737, 314, 5, 4796, timeout, 1359
