problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 28901, 208, 2, 14374, timeout, 1681
abz6.fjs, 29979, 10283, 14, 14896, timeout, 1416
abz7.fjs, 1457, 628, 4, 493, timeout, 950
abz8.fjs, 3758, 2053, 22, 1638, timeout, 972
abz9.fjs, 3403, 738, 6, 1464, timeout, 968
car1.fjs, 97351, 360, 13, 48619, timeout, 11025
car2.fjs, 90898, 2437, 11, 45399, timeout, 12271
car3.fjs, 127502, 721, 7, 63694, timeout, 10321
car4.fjs, 78595, 95, 1, 39253, timeout, 13291
car5.fjs, 28072, 510, 12, 13983, timeout, 11086
car6.fjs, 12824, 192, 2, 6360, timeout, 11075
car7.fjs, 132326, 258, 6, 66121, timeout, 9372
car8.fjs, 24645, 299, 6, 12276, timeout, 10374
la01.fjs, 84109, 126, 3, 42015, timeout, 951
la02.fjs, 167314, 101, 2, 83614, timeout, 1126
la03.fjs, 128380, 66345, 5, 64145, timeout, 1014
la04.fjs, 99867, 97, 2, 49893, timeout, 1049
la05.fjs, 170921, 116, 2, 85417, timeout, 921
la06.fjs, 76976, 197, 4, 38426, timeout, 1520
la07.fjs, 48410, 163, 4, 24141, timeout, 1580
la08.fjs, 32659, 361, 10, 16265, timeout, 1189
la09.fjs, 32471, 227, 6, 16172, timeout, 1428
la10.fjs, 24331, 7770, 6, 12102, timeout, 1681
la11.fjs, 47853, 256, 6, 23841, timeout, 1911
la12.fjs, 43981, 394, 7, 21904, timeout, 1830
la13.fjs, 26493, 213, 3, 13164, timeout, 2286
la14.fjs, 32747, 276, 6, 16292, timeout, 2018
la15.fjs, 46026, 298, 7, 22929, timeout, 2385
la16.fjs, 52344, 169, 1, 26088, timeout, 1326
la17.fjs, 33529, 379, 8, 16682, timeout, 1109
la18.fjs, 30213, 338, 6, 15027, timeout, 1167
la19.fjs, 31916, 29672, 38, 15855, timeout, 1046
la20.fjs, 43036, 361, 5, 21437, timeout, 1179
la21.fjs, 12703, 316, 4, 6228, timeout, 2146
la22.fjs, 3933, 2711, 8, 1846, timeout, 1685
la23.fjs, 5820, 856, 14, 2781, timeout, 1778
la24.fjs, 20346, 326, 4, 10055, timeout, 1472
la25.fjs, 13755, 899, 21, 6740, timeout, 2048
la26.fjs, 15633, 1095, 16, 7636, timeout, 2636
la27.fjs, 9403, 591, 7, 4535, timeout, 2206
la28.fjs, 12621, 803, 9, 6143, timeout, 2185
la29.fjs, 5854, 802, 13, 2757, timeout, 2152
la30.fjs, 5458, 375, 2, 2572, timeout, 2374
la31.fjs, 1952, 1342, 19, 730, timeout, 3277
la32.fjs, 2408, 2343, 28, 951, timeout, 3118
la33.fjs, 2436, 1220, 20, 955, timeout, 3084
la34.fjs, 2099, 1090, 10, 799, timeout, 2751
la35.fjs, 1309, 1213, 11, 404, timeout, 3274
la36.fjs, 6751, 534, 5, 3197, timeout, 1752
la37.fjs, 5380, 1354, 16, 2508, timeout, 1761
la38.fjs, 11712, 1464, 19, 5651, timeout, 1788
la39.fjs, 4896, 2593, 27, 2260, timeout, 1583
la40.fjs, 6328, 6233, 54, 2978, timeout, 1501
mt06.fjs, 148515, 2076, 12, 74223, timeout, 59
mt10.fjs, 45265, 2176, 35, 22533, timeout, 1207
mt20.fjs, 20782, 342, 9, 10308, timeout, 1648
orb1.fjs, 51754, 1780, 29, 25772, timeout, 1281
orb2.fjs, 59539, 559, 10, 29679, timeout, 1309
orb3.fjs, 44886, 910, 23, 22340, timeout, 1349
orb4.fjs, 23753, 400, 6, 11795, timeout, 1393
orb5.fjs, 31367, 186, 2, 15601, timeout, 1049
orb6.fjs, 33821, 1924, 30, 16807, timeout, 1211
orb7.fjs, 21079, 425, 8, 10463, timeout, 602
orb8.fjs, 13405, 653, 9, 6630, timeout, 1187
orb9.fjs, 17334, 348, 5, 8595, timeout, 1234
orb10.fjs, 78727, 724, 16, 39267, timeout, 1324
