problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 6517, 555, 17, 3170, timeout, 1927
abz6.fjs, 7424, 254, 7, 3631, timeout, 1593
abz7.fjs, 365, 0, 0, 0, timeout, none
abz8.fjs, 374, 0, 0, 0, timeout, none
abz9.fjs, 370, 0, 0, 0, timeout, none
car1.fjs, 18274, 1391, 6, 9091, timeout, 12021
car2.fjs, 26515, 3310, 291, 12927, timeout, 12829
car3.fjs, 14834, 4267, 6, 7366, timeout, 11991
car4.fjs, 28249, 18331, 1954, 12129, timeout, 13570
car5.fjs, 15960, 958, 7, 7930, timeout, 12978
car6.fjs, 13494, 7404, 694, 6002, timeout, 12173
car7.fjs, 27513, 19475, 1367, 12355, timeout, 10283
car8.fjs, 19757, 19396, 1849, 7986, timeout, 12123
la01.fjs, 26831, 1352, 7, 13372, timeout, 1081
la02.fjs, 24033, 557, 4, 11975, timeout, 1222
la03.fjs, 22722, 104, 3, 11321, timeout, 1116
la04.fjs, 25818, 272, 3, 12868, timeout, 1161
la05.fjs, 20824, 10971, 145, 10231, timeout, 933
la06.fjs, 12497, 567, 7, 6185, timeout, 1676
la07.fjs, 13581, 3392, 229, 6505, timeout, 1661
la08.fjs, 11779, 687, 14, 5821, timeout, 1291
la09.fjs, 13249, 198, 6, 6563, timeout, 1605
la10.fjs, 16986, 123, 1, 8432, timeout, 2019
la11.fjs, 10070, 1009, 5, 4951, timeout, 2248
la12.fjs, 13638, 1316, 10, 6729, timeout, 1875
la13.fjs, 8213, 380, 6, 4024, timeout, 2494
la14.fjs, 12867, 177, 4, 6350, timeout, 2121
la15.fjs, 10836, 172, 2, 5337, timeout, 2686
la16.fjs, 5961, 453, 11, 2897, timeout, 1643
la17.fjs, 5107, 1406, 23, 2469, timeout, 1059
la18.fjs, 4288, 779, 12, 2062, timeout, 1511
la19.fjs, 6861, 386, 10, 3346, timeout, 1528
la20.fjs, 5576, 647, 15, 2704, timeout, 1371
la21.fjs, 3849, 1241, 108, 1700, timeout, 2310
la22.fjs, 3886, 828, 12, 1816, timeout, 1986
la23.fjs, 4092, 1237, 88, 1840, timeout, 2201
la24.fjs, 2305, 586, 15, 1028, timeout, 1928
la25.fjs, 2117, 575, 11, 936, timeout, 2477
la26.fjs, 1688, 483, 8, 679, timeout, 3057
la27.fjs, 2190, 700, 13, 926, timeout, 2766
la28.fjs, 1561, 992, 13, 613, timeout, 2549
la29.fjs, 1752, 681, 6, 712, timeout, 2473
la30.fjs, 1582, 580, 8, 634, timeout, 2512
la31.fjs, 341, 0, 0, 0, timeout, none
la32.fjs, 348, 0, 0, 0, timeout, none
la33.fjs, 351, 0, 0, 0, timeout, none
la34.fjs, 351, 0, 0, 0, timeout, none
la35.fjs, 354, 0, 0, 0, timeout, none
la36.fjs, 933, 907, 10, 297, timeout, 2172
la37.fjs, 1637, 1614, 32, 616, timeout, 2236
la38.fjs, 1151, 1070, 11, 390, timeout, 1983
la39.fjs, 1298, 1278, 18, 466, timeout, 2163
la40.fjs, 1148, 934, 11, 408, timeout, 1973
mt06.fjs, 23470, 258, 7, 11710, timeout, 69
mt10.fjs, 8696, 7197, 277, 4002, timeout, 1528
mt20.fjs, 8205, 361, 17, 4011, timeout, 2033
orb1.fjs, 7518, 4079, 115, 3574, timeout, 1722
orb2.fjs, 8416, 3353, 205, 3935, timeout, 1365
orb3.fjs, 9133, 313, 4, 4487, timeout, 1930
orb4.fjs, 5300, 1564, 30, 2556, timeout, 1410
orb5.fjs, 5113, 1209, 13, 2479, timeout, 1074
orb6.fjs, 7621, 3573, 132, 3610, timeout, 1642
orb7.fjs, 6494, 4202, 103, 3079, timeout, 799
orb8.fjs, 5892, 539, 53, 2821, timeout, 1358
orb9.fjs, 8869, 6012, 284, 4084, timeout, 1407
orb10.fjs, 4550, 1619, 24, 2185, timeout, 1343
