problem, nodes, solutions, fails, time, optimum
abz5.fjs, 663688, 0, 331807, timeout, none
abz6.fjs, 98431, 0, 49179, timeout, none
abz7.fjs, 1973, 0, 885, timeout, none
abz8.fjs, 4534, 0, 2164, timeout, none
abz9.fjs, 1889, 0, 840, timeout, none
car1.fjs, 161649, 0, 80803, timeout, none
car2.fjs, 94195, 0, 47079, timeout, none
car3.fjs, 102221, 0, 51087, timeout, none
car4.fjs, 17764, 0, 8862, timeout, none
car5.fjs, 225878, 0, 112918, timeout, none
car6.fjs, 141694, 0, 70821, timeout, none
car7.fjs, 323221, 0, 161590, timeout, none
car8.fjs, 238917, 0, 119435, timeout, none
la01.fjs, 177645, 0, 88804, timeout, none
la02.fjs, 214369, 0, 107165, timeout, none
la03.fjs, 274899, 0, 137428, timeout, none
la04.fjs, 316700, 0, 158329, timeout, none
la05.fjs, 885757, 0, 442856, timeout, none
la06.fjs, 34631, 0, 17289, timeout, none
la07.fjs, 78143, 0, 39044, timeout, none
la08.fjs, 80842, 0, 40395, timeout, none
la09.fjs, 69489, 0, 34718, timeout, none
la10.fjs, 26344, 0, 13144, timeout, none
la11.fjs, 7797, 0, 3863, timeout, none
la12.fjs, 5679, 0, 2804, timeout, none
la13.fjs, 10000, 0, 4965, timeout, none
la14.fjs, 11074, 0, 5502, timeout, none
la15.fjs, 4583, 0, 2257, timeout, none
la16.fjs, 201435, 0, 100681, timeout, none
la17.fjs, 51417, 0, 25673, timeout, none
la18.fjs, 50044, 0, 24984, timeout, none
la19.fjs, 202178, 0, 101053, timeout, none
la20.fjs, 62163, 0, 31047, timeout, none
la21.fjs, 10676, 0, 5285, timeout, none
la22.fjs, 13393, 0, 6642, timeout, none
la23.fjs, 12150, 0, 6020, timeout, none
la24.fjs, 8837, 0, 4366, timeout, none
la25.fjs, 12766, 0, 6330, timeout, none
la26.fjs, 5844, 0, 2853, timeout, none
la27.fjs, 5104, 0, 2484, timeout, none
la28.fjs, 1351, 0, 606, timeout, none
la29.fjs, 2470, 0, 1166, timeout, none
la30.fjs, 3716, 0, 1791, timeout, none
la31.fjs, 516, 0, 158, timeout, none
la32.fjs, 459, 0, 129, timeout, none
la33.fjs, 427, 0, 113, timeout, none
la34.fjs, 661, 0, 229, timeout, none
la35.fjs, 437, 0, 117, timeout, none
la36.fjs, 16270, 0, 8060, timeout, none
la37.fjs, 15313, 0, 7580, timeout, none
la38.fjs, 4885, 0, 2366, timeout, none
la39.fjs, 30546, 0, 15197, timeout, none
la40.fjs, 11212, 0, 5529, timeout, none
mt06.fjs, 239798506, 0, 119899229, timeout, none
mt10.fjs, 131306, 0, 65616, timeout, none
mt20.fjs, 6859, 0, 3396, timeout, none
orb1.fjs, 117381, 0, 58654, timeout, none
orb2.fjs, 88625, 0, 44278, timeout, none
orb3.fjs, 84467, 0, 42198, timeout, none
orb4.fjs, 60383, 0, 30157, timeout, none
orb5.fjs, 77661, 0, 38795, timeout, none
orb6.fjs, 67880, 0, 33906, timeout, none
orb7.fjs, 153816, 0, 76872, timeout, none
orb8.fjs, 112290, 0, 56109, timeout, none
orb9.fjs, 97846, 0, 48889, timeout, none
orb10.fjs, 115010, 0, 57468, timeout, none
