problem, nodes, solutions, fails, time, optimum
abz5.fjs, 3072948, -1, 1618881, timeout, 1471
abz6.fjs, 7222303, -1, 2570706, timeout, 1271
abz7.fjs, 2171315, -1, 851465, timeout, 813
abz8.fjs, 2825448, -1, 852912, timeout, 925
abz9.fjs, 5635559, -1, 1246692, timeout, 926
car1.fjs, 3940157, -1, 1502138, timeout, 9069
car2.fjs, 1053286, -1, 533451, timeout, 11499
car3.fjs, 2947444, -1, 1569231, timeout, 9642
car4.fjs, 465708, -1, 285195, timeout, 12323
car5.fjs, 577744, -1, 330819, timeout, 10255
car6.fjs, 1015109, -1, 666855, timeout, 8032
car7.fjs, 1685384, -1, 887074, timeout, 7468
car8.fjs, 1521484, -1, 1285835, timeout, 7480
la01.fjs, 3767942, -1, 2189842, timeout, 790
la02.fjs, 3137827, -1, 1973789, timeout, 1168
la03.fjs, 5254173, -1, 2668815, timeout, 875
la04.fjs, 3655003, -1, 1951153, timeout, 1034
la05.fjs, 5168132, -1, 2399485, timeout, 845
la06.fjs, 3309048, -1, 1750784, timeout, 1402
la07.fjs, 2352263, -1, 1301245, timeout, 1359
la08.fjs, 4228484, -1, 1642467, timeout, 1179
la09.fjs, 4016983, -1, 3073613, timeout, 1344
la10.fjs, 2335357, -1, 1762912, timeout, 1599
la11.fjs, 4857206, -1, 2281623, timeout, 1795
la12.fjs, 2475327, -1, 1526296, timeout, 1598
la13.fjs, 2520569, -1, 1621521, timeout, 2169
la14.fjs, 1705448, -1, 1020254, timeout, 1925
la15.fjs, 2349236, -1, 1646515, timeout, 2160
la16.fjs, 7083871, -1, 2180290, timeout, 1123
la17.fjs, 1873927, -1, 1160995, timeout, 809
la18.fjs, 3388212, -1, 2183329, timeout, 1082
la19.fjs, 2813723, -1, 1444076, timeout, 972
la20.fjs, 3186623, -1, 1333491, timeout, 982
la21.fjs, 3533484, -1, 1496305, timeout, 1955
la22.fjs, 1823174, -1, 921773, timeout, 1521
la23.fjs, 2934509, -1, 1683046, timeout, 1713
la24.fjs, 4693092, -1, 1397638, timeout, 1371
la25.fjs, 3515935, -1, 1101990, timeout, 1818
la26.fjs, 2319248, -1, 856529, timeout, 2520
la27.fjs, 4223198, -1, 1292241, timeout, 2137
la28.fjs, 1945789, -1, 710811, timeout, 2103
la29.fjs, 3987219, -1, 1480703, timeout, 2034
la30.fjs, 4670208, -1, 1319219, timeout, 2165
la31.fjs, 1402263, -1, 465940, timeout, 3024
la32.fjs, 4854574, -1, 1303967, timeout, 2850
la33.fjs, 2613797, -1, 1074744, timeout, 2890
la34.fjs, 827503, -1, 522267, timeout, 2443
la35.fjs, 1419173, -1, 753202, timeout, 3002
la36.fjs, 4450928, -1, 1125790, timeout, 1631
la37.fjs, 2444239, -1, 843490, timeout, 1518
la38.fjs, 2565337, -1, 752053, timeout, 1436
la39.fjs, 1414205, -1, 511894, timeout, 1346
la40.fjs, 1498565, -1, 538748, timeout, 1313
mt06.fjs, 330, -1, 22, 0.00s, 47
mt10.fjs, 1915858, -1, 1129640, timeout, 1061
mt20.fjs, 4247453, -1, 2133324, timeout, 1518
orb1.fjs, 4827839, -1, 1733231, timeout, 1073
orb2.fjs, 3046616, -1, 1017697, timeout, 1017
orb3.fjs, 5868580, -1, 1614731, timeout, 1277
orb4.fjs, 2026466, -1, 1152956, timeout, 933
orb5.fjs, 2876524, -1, 1440409, timeout, 900
orb6.fjs, 5191574, -1, 1679558, timeout, 1152
orb7.fjs, 3847456, -1, 1561213, timeout, 490
orb8.fjs, 4279690, -1, 1649290, timeout, 1049
orb9.fjs, 4874130, -1, 1659680, timeout, 1018
orb10.fjs, 4862388, -1, 2077220, timeout, 1243
