problem, nodes, solutions, fails, time, optimum
abz5.fjs, -1, -1, -1, timeout, none
abz6.fjs, -1, -1, -1, timeout, none
abz7.fjs, -1, -1, -1, timeout, none
abz8.fjs, -1, -1, -1, timeout, none
abz9.fjs, -1, -1, -1, timeout, none
car1.fjs, -1, -1, -1, timeout, none
car2.fjs, -1, -1, -1, timeout, none
car3.fjs, -1, -1, -1, timeout, none
car4.fjs, -1, -1, -1, timeout, none
car5.fjs, -1, -1, -1, timeout, none
car6.fjs, -1, -1, -1, timeout, none
car7.fjs, -1, -1, -1, timeout, none
car8.fjs, -1, -1, -1, timeout, none
la01.fjs, -1, -1, -1, timeout, none
la02.fjs, -1, -1, -1, timeout, none
la03.fjs, -1, -1, -1, timeout, none
la04.fjs, -1, -1, -1, timeout, none
la05.fjs, -1, -1, -1, timeout, none
la06.fjs, -1, -1, -1, timeout, none
la07.fjs, -1, -1, -1, timeout, none
la08.fjs, -1, -1, -1, timeout, none
la09.fjs, -1, -1, -1, timeout, none
la10.fjs, -1, -1, -1, timeout, none
la11.fjs, -1, -1, -1, timeout, none
la12.fjs, -1, -1, -1, timeout, none
la13.fjs, -1, -1, -1, timeout, none
la14.fjs, -1, -1, -1, timeout, none
la15.fjs, -1, -1, -1, timeout, none
la16.fjs, -1, -1, -1, timeout, none
la17.fjs, -1, -1, -1, timeout, none
la18.fjs, -1, -1, -1, timeout, none
la19.fjs, -1, -1, -1, timeout, none
la20.fjs, -1, -1, -1, timeout, none
la21.fjs, -1, -1, -1, timeout, none
la22.fjs, -1, -1, -1, timeout, none
la23.fjs, -1, -1, -1, timeout, none
la24.fjs, -1, -1, -1, timeout, none
la25.fjs, -1, -1, -1, timeout, none
la26.fjs, -1, -1, -1, timeout, none
la27.fjs, -1, -1, -1, timeout, none
la28.fjs, -1, -1, -1, timeout, none
la29.fjs, -1, -1, -1, timeout, none
la30.fjs, -1, -1, -1, timeout, none
la31.fjs, -1, -1, -1, timeout, none
la32.fjs, -1, -1, -1, timeout, none
la33.fjs, -1, -1, -1, timeout, none
la34.fjs, -1, -1, -1, timeout, none
la35.fjs, -1, -1, -1, timeout, none
la36.fjs, -1, -1, -1, timeout, none
la37.fjs, -1, -1, -1, timeout, none
la38.fjs, -1, -1, -1, timeout, none
la39.fjs, -1, -1, -1, timeout, none
la40.fjs, -1, -1, -1, timeout, none
mt06.fjs, -1, -1, -1, timeout, none
mt10.fjs, -1, -1, -1, timeout, none
mt20.fjs, -1, -1, -1, timeout, none
orb1.fjs, -1, -1, -1, timeout, none
orb2.fjs, -1, -1, -1, timeout, none
orb3.fjs, -1, -1, -1, timeout, none
orb4.fjs, -1, -1, -1, timeout, none
orb5.fjs, -1, -1, -1, timeout, none
orb6.fjs, -1, -1, -1, timeout, none
orb7.fjs, -1, -1, -1, timeout, none
orb8.fjs, -1, -1, -1, timeout, none
orb9.fjs, -1, -1, -1, timeout, none
orb10.fjs, -1, -1, -1, timeout, none
