problem, nodes, solutions, fails, time, optimum
abz5.fjs, 35613229, -1, 4019879, timeout, 1080
abz6.fjs, 51248360, -1, 6009193, timeout, 860
abz7.fjs, 30885631, -1, 2247727, timeout, 772
abz8.fjs, 28488115, -1, 1260606, timeout, 724
abz9.fjs, 32057015, -1, 1030913, timeout, 707
car1.fjs, 50704837, -1, 9895532, timeout, 6933
car2.fjs, 37065863, -1, 6176440, timeout, 8088
car3.fjs, 27707428, -1, 5018337, timeout, 6678
car4.fjs, 33520664, -1, 7292283, timeout, 8353
car5.fjs, 16265276, -1, 10431069, timeout, 8889
car6.fjs, 28612199, -1, 4042302, timeout, 7675
car7.fjs, 92493387, -1, 13170819, timeout, 6645
car8.fjs, 38665951, -1, 3601807, timeout, 6422
la01.fjs, 80007554, -1, 9105643, timeout, 714
la02.fjs, 48332884, -1, 12343229, timeout, 625
la03.fjs, 40186419, -1, 12197929, timeout, 540
la04.fjs, 58155857, -1, 17202170, timeout, 636
la05.fjs, 49254643, -1, 11011575, timeout, 546
la06.fjs, 15837034, -1, 6128097, timeout, 930
la07.fjs, 35769721, -1, 5342095, timeout, 853
la08.fjs, 14193740, -1, 7528498, timeout, 895
la09.fjs, 39706057, -1, 8798533, timeout, 1023
la10.fjs, 36019686, -1, 9132971, timeout, 916
la11.fjs, 38131355, -1, 6532606, timeout, 1349
la12.fjs, 31027140, -1, 3862415, timeout, 1027
la13.fjs, 33891683, -1, 6814567, timeout, 1295
la14.fjs, 33612924, -1, 5722153, timeout, 1246
la15.fjs, 33706076, -1, 7223403, timeout, 1387
la16.fjs, 61343601, -1, 6937228, timeout, 850
la17.fjs, 50220758, -1, 4116835, timeout, 667
la18.fjs, 58332216, -1, 4178024, timeout, 799
la19.fjs, 51187250, -1, 5261473, timeout, 816
la20.fjs, 46407748, -1, 4364800, timeout, 823
la21.fjs, 37817818, -1, 3465442, timeout, 1137
la22.fjs, 39908344, -1, 2690563, timeout, 1012
la23.fjs, 33103516, -1, 4268662, timeout, 1165
la24.fjs, 35220121, -1, 2777539, timeout, 1059
la25.fjs, 36671877, -1, 2543358, timeout, 1044
la26.fjs, 27778424, -1, 1307799, timeout, 1434
la27.fjs, 28153878, -1, 1952146, timeout, 1489
la28.fjs, 33193873, -1, 2353380, timeout, 1435
la29.fjs, 29774465, -1, 2158899, timeout, 1275
la30.fjs, 15220219, -1, 2543050, timeout, 1625
la31.fjs, 20877597, -1, 1063578, timeout, 2114
la32.fjs, 22556684, -1, 1186124, timeout, 2128
la33.fjs, 22207843, -1, 1723170, timeout, 1951
la34.fjs, 22578622, -1, 1000556, timeout, 2147
la35.fjs, 21249036, -1, 1573334, timeout, 2032
la36.fjs, 39565281, -1, 2218852, timeout, 1256
la37.fjs, 34332156, -1, 1759254, timeout, 1380
la38.fjs, 38400558, -1, 1315912, timeout, 1245
la39.fjs, 49793519, -1, 2432814, timeout, 1439
la40.fjs, 29266869, -1, 2610127, timeout, 1256
mt06.fjs, 1024, -1, 94, 0.00s, 47
mt10.fjs, 41737223, -1, 3640037, timeout, 780
mt20.fjs, 34084024, -1, 5280568, timeout, 1219
orb1.fjs, 49152553, -1, 4327517, timeout, 889
orb2.fjs, 46898476, -1, 4067517, timeout, 828
orb3.fjs, 41663820, -1, 9843611, timeout, 843
orb4.fjs, 61109170, -1, 3155630, timeout, 902
orb5.fjs, 41849685, -1, 6208008, timeout, 770
orb6.fjs, 54172881, -1, 4284368, timeout, 847
orb7.fjs, 24106287, -1, 5018417, timeout, 333
orb8.fjs, 53626635, -1, 5163797, timeout, 738
orb9.fjs, 53302947, -1, 3810275, timeout, 851
orb10.fjs, 58228844, -1, 6594155, timeout, 922
