problem, nodes, solutions, fails, time, optimum
abz5.fjs, 136475836, 13, 68237745, timeout, 1581
abz6.fjs, 197705927, 6, 98852857, timeout, 1353
abz7.fjs, 39050950, 20, 19524966, timeout, 870
abz8.fjs, 52169939, 15, 26084601, timeout, 1062
abz9.fjs, 52921255, 17, 26460223, timeout, 958
car1.fjs, 328929020, 5, 164464447, timeout, 9069
car2.fjs, 281890493, 8, 140945181, timeout, 11499
car3.fjs, 155112569, 4, 77556221, timeout, 9719
car4.fjs, 316017550, 1, 158008728, timeout, 12323
car5.fjs, 73197714, 16, 36598715, timeout, 10846
car6.fjs, 56917554, 2, 28458711, timeout, 9096
car7.fjs, 261221482, 9, 130610659, timeout, 7468
car8.fjs, 41667266, 8, 20833526, timeout, 7684
la01.fjs, 148943320, 3, 74471614, timeout, 892
la02.fjs, 400591200, 1, 200295559, timeout, 1168
la03.fjs, 292272219, 5, 146136051, timeout, 908
la04.fjs, 11429382, 0, 5714683, timeout, none
la05.fjs, 13323218, 0, 6661596, timeout, none
la06.fjs, 119332790, 4, 59666324, timeout, 1440
la07.fjs, 236956981, 4, 118478422, timeout, 1461
la08.fjs, 77936036, 10, 38967922, timeout, 1189
la09.fjs, 6996241, 0, 3498102, timeout, none
la10.fjs, 212708013, 9, 106353914, timeout, 1655
la11.fjs, 213473819, 10, 106736791, timeout, 1795
la12.fjs, 112865232, 11, 56432494, timeout, 1733
la13.fjs, 193889542, 3, 96944683, timeout, 2286
la14.fjs, 125748504, 10, 62874136, timeout, 1973
la15.fjs, 140113985, 7, 70056892, timeout, 2256
la16.fjs, 194530095, 1, 97264964, timeout, 1188
la17.fjs, 47092048, 9, 23545907, timeout, 935
la18.fjs, 235188894, 10, 117594324, timeout, 1151
la19.fjs, 130870553, 2, 65435187, timeout, 1105
la20.fjs, 69683055, 14, 34841327, timeout, 1102
la21.fjs, 101554212, 4, 50776973, timeout, 2143
la22.fjs, 81077287, 4, 40538495, timeout, 1781
la23.fjs, 122311399, 10, 61155506, timeout, 1841
la24.fjs, 72526516, 4, 36263124, timeout, 1575
la25.fjs, 105150320, 10, 52574994, timeout, 1841
la26.fjs, 38892480, 18, 19445922, timeout, 2608
la27.fjs, 93660738, 7, 46830189, timeout, 2169
la28.fjs, 82751073, 6, 41375330, timeout, 2215
la29.fjs, 69600872, 15, 34800189, timeout, 2052
la30.fjs, 1132677, 0, 566318, timeout, none
la31.fjs, 27747569, 14, 13873445, timeout, 3115
la32.fjs, 66598664, 25, 33298773, timeout, 2918
la33.fjs, 65486629, 11, 32743030, timeout, 2901
la34.fjs, 56612835, 13, 28306056, timeout, 2714
la35.fjs, 34099619, 12, 17049419, timeout, 3080
la36.fjs, 91413328, 7, 45706442, timeout, 1755
la37.fjs, 1724399, 0, 862139, timeout, none
la38.fjs, 111152640, 19, 55575948, timeout, 1788
la39.fjs, 44643255, 31, 22320995, timeout, 1514
la40.fjs, 27784058, 32, 13891463, timeout, 1624
mt06.fjs, 1209, 6, 542, 0.00s, 47
mt10.fjs, 21858635, 31, 10928905, timeout, 1117
mt20.fjs, 2833181, 0, 1416576, timeout, none
orb1.fjs, 36156236, 15, 18077937, timeout, 1087
orb2.fjs, 24281819, 25, 12140651, timeout, 1028
orb3.fjs, 149715335, 25, 74857420, timeout, 1297
orb4.fjs, 34460960, 37, 17230051, timeout, 982
orb5.fjs, 6416010, 0, 3207982, timeout, none
orb6.fjs, 84064739, 13, 42032216, timeout, 1152
orb7.fjs, 148171437, 11, 74085570, timeout, 518
orb8.fjs, 34613989, 20, 17306757, timeout, 1085
orb9.fjs, 165170864, 18, 82585260, timeout, 1031
orb10.fjs, 6387577, 0, 3193766, timeout, none
