problem, nodes, solutions, fails, time, optimum
abz5.fjs, 37082502, 5, 18541127, timeout, 1319
abz6.fjs, 36946306, 6, 18473048, timeout, 986
abz7.fjs, 8305998, 13, 4152647, timeout, 850
abz8.fjs, 10597809, 12, 5298576, timeout, 815
abz9.fjs, 7729216, 6, 3864301, timeout, 878
car1.fjs, 58711946, 1, 29355925, timeout, 9298
car2.fjs, 45367526, 1, 22683718, timeout, 8665
car3.fjs, 65059089, 1, 32529493, timeout, 10122
car4.fjs, 60965993, 2, 30482947, timeout, 9980
car5.fjs, 69908040, 3, 34953965, timeout, 9077
car6.fjs, 51771649, 4, 25885758, timeout, 10887
car7.fjs, 83116483, 1, 41558199, timeout, 8170
car8.fjs, 41840125, 2, 20920002, timeout, 9541
la01.fjs, 77156360, 3, 38578124, timeout, 816
la02.fjs, 52445834, 6, 26222858, timeout, 764
la03.fjs, 54068433, 2, 27034172, timeout, 758
la04.fjs, 52382613, 13, 26191214, timeout, 682
la05.fjs, 66690651, 8, 33345253, timeout, 593
la06.fjs, 28058940, 4, 14029398, timeout, 1036
la07.fjs, 66916582, 3, 33458223, timeout, 1065
la08.fjs, 46925388, 7, 23462612, timeout, 877
la09.fjs, 39335368, 9, 19667590, timeout, 1046
la10.fjs, 29120764, 4, 14560297, timeout, 1002
la11.fjs, 20866813, 10, 10433287, timeout, 1327
la12.fjs, 18241411, 9, 9120578, timeout, 1096
la13.fjs, 16768499, 9, 8384130, timeout, 1188
la14.fjs, 16904399, 17, 8452027, timeout, 1292
la15.fjs, 34413309, 3, 17206568, timeout, 1416
la16.fjs, 32617236, 8, 16308484, timeout, 1106
la17.fjs, 40002165, 3, 20000980, timeout, 858
la18.fjs, 18554440, 16, 9277003, timeout, 992
la19.fjs, 31824792, 10, 15912244, timeout, 971
la20.fjs, 26371596, 12, 13185617, timeout, 1075
la21.fjs, 33187706, 6, 16593674, timeout, 1352
la22.fjs, 23694788, 8, 11847227, timeout, 1193
la23.fjs, 19419439, 17, 9709458, timeout, 1164
la24.fjs, 19683967, 15, 9841720, timeout, 1136
la25.fjs, 20729182, 15, 10364368, timeout, 1234
la26.fjs, 10308447, 13, 5153935, timeout, 1368
la27.fjs, 11365352, 10, 5682456, timeout, 1656
la28.fjs, 16960512, 3, 8480071, timeout, 1607
la29.fjs, 10969819, 4, 5484723, timeout, 1513
la30.fjs, 11741576, 8, 5870586, timeout, 1754
la31.fjs, 8061272, 6, 4030359, timeout, 2103
la32.fjs, 6700266, 5, 3349850, timeout, 2333
la33.fjs, 7383290, 16, 3691265, timeout, 2003
la34.fjs, 5837865, 10, 2918629, timeout, 2046
la35.fjs, 5898427, 21, 2948781, timeout, 2154
la36.fjs, 20208202, 10, 10103811, timeout, 1602
la37.fjs, 18161437, 3, 9080528, timeout, 1637
la38.fjs, 21411651, 22, 10705397, timeout, 1603
la39.fjs, 13797927, 11, 6898668, timeout, 1445
la40.fjs, 18631752, 12, 9315589, timeout, 1609
mt06.fjs, 72188378, 7, 36094129, timeout, 58
mt10.fjs, 25861112, 21, 12930339, timeout, 1096
mt20.fjs, 26232258, 3, 13116043, timeout, 1421
orb1.fjs, 51098424, 11, 25549061, timeout, 1309
orb2.fjs, 45843602, 7, 22921679, timeout, 1055
orb3.fjs, 35188331, 10, 17594035, timeout, 1232
orb4.fjs, 20829789, 10, 10414758, timeout, 1250
orb5.fjs, 21513058, 3, 10756437, timeout, 1054
orb6.fjs, 43095952, 2, 21547892, timeout, 1301
orb7.fjs, 39769090, 3, 19884451, timeout, 488
orb8.fjs, 35495288, 7, 17747534, timeout, 1082
orb9.fjs, 22995158, 5, 11497481, timeout, 1234
orb10.fjs, 31071765, 3, 15535790, timeout, 1263
