problem, nodes, solutions, fails, time, optimum
abz5.fjs, 32019676, 9, 16009689, timeout, 1417
abz6.fjs, 28558904, 14, 14279231, timeout, 1020
abz7.fjs, 7261353, 8, 3630244, timeout, 876
abz8.fjs, 11436203, 10, 5717643, timeout, 844
abz9.fjs, 11651864, 4, 5825620, timeout, 975
car1.fjs, 86616841, 4, 43308361, timeout, 8851
car2.fjs, 47254370, 7, 23627098, timeout, 9268
car3.fjs, 64629606, 2, 32314751, timeout, 9363
car4.fjs, 51110483, 7, 25555153, timeout, 10809
car5.fjs, 60178216, 6, 30089027, timeout, 7883
car6.fjs, 50405900, 4, 25202874, timeout, 10329
car7.fjs, 62023796, 13, 31011783, timeout, 6813
car8.fjs, 100835772, 5, 50417831, timeout, 9442
la01.fjs, 55455941, 2, 27727920, timeout, 887
la02.fjs, 53820527, 9, 26910150, timeout, 788
la03.fjs, 58140543, 6, 29070191, timeout, 718
la04.fjs, 56645056, 5, 28322454, timeout, 661
la05.fjs, 63091758, 2, 31545815, timeout, 737
la06.fjs, 39450898, 5, 19725349, timeout, 956
la07.fjs, 34054417, 10, 17027097, timeout, 1137
la08.fjs, 30970149, 6, 15484984, timeout, 1014
la09.fjs, 34884052, 4, 17441945, timeout, 1050
la10.fjs, 44086522, 2, 22043188, timeout, 982
la11.fjs, 30150059, 1, 15074939, timeout, 1308
la12.fjs, 33525337, 1, 16762589, timeout, 1260
la13.fjs, 31652491, 2, 15826163, timeout, 1353
la14.fjs, 22376991, 2, 11188404, timeout, 1667
la15.fjs, 16515443, 3, 8257617, timeout, 1414
la16.fjs, 25128872, 7, 12564294, timeout, 1228
la17.fjs, 36441870, 7, 18220769, timeout, 861
la18.fjs, 23457071, 3, 11728433, timeout, 1130
la19.fjs, 27296313, 5, 13648010, timeout, 1076
la20.fjs, 23916116, 13, 11957795, timeout, 1050
la21.fjs, 14079480, 10, 7039444, timeout, 1503
la22.fjs, 25910339, 7, 12954966, timeout, 1142
la23.fjs, 21285486, 4, 10642552, timeout, 1401
la24.fjs, 19631832, 4, 9815752, timeout, 1386
la25.fjs, 15292580, 4, 7646081, timeout, 1254
la26.fjs, 14777733, 11, 7388468, timeout, 1516
la27.fjs, 21998776, 8, 10999139, timeout, 1707
la28.fjs, 12757279, 5, 6378413, timeout, 1633
la29.fjs, 21291168, 12, 10645115, timeout, 1533
la30.fjs, 23828148, 3, 11913898, timeout, 1881
la31.fjs, 6562525, 3, 3280978, timeout, 2279
la32.fjs, 9294827, 15, 4646888, timeout, 2130
la33.fjs, 12814879, 2, 6407159, timeout, 2225
la34.fjs, 5800478, 7, 2899831, timeout, 2116
la35.fjs, 11382553, 3, 5690942, timeout, 2232
la36.fjs, 12612628, 10, 6306008, timeout, 1621
la37.fjs, 16098902, 13, 8048921, timeout, 1697
la38.fjs, 12781334, 13, 6390225, timeout, 1499
la39.fjs, 16832776, 6, 8416131, timeout, 1489
la40.fjs, 25224085, 7, 12611703, timeout, 1549
mt06.fjs, 403314, 13, 201574, 4.01s, 47
mt10.fjs, 30095581, 2, 15047696, timeout, 1097
mt20.fjs, 41200725, 1, 20600280, timeout, 1505
orb1.fjs, 38484459, 5, 19241766, timeout, 1046
orb2.fjs, 29392299, 4, 14696037, timeout, 1246
orb3.fjs, 27083900, 3, 13541877, timeout, 1249
orb4.fjs, 28454129, 12, 14226853, timeout, 1144
orb5.fjs, 31828739, 4, 15914246, timeout, 1199
orb6.fjs, 50021755, 12, 25010683, timeout, 1070
orb7.fjs, 23951166, 7, 11975403, timeout, 521
orb8.fjs, 37604396, 3, 18802105, timeout, 1091
orb9.fjs, 24985922, 6, 12492845, timeout, 1122
orb10.fjs, 27478872, 5, 13739327, timeout, 1236
