problem, nodes, solutions, fails, time, optimum
abz5.fjs, 278939, 0, 139369, timeout, none
abz6.fjs, 207325, 0, 103563, timeout, none
abz7.fjs, 28816, 0, 14107, timeout, none
abz8.fjs, 29817, 0, 14608, timeout, none
abz9.fjs, 42121, 0, 20760, timeout, none
car1.fjs, 253574, 0, 126734, timeout, none
car2.fjs, 223503, 0, 111698, timeout, none
car3.fjs, 188629, 0, 94256, timeout, none
car4.fjs, 243404, 0, 121642, timeout, none
car5.fjs, 489773, 0, 244828, timeout, none
car6.fjs, 122427, 0, 61142, timeout, none
car7.fjs, 252229, 0, 126067, timeout, none
car8.fjs, 362090, 0, 180980, timeout, none
la01.fjs, 600996, 0, 300448, timeout, none
la02.fjs, 306521, 0, 153211, timeout, none
la03.fjs, 409359, 0, 204631, timeout, none
la04.fjs, 311869, 0, 155886, timeout, none
la05.fjs, 315095, 0, 157497, timeout, none
la06.fjs, 318815, 0, 159331, timeout, none
la07.fjs, 255357, 0, 127603, timeout, none
la08.fjs, 194341, 0, 97095, timeout, none
la09.fjs, 147962, 0, 73906, timeout, none
la10.fjs, 190737, 0, 95294, timeout, none
la11.fjs, 81232, 0, 40510, timeout, none
la12.fjs, 149488, 0, 74637, timeout, none
la13.fjs, 108092, 0, 53935, timeout, none
la14.fjs, 155810, 0, 77801, timeout, none
la15.fjs, 113724, 0, 56759, timeout, none
la16.fjs, 215223, 0, 107511, timeout, none
la17.fjs, 295283, 0, 147536, timeout, none
la18.fjs, 113996, 0, 56898, timeout, none
la19.fjs, 207489, 0, 103644, timeout, none
la20.fjs, 215702, 0, 107750, timeout, none
la21.fjs, 146389, 0, 73044, timeout, none
la22.fjs, 143300, 0, 71500, timeout, none
la23.fjs, 171965, 0, 85830, timeout, none
la24.fjs, 180084, 0, 89892, timeout, none
la25.fjs, 142907, 0, 71303, timeout, none
la26.fjs, 75782, 0, 37692, timeout, none
la27.fjs, 40820, 0, 20211, timeout, none
la28.fjs, 85837, 0, 42720, timeout, none
la29.fjs, 20391, 0, 9997, timeout, none
la30.fjs, 29625, 0, 14613, timeout, none
la31.fjs, 29274, 0, 14337, timeout, none
la32.fjs, 18087, 0, 8744, timeout, none
la33.fjs, 34072, 0, 16737, timeout, none
la34.fjs, 30094, 0, 14749, timeout, none
la35.fjs, 33783, 0, 16592, timeout, none
la36.fjs, 63232, 0, 31388, timeout, none
la37.fjs, 82526, 0, 41034, timeout, none
la38.fjs, 54981, 0, 27261, timeout, none
la39.fjs, 67613, 0, 33581, timeout, none
la40.fjs, 37171, 0, 18360, timeout, none
mt06.fjs, 500374, 0, 250152, timeout, none
mt10.fjs, 128031, 0, 63914, timeout, none
mt20.fjs, 138290, 0, 69045, timeout, none
orb1.fjs, 88282, 0, 44042, timeout, none
orb2.fjs, 214717, 0, 107259, timeout, none
orb3.fjs, 124197, 0, 61999, timeout, none
orb4.fjs, 94823, 0, 47312, timeout, none
orb5.fjs, 286931, 0, 143365, timeout, none
orb6.fjs, 229913, 0, 114856, timeout, none
orb7.fjs, 314289, 0, 157044, timeout, none
orb8.fjs, 297213, 0, 148507, timeout, none
orb9.fjs, 336911, 0, 168352, timeout, none
orb10.fjs, 310755, 0, 155274, timeout, none
