problem, nodes, solutions, fails, time, optimum
abz5.fjs, 322667, 0, 161274, timeout, none
abz6.fjs, 387724, 0, 193793, timeout, none
abz7.fjs, 63450, 0, 31548, timeout, none
abz8.fjs, 57414, 0, 28518, timeout, none
abz9.fjs, 68207, 0, 33906, timeout, none
car1.fjs, 472709, 0, 236325, timeout, none
car2.fjs, 398203, 0, 199070, timeout, none
car3.fjs, 379575, 0, 189754, timeout, none
car4.fjs, 412151, 0, 206036, timeout, none
car5.fjs, 715086, 0, 357511, timeout, none
car6.fjs, 550140, 0, 275022, timeout, none
car7.fjs, 383671, 0, 191810, timeout, none
car8.fjs, 593012, 0, 296468, timeout, none
la01.fjs, 837081, 0, 418511, timeout, none
la02.fjs, 858184, 0, 429062, timeout, none
la03.fjs, 806564, 0, 403254, timeout, none
la04.fjs, 781999, 0, 390972, timeout, none
la05.fjs, 608727, 0, 304331, timeout, none
la06.fjs, 584705, 0, 292303, timeout, none
la07.fjs, 394755, 0, 197333, timeout, none
la08.fjs, 470248, 0, 235081, timeout, none
la09.fjs, 614351, 0, 307130, timeout, none
la10.fjs, 295107, 0, 147512, timeout, none
la11.fjs, 226969, 0, 113422, timeout, none
la12.fjs, 327996, 0, 163933, timeout, none
la13.fjs, 201701, 0, 100779, timeout, none
la14.fjs, 285617, 0, 142746, timeout, none
la15.fjs, 320933, 0, 160405, timeout, none
la16.fjs, 304687, 0, 152277, timeout, none
la17.fjs, 341820, 0, 170836, timeout, none
la18.fjs, 291727, 0, 145800, timeout, none
la19.fjs, 320414, 0, 160136, timeout, none
la20.fjs, 348605, 0, 174236, timeout, none
la21.fjs, 179149, 0, 89483, timeout, none
la22.fjs, 206450, 0, 103136, timeout, none
la23.fjs, 168355, 0, 84090, timeout, none
la24.fjs, 168883, 0, 84351, timeout, none
la25.fjs, 243502, 0, 121662, timeout, none
la26.fjs, 146034, 0, 72899, timeout, none
la27.fjs, 82204, 0, 41001, timeout, none
la28.fjs, 135483, 0, 67631, timeout, none
la29.fjs, 141442, 0, 70607, timeout, none
la30.fjs, 120047, 0, 59911, timeout, none
la31.fjs, 87917, 0, 43795, timeout, none
la32.fjs, 77151, 0, 38414, timeout, none
la33.fjs, 83531, 0, 41600, timeout, none
la34.fjs, 79990, 0, 39835, timeout, none
la35.fjs, 80736, 0, 40204, timeout, none
la36.fjs, 106770, 0, 53220, timeout, none
la37.fjs, 103933, 0, 51796, timeout, none
la38.fjs, 91176, 0, 45422, timeout, none
la39.fjs, 130267, 0, 64984, timeout, none
la40.fjs, 111953, 0, 55855, timeout, none
mt06.fjs, 1096879, 0, 548421, timeout, none
mt10.fjs, 364204, 0, 182037, timeout, none
mt20.fjs, 207997, 0, 103942, timeout, none
orb1.fjs, 353779, 0, 176816, timeout, none
orb2.fjs, 336637, 0, 168245, timeout, none
orb3.fjs, 324524, 0, 162193, timeout, none
orb4.fjs, 311884, 0, 155877, timeout, none
orb5.fjs, 290411, 0, 145141, timeout, none
orb6.fjs, 337273, 0, 168564, timeout, none
orb7.fjs, 304940, 0, 152401, timeout, none
orb8.fjs, 281505, 0, 140686, timeout, none
orb9.fjs, 334249, 0, 167050, timeout, none
orb10.fjs, 298230, 0, 149049, timeout, none
