problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 33420, 748, 20, 16593, timeout, 3249
abz6.fjs, 15820, 267, 5, 7816, timeout, 2974
abz7.fjs, 358, 0, 0, 0, timeout, none
abz8.fjs, 338, 0, 0, 0, timeout, none
abz9.fjs, 346, 0, 0, 0, timeout, none
car1.fjs, 75119, 105, 1, 37508, timeout, 16041
car2.fjs, 64612, 97, 1, 32260, timeout, 13746
car3.fjs, 56014, 112, 1, 27954, timeout, 17346
car4.fjs, 69895, 578, 5, 34896, timeout, 14240
car5.fjs, 46097, 387, 12, 22987, timeout, 14958
car6.fjs, 14533, 160, 3, 7199, timeout, 20105
car7.fjs, 53557, 524, 7, 26730, timeout, 11719
car8.fjs, 33548, 173, 4, 16709, timeout, 17979
la01.fjs, 105961, 94, 1, 52934, timeout, 1788
la02.fjs, 85761, 94, 1, 42834, timeout, 1610
la03.fjs, 59241, 121, 3, 29575, timeout, 1221
la04.fjs, 80091, 18423, 5, 40000, timeout, 1295
la05.fjs, 45799, 102, 2, 22858, timeout, 1357
la06.fjs, 45618, 157, 2, 22740, timeout, 2291
la07.fjs, 19106, 200, 6, 9483, timeout, 2073
