problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 26409, 200, 1, 13107, timeout, 3711
abz6.fjs, 9151, 623, 12, 4472, timeout, 2810
abz7.fjs, 375, 0, 0, 0, timeout, none
abz8.fjs, 351, 0, 0, 0, timeout, none
abz9.fjs, 355, 0, 0, 0, timeout, none
car1.fjs, 80910, 123, 2, 40402, timeout, 15344
car2.fjs, 87940, 119, 3, 43922, timeout, 13746
car3.fjs, 54986, 416, 7, 27435, timeout, 16922
car4.fjs, 126830, 994, 12, 63359, timeout, 13105
car5.fjs, 48139, 333, 10, 24010, timeout, 15215
car6.fjs, 54648, 830, 12, 27246, timeout, 20089
car7.fjs, 55103, 162, 3, 27508, timeout, 11644
car8.fjs, 99659, 171, 3, 49764, timeout, 17979
la01.fjs, 154817, 13210, 9, 77356, timeout, 1745
la02.fjs, 112785, 216, 8, 56339, timeout, 1610
la03.fjs, 124577, 143, 3, 62243, timeout, 1188
la04.fjs, 51346, 693, 9, 25624, timeout, 1201
la05.fjs, 179854, 114, 2, 89883, timeout, 1357
la06.fjs, 79885, 167, 3, 39871, timeout, 2236
la07.fjs, 56666, 146, 2, 28264, timeout, 2073
la08.fjs, 48177, 229, 6, 24016, timeout, 1837
la09.fjs, 65044, 153, 2, 32453, timeout, 2321
la10.fjs, 69418, 141, 1, 34640, timeout, 2022
la11.fjs, 37362, 188, 1, 18588, timeout, 2641
la12.fjs, 47460, 248, 4, 23637, timeout, 2421
la13.fjs, 41979, 793, 9, 20894, timeout, 2515
la14.fjs, 21815, 204, 3, 10817, timeout, 2547
la15.fjs, 26783, 200, 3, 13299, timeout, 2890
la16.fjs, 26908, 316, 3, 13358, timeout, 2528
la17.fjs, 32038, 315, 5, 15919, timeout, 2265
la18.fjs, 14926, 242, 3, 7369, timeout, 2827
la19.fjs, 27413, 379, 8, 13602, timeout, 2212
la20.fjs, 33637, 587, 11, 16715, timeout, 1893
la21.fjs, 20981, 301, 1, 10342, timeout, 3521
la22.fjs, 14702, 482, 8, 7197, timeout, 3154
la23.fjs, 12325, 573, 11, 6009, timeout, 3500
la24.fjs, 15387, 910, 7, 7540, timeout, 4046
la25.fjs, 16469, 404, 6, 8081, timeout, 3713
la26.fjs, 2857, 476, 4, 1235, timeout, 4503
