problem, nodes, solutions, fails, time, optimum
abz5.fjs, 2630148, -1, 1865858, timeout, 2902
abz6.fjs, 1350995, -1, 725671, timeout, 2550
abz7.fjs, 13274109, -1, 1010794, timeout, -1
abz8.fjs, 15375260, -1, 1582430, timeout, -1
abz9.fjs, 6900627, -1, 418054, timeout, 3125
car1.fjs, 639245, -1, 390532, timeout, 13865
car2.fjs, 865573, -1, 567300, timeout, 12402
car3.fjs, 1460444, -1, 978454, timeout, 14646
car4.fjs, 2016661, -1, 1562586, timeout, 11646
car5.fjs, 421534, -1, 187570, timeout, 13260
car6.fjs, 947439, -1, 317224, timeout, 16280
car7.fjs, 2246094, -1, 1710424, timeout, 9422
car8.fjs, 1464464, -1, 658762, timeout, 14514
la01.fjs, 3061795, -1, 1921639, timeout, 1670
la02.fjs, 3659919, -1, 2111778, timeout, 1610
la03.fjs, 1407421, -1, 865710, timeout, 1123
la04.fjs, 3660690, -1, 2346020, timeout, 1133
la05.fjs, 3485523, -1, 2316259, timeout, 1175
la06.fjs, 3066938, -1, 1706787, timeout, 2055
la07.fjs, 1875227, -1, 1009318, timeout, 1875
la08.fjs, 3548855, -1, 1905496, timeout, 1823
la09.fjs, 802947, -1, 622153, timeout, 2307
la10.fjs, 3990087, -1, 2315516, timeout, 1897
la11.fjs, 843391, -1, 730246, timeout, 2608
la12.fjs, 3818875, -1, 2564853, timeout, 2371
la13.fjs, 2818225, -1, 1692379, timeout, 2442
la14.fjs, 1487252, -1, 998844, timeout, 2368
la15.fjs, 752377, -1, 553080, timeout, 2817
la16.fjs, 1650124, -1, 1018549, timeout, 2397
la17.fjs, 1017307, -1, 510140, timeout, 1923
la18.fjs, 1253678, -1, 528873, timeout, 2570
la19.fjs, 1101086, -1, 680087, timeout, 2070
la20.fjs, 3906742, -1, 2284959, timeout, 1718
la21.fjs, 2966252, -1, 1530812, timeout, 3170
la22.fjs, 2464244, -1, 1110951, timeout, 2962
la23.fjs, 1820744, -1, 904195, timeout, 3320
la24.fjs, 2025702, -1, 1170826, timeout, 3620
la25.fjs, 1938830, -1, 1178788, timeout, 3413
la26.fjs, 2909162, -1, 407816, timeout, 4226
la27.fjs, 4976572, -1, 485445, timeout, 4328
la28.fjs, 5089781, -1, 1028540, timeout, 4616
la29.fjs, 2773159, -1, 885772, timeout, 4129
la30.fjs, 663189, -1, 207845, timeout, 5384
la31.fjs, 4062607, -1, 93738, timeout, -1
la32.fjs, 6017136, -1, 81367, timeout, -1
la33.fjs, 5412912, -1, 75165, timeout, -1
la34.fjs, 4498324, -1, 90373, timeout, -1
la35.fjs, 4025063, -1, 73975, timeout, -1
la36.fjs, 1429815, -1, 542399, timeout, 4686
la37.fjs, 805628, -1, 490985, timeout, 5296
la38.fjs, 639890, -1, 348124, timeout, 4901
la39.fjs, 700455, -1, 268714, timeout, 5152
la40.fjs, 1020998, -1, 386463, timeout, 4611
mt06.fjs, 4698257, -1, 3729380, timeout, 86
mt10.fjs, 2367701, -1, 1125639, timeout, 1885
mt20.fjs, 1889683, -1, 1220468, timeout, 2528
orb1.fjs, 2671896, -1, 1183885, timeout, 2338
orb2.fjs, 3257703, -1, 1297460, timeout, 2001
orb3.fjs, 3271212, -1, 1306299, timeout, 2316
orb4.fjs, 2299519, -1, 936976, timeout, 2201
orb5.fjs, 2975673, -1, 1813747, timeout, 2021
orb6.fjs, 1976581, -1, 927439, timeout, 2276
orb7.fjs, 3323525, -1, 1596456, timeout, 936
orb8.fjs, 1408774, -1, 613623, timeout, 1909
orb9.fjs, 1698893, -1, 977795, timeout, 1932
orb10.fjs, 764107, -1, 464905, timeout, 2616

