problem, nodes, solutions, fails, time, optimum
abz5.fjs, 26268453, -1, 4910129, timeout, 1281
abz6.fjs, 35059289, -1, 9445569, timeout, -1
abz7.fjs, 28115665, -1, 1837436, timeout, -1
abz8.fjs, 23753883, -1, 2016228, timeout, -1
abz9.fjs, 27094088, -1, 1817438, timeout, -1
car1.fjs, 41157542, -1, 4977098, timeout, 6109
car2.fjs, 26561892, -1, 10860363, timeout, 6949
car3.fjs, 31220418, -1, 7312330, timeout, 6850
car4.fjs, 32015983, -1, 6758672, timeout, 7751
car5.fjs, 31758247, -1, 3623624, timeout, -1
car6.fjs, 590085, -1, 53047, 6.01s, 5486
car7.fjs, 40328534, -1, 6523991, timeout, 5412
car8.fjs, 34555724, -1, 7856831, timeout, 6769
la01.fjs, 51771904, -1, 11737397, timeout, 681
la02.fjs, 22727965, -1, 7803569, timeout, 597
la03.fjs, 45584508, -1, 13390584, timeout, 546
la04.fjs, 19228504, -1, 6601080, timeout, 582
la05.fjs, 42804148, -1, 12172436, timeout, 508
la06.fjs, 32538966, -1, 4484382, timeout, 874
la07.fjs, 20750081, -1, 5550672, timeout, 870
la08.fjs, 31909535, -1, 8158512, timeout, 877
la09.fjs, 32317372, -1, 8170535, timeout, 943
la10.fjs, 21044672, -1, 8545179, timeout, 907
la11.fjs, 22104240, -1, 6919221, timeout, 1267
la12.fjs, 32332401, -1, 3842048, timeout, 1057
la13.fjs, 25165315, -1, 5578743, timeout, 1169
la14.fjs, 22646786, -1, 5668192, timeout, 1212
la15.fjs, 28984719, -1, 5157058, timeout, 1290
la16.fjs, 29920041, -1, 7349827, timeout, 1031
la17.fjs, 29088510, -1, 8069346, timeout, -1
la18.fjs, 30208041, -1, 5559332, timeout, 864
la19.fjs, 29709307, -1, 7014096, timeout, 897
la20.fjs, 20459701, -1, 8076106, timeout, -1
la21.fjs, 36797797, -1, 6386080, timeout, -1
la22.fjs, 50078417, -1, 5431480, timeout, -1
la23.fjs, 28532242, -1, 3968409, timeout, -1
la24.fjs, 33077720, -1, 6061022, timeout, -1
la25.fjs, 28251621, -1, 2931762, timeout, 1179
la26.fjs, 29171541, -1, 3552273, timeout, -1
la27.fjs, 32656349, -1, 3538958, timeout, -1
la28.fjs, 30606891, -1, 2771200, timeout, -1
la29.fjs, 30926202, -1, 2053569, timeout, 1295
la30.fjs, 38505706, -1, 3376450, timeout, -1
la31.fjs, 32002113, -1, 3339849, timeout, -1
la32.fjs, 28623521, -1, 2214499, timeout, -1
la33.fjs, 26133071, -1, 1353673, timeout, -1
la34.fjs, 28410245, -1, 2457052, timeout, -1
la35.fjs, 29443125, -1, 2784536, timeout, -1
la36.fjs, 29626948, -1, 2021445, timeout, -1
la37.fjs, 21849757, -1, 2391811, timeout, -1
la38.fjs, 25566916, -1, 2174310, timeout, -1
la39.fjs, 23869604, -1, 2292468, timeout, -1
la40.fjs, 28275621, -1, 2355858, timeout, -1
mt06.fjs, 860, -1, 191, 0.00s, 47
mt10.fjs, 36635702, -1, 6207117, timeout, 821
mt20.fjs, 20274735, -1, 5237495, timeout, 1181
orb1.fjs, 23904655, -1, 8021082, timeout, -1
orb2.fjs, 25432909, -1, 8189031, timeout, -1
orb3.fjs, 21778816, -1, 4949090, timeout, 820
orb4.fjs, 20059540, -1, 4606620, timeout, 858
orb5.fjs, 28630615, -1, 6425067, timeout, -1
orb6.fjs, 24007428, -1, 6683468, timeout, 1008
orb7.fjs, 24808459, -1, 7446368, timeout, 341
orb8.fjs, 27158685, -1, 6954003, timeout, -1
orb9.fjs, 27894343, -1, 6128718, timeout, 837
orb10.fjs, 44977350, -1, 8952524, timeout, 887
