problem, nodes, solutions, fails, time, optimum
abz5.fjs, 4621414, -1, 3452769, timeout, 3212
abz6.fjs, 4827883, -1, 2612287, timeout, 2695
abz7.fjs, 4386395, -1, 1638797, timeout, 3226
abz8.fjs, 2604572, -1, 1661300, timeout, 3707
abz9.fjs, 3342965, -1, 1781009, timeout, 3322
car1.fjs, 1048674, -1, 688099, timeout, 15344
car2.fjs, 1326471, -1, 751940, timeout, 13746
car3.fjs, 2997188, -1, 1564327, timeout, 16890
car4.fjs, 3380817, -1, 2870892, timeout, 13105
car5.fjs, 1284747, -1, 541122, timeout, 14958
car6.fjs, 1823539, -1, 773420, timeout, 20076
car7.fjs, 1302821, -1, 787897, timeout, 11522
car8.fjs, 3083676, -1, 1590327, timeout, 17979
la01.fjs, 7040406, -1, 3375355, timeout, 1745
la02.fjs, 7177446, -1, 3604549, timeout, 1610
la03.fjs, 3801156, -1, 2043025, timeout, 1180
la04.fjs, 5461467, -1, 3170540, timeout, 1197
la05.fjs, 6974677, -1, 3851643, timeout, 1357
la06.fjs, 5900570, -1, 3184404, timeout, 2236
la07.fjs, 4954726, -1, 2690133, timeout, 2073
la08.fjs, 6061988, -1, 3252662, timeout, 1823
la09.fjs, 2134201, -1, 1605091, timeout, 2321
la10.fjs, 5990056, -1, 3537338, timeout, 2022
la11.fjs, 2434617, -1, 1956947, timeout, 2641
la12.fjs, 4272718, -1, 2396624, timeout, 2421
la13.fjs, 4956743, -1, 2243552, timeout, 2515
la14.fjs, 3420050, -1, 1846768, timeout, 2505
la15.fjs, 2284174, -1, 1697992, timeout, 2890
la16.fjs, 6031627, -1, 3660901, timeout, 2491
la17.fjs, 4171430, -1, 2008719, timeout, 2247
la18.fjs, 5824190, -1, 2224300, timeout, 2732
la19.fjs, 3874978, -1, 2318190, timeout, 2212
la20.fjs, 6306711, -1, 3050406, timeout, 1837
la21.fjs, 5110205, -1, 3000635, timeout, 3324
la22.fjs, 5797976, -1, 2733074, timeout, 3154
la23.fjs, 4299511, -1, 2271861, timeout, 3497
la24.fjs, 3000030, -1, 2045806, timeout, 3830
la25.fjs, 4159832, -1, 3010615, timeout, 3661
la26.fjs, 3474160, -1, 1794943, timeout, 4226
la27.fjs, 3817610, -1, 2031597, timeout, 4418
la28.fjs, 5466606, -1, 2360362, timeout, 4776
la29.fjs, 4580535, -1, 2014690, timeout, 4222
la30.fjs, 1909038, -1, 1330483, timeout, 5659
la31.fjs, 3157659, -1, 1691601, timeout, 6758
la32.fjs, 2929737, -1, 1439005, timeout, 6846
la33.fjs, 1954143, -1, 1413494, timeout, 6574
la34.fjs, 2889338, -1, 1606307, timeout, 6166
la35.fjs, 2443228, -1, 1343504, timeout, 6725
la36.fjs, 4443608, -1, 1810818, timeout, 4894
la37.fjs, 3773420, -1, 1902635, timeout, 5785
la38.fjs, 2759081, -1, 1329998, timeout, 5323
la39.fjs, 2969558, -1, 1238679, timeout, 5291
la40.fjs, 4051922, -1, 1717995, timeout, 4966
mt06.fjs, 72778, -1, 34921, 1.01s, 47
mt10.fjs, 4537593, -1, 2383102, timeout, 2085
mt20.fjs, 4821930, -1, 2820067, timeout, 2743
orb1.fjs, 6368407, -1, 2760067, timeout, 2665
orb2.fjs, 6545829, -1, 2551090, timeout, 2337
orb3.fjs, 7999330, -1, 3397764, timeout, 2484
orb4.fjs, 7304764, -1, 3034410, timeout, 2494
orb5.fjs, 5950631, -1, 3756140, timeout, 2229
orb6.fjs, 4450107, -1, 2073993, timeout, 2514
orb7.fjs, 8659817, -1, 3965109, timeout, 1037
orb8.fjs, 3593438, -1, 1796807, timeout, 2116
orb9.fjs, 6067566, -1, 3396650, timeout, 2346
orb10.fjs, 4576783, -1, 2979970, timeout, 2903
