problem, nodes, solutions, fails, time, optimum
abz5.fjs, 170448328, 2, 85224064, timeout, 3303
abz6.fjs, 65895989, 12, 32947851, timeout, 2606
abz7.fjs, 194212, 0, 96954, timeout, none
abz8.fjs, 190104, 0, 94899, timeout, none
abz9.fjs, 192266, 0, 95982, timeout, none
car1.fjs, 7134822, 0, 3567403, timeout, none
car2.fjs, 278294701, 3, 139147301, timeout, 12402
car3.fjs, 8785832, 0, 4392898, timeout, none
car4.fjs, 211593665, 12, 105796740, timeout, 11646
car5.fjs, 82121574, 10, 41060692, timeout, 13517
car6.fjs, 145532727, 8, 72766263, timeout, 16280
car7.fjs, 160197044, 2, 80098477, timeout, 9544
car8.fjs, 5280141, 0, 2640053, timeout, none
la01.fjs, 11457071, 0, 5728522, timeout, none
la02.fjs, 12182329, 0, 6091150, timeout, none
la03.fjs, 12834925, 0, 6417447, timeout, none
la04.fjs, 10394086, 0, 5197034, timeout, none
la05.fjs, 16202295, 0, 8101131, timeout, none
la06.fjs, 5922642, 0, 2961293, timeout, none
la07.fjs, 5940391, 0, 2970172, timeout, none
la08.fjs, 193413384, 10, 96706593, timeout, 1823
la09.fjs, 210366438, 2, 105183148, timeout, 2307
la10.fjs, 4197523, 0, 2098744, timeout, none
la11.fjs, 2618022, 0, 1308986, timeout, none
la12.fjs, 2526260, 0, 1263111, timeout, none
la13.fjs, 1971787, 0, 985886, timeout, none
la14.fjs, 2590549, 0, 1295252, timeout, none
la15.fjs, 2358824, 0, 1179387, timeout, none
la16.fjs, 121057282, 14, 60528500, timeout, 2397
la17.fjs, 113903298, 5, 56951522, timeout, 1941
la18.fjs, 88209315, 8, 44104524, timeout, 2613
la19.fjs, 118149502, 4, 59074642, timeout, 2070
la20.fjs, 98689670, 9, 49344706, timeout, 1802
la21.fjs, 1171360, 0, 585608, timeout, none
la22.fjs, 1149391, 0, 574630, timeout, none
la23.fjs, 1162277, 0, 581073, timeout, none
la24.fjs, 1185368, 0, 592612, timeout, none
la25.fjs, 1163248, 0, 581554, timeout, none
la26.fjs, 665899, 0, 332857, timeout, none
la27.fjs, 685649, 0, 342727, timeout, none
la28.fjs, 664161, 0, 331996, timeout, none
la29.fjs, 607544, 0, 303702, timeout, none
la30.fjs, 523848, 0, 261858, timeout, none
la31.fjs, 218075, 0, 108906, timeout, none
la32.fjs, 193484, 0, 96623, timeout, none
la33.fjs, 184577, 0, 92171, timeout, none
la34.fjs, 176546, 0, 88164, timeout, none
la35.fjs, 211769, 0, 105749, timeout, none
la36.fjs, 19732640, 36, 9865809, timeout, 4696
la37.fjs, 79275859, 2, 39637704, timeout, 5352
la38.fjs, 54146609, 10, 27073041, timeout, 5172
la39.fjs, 464970, 0, 232367, timeout, none
la40.fjs, 28587612, 15, 14293494, timeout, 4719
mt06.fjs, 21649632, 0, 10824805, timeout, none
mt10.fjs, 2851693, 0, 1425801, timeout, none
mt20.fjs, 152098646, 9, 76049205, timeout, 2599
orb1.fjs, 130139013, 6, 65069392, timeout, 2389
orb2.fjs, 102184217, 8, 51091985, timeout, 2050
orb3.fjs, 113548615, 16, 56774152, timeout, 2316
orb4.fjs, 107101100, 7, 53550426, timeout, 2201
orb5.fjs, 123684762, 2, 61842283, timeout, 2134
orb6.fjs, 91498239, 6, 45748998, timeout, 2278
orb7.fjs, 128806544, 3, 64403165, timeout, 936
orb8.fjs, 53589587, 11, 26794670, timeout, 1938
orb9.fjs, 149444924, 3, 74722361, timeout, 1978
orb10.fjs, 143396920, 3, 71698357, timeout, 2616
