problem, nodes, solutions, fails, time, optimum
abz5.fjs, 14285676, 1, 7142739, timeout, 3711
abz6.fjs, 9694436, 16, 4847022, timeout, 2774
abz7.fjs, 1325575, 17, 662420, timeout, 3279
abz8.fjs, 1831076, 1, 915237, timeout, 3707
abz9.fjs, 1649700, 16, 824482, timeout, 3353
car1.fjs, 17420945, 2, 8710417, timeout, 15344
car2.fjs, 20819905, 3, 10409901, timeout, 13746
car3.fjs, 26107019, 8, 13053428, timeout, 16890
car4.fjs, 35089211, 3, 17544552, timeout, 13769
car5.fjs, 26266330, 10, 13133068, timeout, 15215
car6.fjs, 17275449, 4, 8637637, timeout, 20972
car7.fjs, 27351365, 4, 13675628, timeout, 11888
car8.fjs, 16789582, 3, 8394720, timeout, 17979
la01.fjs, 28072248, 9, 14036056, timeout, 1745
la02.fjs, 31459313, 5, 15729595, timeout, 1610
la03.fjs, 35254058, 3, 17626972, timeout, 1180
la04.fjs, 36155307, 9, 18077573, timeout, 1201
la05.fjs, 31357769, 2, 15678837, timeout, 1357
la06.fjs, 18929526, 3, 9464689, timeout, 2236
la07.fjs, 19704369, 2, 9852115, timeout, 2073
la08.fjs, 18639707, 6, 9319769, timeout, 1837
la09.fjs, 17350888, 2, 8675372, timeout, 2321
la10.fjs, 16616065, 1, 8307962, timeout, 2022
la11.fjs, 9610596, 1, 4805204, timeout, 2641
la12.fjs, 8631870, 4, 4315832, timeout, 2421
la13.fjs, 12010989, 8, 6005387, timeout, 2515
la14.fjs, 9750728, 3, 4875271, timeout, 2547
la15.fjs, 7217409, 3, 3608610, timeout, 2890
la16.fjs, 10223562, 1, 5111682, timeout, 2570
la17.fjs, 8851347, 5, 4425551, timeout, 2265
la18.fjs, 8253532, 3, 4126661, timeout, 2827
la19.fjs, 12112315, 8, 6056030, timeout, 2212
la20.fjs, 10624944, 8, 5312332, timeout, 1898
la21.fjs, 7215302, 1, 3607501, timeout, 3521
la22.fjs, 4113056, 8, 2056349, timeout, 3154
la23.fjs, 4593694, 11, 2296649, timeout, 3500
la24.fjs, 5468392, 7, 2734030, timeout, 4046
la25.fjs, 7383820, 6, 3691742, timeout, 3713
la26.fjs, 3826705, 4, 1913141, timeout, 4503
la27.fjs, 6188553, 10, 3094034, timeout, 4623
la28.fjs, 4238042, 11, 2118793, timeout, 4783
la29.fjs, 5945293, 6, 2972431, timeout, 4262
la30.fjs, 3640622, 6, 1820094, timeout, 5660
la31.fjs, 2319935, 12, 1159636, timeout, 6759
la32.fjs, 1870567, 5, 934977, timeout, 6984
la33.fjs, 1971497, 2, 985447, timeout, 6929
la34.fjs, 1511139, 6, 755253, timeout, 6166
la35.fjs, 1996862, 4, 998123, timeout, 6875
la36.fjs, 2969377, 25, 1484269, timeout, 4959
la37.fjs, 2862366, 11, 1430907, timeout, 5924
la38.fjs, 2735646, 3, 1367584, timeout, 5628
la39.fjs, 3029629, 14, 1514520, timeout, 5556
la40.fjs, 2535867, 5, 1267693, timeout, 5204
mt06.fjs, 61662225, 1, 30831077, timeout, 86
mt10.fjs, 14851128, 10, 7425442, timeout, 2369
mt20.fjs, 10630276, 9, 5315023, timeout, 2814
orb1.fjs, 8735629, 6, 4367698, timeout, 2716
orb2.fjs, 9358767, 8, 4679261, timeout, 2383
orb3.fjs, 12444049, 10, 6221874, timeout, 2500
orb4.fjs, 10052163, 4, 5025972, timeout, 2598
orb5.fjs, 9379270, 3, 4689529, timeout, 2409
orb6.fjs, 8357276, 4, 4178523, timeout, 2535
orb7.fjs, 10167525, 4, 5083654, timeout, 1037
orb8.fjs, 8461623, 7, 4230687, timeout, 2145
orb9.fjs, 8867456, 2, 4433630, timeout, 2570
orb10.fjs, 8224689, 7, 4112219, timeout, 2903
