problem, nodes, solutions, fails, time, optimum
abz5.fjs, 12132081, 3, 6065822, timeout, 3406
abz6.fjs, 12411365, 7, 6205462, timeout, 2597
abz7.fjs, 2172801, 2, 1085485, timeout, 3355
abz8.fjs, 2316531, 2, 1157336, timeout, 3253
abz9.fjs, 1961293, 2, 979722, timeout, 3347
car1.fjs, 39242610, 1, 19621239, timeout, 13512
car2.fjs, 48852913, 1, 24426403, timeout, 8727
car3.fjs, 38881317, 1, 19440590, timeout, 10844
car4.fjs, 77383229, 1, 38691561, timeout, 11960
car5.fjs, 28069365, 3, 14034599, timeout, 14653
car6.fjs, 21904887, 1, 10952312, timeout, 15669
car7.fjs, 44233424, 1, 22116636, timeout, 11823
car8.fjs, 23584294, 2, 11792029, timeout, 15986
la01.fjs, 35167276, 1, 17583567, timeout, 1448
la02.fjs, 41126119, 1, 20563002, timeout, 1266
la03.fjs, 51640473, 4, 25819384, timeout, 763
la04.fjs, 56659408, 4, 28329637, timeout, 684
la05.fjs, 36841625, 3, 18420741, timeout, 952
la06.fjs, 23250555, 4, 11625170, timeout, 1290
la07.fjs, 23494295, 7, 11747003, timeout, 1512
la08.fjs, 26328843, 1, 13164339, timeout, 1344
la09.fjs, 21034534, 1, 10517186, timeout, 1457
la10.fjs, 21331825, 1, 10665826, timeout, 1759
la11.fjs, 12622966, 3, 6311353, timeout, 2010
la12.fjs, 16944130, 4, 8471909, timeout, 1583
la13.fjs, 15974820, 2, 7987113, timeout, 2128
la14.fjs, 14591860, 1, 7295828, timeout, 2049
la15.fjs, 15061111, 3, 7530432, timeout, 2245
la16.fjs, 12430367, 5, 6214950, timeout, 2635
la17.fjs, 11281027, 5, 5640281, timeout, 1921
la18.fjs, 13849805, 3, 6924671, timeout, 2115
la19.fjs, 12171683, 1, 6085627, timeout, 2646
la20.fjs, 10348189, 2, 5173870, timeout, 2760
la21.fjs, 7756854, 3, 3878089, timeout, 3765
la22.fjs, 7490535, 4, 3744943, timeout, 3606
la23.fjs, 6785852, 3, 3392604, timeout, 3915
la24.fjs, 7234356, 6, 3616818, timeout, 3668
la25.fjs, 6700234, 1, 3349782, timeout, 3318
la26.fjs, 4727857, 3, 2363499, timeout, 5404
la27.fjs, 4852634, 2, 2425893, timeout, 5363
la28.fjs, 5430914, 1, 2715053, timeout, 5158
la29.fjs, 5472495, 3, 2735827, timeout, 4331
la30.fjs, 4544002, 2, 2271565, timeout, 4762
la31.fjs, 2811262, 1, 1405007, timeout, 7222
la32.fjs, 3123825, 1, 1561288, timeout, 6848
la33.fjs, 3327969, 1, 1663363, timeout, 6961
la34.fjs, 2760953, 1, 1379849, timeout, 7422
la35.fjs, 2540015, 3, 1269352, timeout, 7422
la36.fjs, 2984220, 1, 1491416, timeout, 5808
la37.fjs, 3663500, 1, 1831060, timeout, 6067
la38.fjs, 3411615, 2, 1705111, timeout, 4731
la39.fjs, 3829597, 1, 1914114, timeout, 4872
la40.fjs, 3155728, 1, 1577192, timeout, 5774
mt06.fjs, 33440907, 11, 16718348, timeout, 65
mt10.fjs, 17821986, 5, 8910776, timeout, 2100
mt20.fjs, 15853131, 1, 7926452, timeout, 2261
orb1.fjs, 11059192, 2, 5529388, timeout, 2771
orb2.fjs, 11440537, 1, 5720074, timeout, 2664
orb3.fjs, 11233585, 1, 5616579, timeout, 2638
orb4.fjs, 14698359, 1, 7348964, timeout, 2698
orb5.fjs, 13666736, 3, 6833153, timeout, 2307
orb6.fjs, 12337336, 1, 6168454, timeout, 2818
orb7.fjs, 13747166, 6, 6873348, timeout, 1014
orb8.fjs, 12900588, 6, 6450066, timeout, 2009
orb9.fjs, 14002754, 2, 7001160, timeout, 1851
orb10.fjs, 11624973, 3, 5812259, timeout, 2127
