problem, nodes, nodes_before_last_sol, solutions, fails, time, optimum
abz5.fjs, 79271, 196, 1, 39538, timeout, 3711
abz6.fjs, 40991, 375, 12, 20392, timeout, 2810
car1.fjs, 203910, 116, 2, 101902, timeout, 15344
car2.fjs, 212775, 95, 3, 106339, timeout, 13746
car3.fjs, 163199, 496, 7, 81542, timeout, 16922
car4.fjs, 151361, 1520, 12, 75624, timeout, 13105
car5.fjs, 81614, 202, 10, 40748, timeout, 15215
car6.fjs, 107033, 989, 12, 53438, timeout, 20089
car7.fjs, 148863, 146, 3, 74388, timeout, 11644
car8.fjs, 167190, 151, 3, 83530, timeout, 17979
la01.fjs, 187841, 27621, 9, 93868, timeout, 1745
la02.fjs, 182367, 126, 8, 91131, timeout, 1610
la03.fjs, 167065, 113, 3, 83487, timeout, 1188
la04.fjs, 117011, 957, 9, 58457, timeout, 1201
la05.fjs, 200893, 104, 2, 100403, timeout, 1357
la06.fjs, 113694, 145, 3, 56776, timeout, 2236
la07.fjs, 131361, 136, 2, 65612, timeout, 2073
la08.fjs, 85713, 170, 6, 42783, timeout, 1837
la09.fjs, 132356, 139, 2, 66110, timeout, 2321
la10.fjs, 127110, 137, 1, 63486, timeout, 2022
la11.fjs, 77279, 185, 1, 38546, timeout, 2641
la12.fjs, 77507, 237, 4, 38660, timeout, 2421
la13.fjs, 65767, 1253, 9, 32788, timeout, 2515
la14.fjs, 36774, 187, 3, 18297, timeout, 2547
la15.fjs, 65272, 186, 3, 32544, timeout, 2890
la16.fjs, 57149, 313, 3, 28478, timeout, 2528
la17.fjs, 73982, 224, 5, 36891, timeout, 2265
la18.fjs, 53936, 233, 3, 26874, timeout, 2827
la19.fjs, 43032, 277, 8, 21413, timeout, 2212
la20.fjs, 61153, 446, 11, 30473, timeout, 1893
la21.fjs, 39860, 300, 1, 19782, timeout, 3521
la22.fjs, 31644, 414, 8, 15668, timeout, 3154
la23.fjs, 29212, 442, 11, 14454, timeout, 3500
la24.fjs, 34470, 1397, 7, 17082, timeout, 4046
la25.fjs, 26038, 359, 6, 12866, timeout, 3713
la26.fjs, 9674, 411, 4, 4644, timeout, 4503
la27.fjs, 23962, 487, 9, 11782, timeout, 4656
la28.fjs, 19980, 458, 11, 9785, timeout, 4783
la29.fjs, 17633, 4965, 10, 8612, timeout, 4222
la30.fjs, 15050, 430, 6, 7324, timeout, 5660
