problem, nodes, solutions, fails, time, optimum
la01.jss, 4900904, 0, 2450449, timeout, none
la02.jss, 7898926, 0, 3949459, timeout, none
la03.jss, 5237450, 0, 2618720, timeout, none
la04.jss, 4794566, 0, 2397279, timeout, none
la05.jss, 2893068, 0, 1446528, timeout, none
la06.jss, 1554937, 0, 777465, timeout, none
la07.jss, 2025175, 0, 1012585, timeout, none
la08.jss, 2661406, 0, 1330701, timeout, none
la09.jss, 1090012, 0, 545003, timeout, none
la10.jss, 814324, 0, 407158, timeout, none
la11.jss, 427932, 0, 213964, timeout, none
la12.jss, 537546, 0, 268770, timeout, none
la13.jss, 273638, 0, 136817, timeout, none
la14.jss, 249365, 0, 124680, timeout, none
la15.jss, 691231, 0, 345612, timeout, none
la16.jss, 771726, 0, 385861, timeout, none
la17.jss, 1420127, 0, 710057, timeout, none
la18.jss, 1582732, 0, 791363, timeout, none
la19.jss, 500366, 0, 250181, timeout, none
la20.jss, 814679, 0, 407335, timeout, none
la21.jss, 355118, 0, 177557, timeout, none
la22.jss, 540765, 0, 270379, timeout, none
la23.jss, 345589, 0, 172792, timeout, none
la24.jss, 309665, 0, 154828, timeout, none
la25.jss, 739262, 0, 369627, timeout, none
la26.jss, 64292, 0, 32144, timeout, none
la27.jss, 89523, 0, 44760, timeout, none
la28.jss, 63812, 0, 31903, timeout, none
la29.jss, 119198, 0, 59598, timeout, none
la30.jss, 164532, 0, 82261, timeout, none
la31.jss, 10010, 0, 5003, timeout, none
la32.jss, 14091, 0, 7043, timeout, none
la33.jss, 27400, 0, 13697, timeout, none
la34.jss, 15074, 0, 7535, timeout, none
la35.jss, 55162, 0, 27579, timeout, none
la36.jss, 81104, 0, 40548, timeout, none
la37.jss, 764982, 0, 382484, timeout, none
la38.jss, 163696, 0, 81841, timeout, none
la39.jss, 196686, 0, 98339, timeout, none
la40.jss, 105956, 0, 52975, timeout, none
