problem, nodes, solutions, fails, time, optimum
la01.jss, 2240784, 3, 1120304, timeout, 2043
la02.jss, 2937291, 2, 1468558, timeout, 1812
la03.jss, 2451094, 1, 1225462, timeout, 1564
la04.jss, 2586763, 3, 1293293, timeout, 1967
la05.jss, 581816, 1, 290807, 200.80s, 1637
la06.jss, 1193018, 1, 596302, timeout, 2559
la07.jss, 1452682, 1, 726134, timeout, 2597
la08.jss, 1056764, 2, 528171, timeout, 2711
la09.jss, 1132953, 1, 566269, timeout, 2876
la10.jss, 915737, 1, 457662, timeout, 3153
la11.jss, 737054, 1, 368150, timeout, 3532
la12.jss, 324202, 1, 161722, timeout, 3241
la13.jss, 783304, 1, 391276, timeout, 3419
la14.jss, 453569, 2, 226406, timeout, 3997
la15.jss, 282957, 1, 141100, timeout, 3789
la16.jss, 519246, 1, 259422, timeout, 3894
la17.jss, 695080, 2, 347340, timeout, 3834
la18.jss, 479611, 1, 239604, timeout, 4513
la19.jss, 764238, 2, 381921, timeout, 4083
la20.jss, 1031125, 1, 515364, timeout, 3883
la21.jss, 217822, 2, 108441, timeout, 6057
la22.jss, 209118, 1, 104089, timeout, 5976
la23.jss, 218686, 2, 108871, timeout, 6323
la24.jss, 122082, 1, 60568, timeout, 6254
la25.jss, 217869, 2, 108464, timeout, 5970
la26.jss, 96279, 1, 47286, timeout, 8436
la27.jss, 58019, 1, 28154, timeout, 8653
la28.jss, 59403, 1, 28846, timeout, 8152
la29.jss, 66475, 1, 32384, timeout, 7457
la30.jss, 57829, 1, 28059, timeout, 8085
la31.jss, 28290, 0, 12186, timeout, none
la32.jss, 28940, 0, 12511, timeout, none
la33.jss, 27844, 0, 11964, timeout, none
la34.jss, 28176, 0, 12130, timeout, none
la35.jss, 28862, 0, 12472, timeout, none
la36.jss, 102512, 1, 50523, timeout, 8917
