problem, nodes, solutions, fails, time, optimum
la01.jss, 186449, 4, 93134, timeout, 1983
la02.jss, 269954, 9, 134881, timeout, 1492
la03.jss, 450339, 4, 225078, timeout, 1405
la04.jss, 492914, 23, 246348, timeout, 1512
la05.jss, 311249, 5, 155529, timeout, 1393
la06.jss, 78772, 18, 39163, timeout, 2260
la07.jss, 77958, 24, 38748, timeout, 2245
la08.jss, 274120, 9, 136845, timeout, 2370
la09.jss, 190019, 4, 94794, timeout, 2812
la10.jss, 140905, 3, 70244, timeout, 2813
la11.jss, 46191, 6, 22713, timeout, 3295
la12.jss, 50890, 12, 25053, timeout, 2974
la13.jss, 74254, 7, 36741, timeout, 3199
la14.jss, 72193, 10, 35709, timeout, 3640
la15.jss, 29953, 7, 14592, timeout, 3486
la16.jss, 127842, 6, 63717, timeout, 3656
la17.jss, 148363, 7, 73975, timeout, 3564
la18.jss, 72824, 20, 36193, timeout, 3580
la19.jss, 276503, 3, 138044, timeout, 4045
la20.jss, 101895, 10, 50735, timeout, 3319
la21.jss, 25135, 9, 12090, timeout, 5617
la22.jss, 99495, 8, 49265, timeout, 5394
la23.jss, 9270, 19, 4145, timeout, 5697
la24.jss, 33319, 6, 16181, timeout, 5887
la25.jss, 15268, 15, 7149, timeout, 5192
la26.jss, 6376, 7, 2328, timeout, 8199
la27.jss, 3763, 5, 1150, timeout, 8328
la28.jss, 5091, 8, 1805, timeout, 7933
la29.jss, 3179, 4, 860, timeout, 7010
la30.jss, 4774, 5, 1530, timeout, 7805
la31.jss, 4177, 1, 171, timeout, 12256
la32.jss, 4179, 1, 173, timeout, 12337
la33.jss, 4179, 1, 173, timeout, 11324
la34.jss, 4171, 2, 166, timeout, 10688
la35.jss, 4179, 1, 173, timeout, 11259
