problem, nodes, solutions, fails, time, optimum
la01.jss, 281888, 4, 140855, timeout, 1983
la02.jss, 417239, 9, 208525, timeout, 1492
la03.jss, 593915, 4, 296851, timeout, 1405
la04.jss, 435674, 23, 217726, timeout, 1512
la05.jss, 285690, 5, 142742, timeout, 1393
la06.jss, 256954, 18, 128249, timeout, 2260
la07.jss, 125347, 24, 62442, timeout, 2245
la08.jss, 219187, 9, 109375, timeout, 2370
la09.jss, 153576, 4, 76571, timeout, 2812
la10.jss, 128406, 3, 63994, timeout, 2813
la11.jss, 65201, 6, 32218, timeout, 3295
la12.jss, 89172, 12, 44197, timeout, 2974
la13.jss, 60015, 7, 29623, timeout, 3199
la14.jss, 55782, 10, 27503, timeout, 3640
la15.jss, 68794, 7, 34011, timeout, 3486
la16.jss, 124579, 6, 62083, timeout, 3656
la17.jss, 100696, 7, 50140, timeout, 3564
la18.jss, 120390, 20, 59976, timeout, 3580
la19.jss, 157945, 3, 78762, timeout, 4045
la20.jss, 90600, 10, 45090, timeout, 3319
la21.jss, 24516, 9, 11780, timeout, 5617
la22.jss, 31423, 8, 15232, timeout, 5394
la23.jss, 9930, 19, 4474, timeout, 5697
la24.jss, 89862, 6, 44456, timeout, 5887
la25.jss, 14707, 15, 6869, timeout, 5192
la26.jss, 10986, 7, 4633, timeout, 8199
la27.jss, 3772, 5, 1153, timeout, 8328
la28.jss, 5134, 8, 1827, timeout, 7933
la29.jss, 3533, 4, 1036, timeout, 7010
la30.jss, 7155, 5, 2718, timeout, 7805
la31.jss, 4176, 1, 170, timeout, 12256
la32.jss, 4175, 1, 170, timeout, 12337
la33.jss, 4175, 1, 170, timeout, 11324
la34.jss, 4170, 2, 165, timeout, 10688
la35.jss, 4177, 1, 171, timeout, 11259
