problem, nodes, solutions, fails, time, optimum
la01.jss, 90150, 4, 44983, timeout, 1983
la02.jss, 311835, 9, 155822, timeout, 1492
la03.jss, 594159, 4, 296974, timeout, 1405
la04.jss, 289286, 23, 144534, timeout, 1512
la05.jss, 285720, 5, 142757, timeout, 1393
la06.jss, 206555, 18, 103053, timeout, 2260
la07.jss, 168356, 24, 83945, timeout, 2245
la08.jss, 136654, 9, 68112, timeout, 2370
la09.jss, 189266, 4, 94416, timeout, 2812
la10.jss, 138906, 3, 69242, timeout, 2813
la11.jss, 70361, 6, 34793, timeout, 3295
la12.jss, 56051, 12, 27635, timeout, 2974
la13.jss, 58344, 7, 28789, timeout, 3199
la14.jss, 31034, 10, 15130, timeout, 3640
la15.jss, 41379, 7, 20306, timeout, 3486
la16.jss, 150165, 6, 74877, timeout, 3656
la17.jss, 117398, 7, 58492, timeout, 3564
la18.jss, 74606, 20, 37084, timeout, 3580
la19.jss, 157292, 3, 78437, timeout, 4045
la20.jss, 40986, 10, 20282, timeout, 3319
la21.jss, 15622, 9, 7333, timeout, 5617
la22.jss, 22654, 8, 10847, timeout, 5394
la23.jss, 11497, 19, 5258, timeout, 5697
la24.jss, 73450, 6, 36250, timeout, 5887
la25.jss, 24175, 15, 11602, timeout, 5192
la26.jss, 11339, 7, 4811, timeout, 8199
la27.jss, 3777, 5, 1155, timeout, 8328
la28.jss, 5138, 8, 1829, timeout, 7933
la29.jss, 3527, 4, 1032, timeout, 7010
la30.jss, 11691, 5, 4988, timeout, 7805
la31.jss, 4171, 1, 167, timeout, 12256
la32.jss, 4171, 1, 167, timeout, 12337
la33.jss, 4171, 1, 167, timeout, 11324
la34.jss, 4168, 2, 164, timeout, 10688
la35.jss, 4175, 1, 169, timeout, 11259
