problem, nodes, solutions, fails, time, optimum
la01.jss, 26133, 4, 12973, timeout, 1983
la02.jss, 48011, 9, 23909, timeout, 1492
la03.jss, 55556, 4, 27657, timeout, 1405
la04.jss, 45109, 23, 22441, timeout, 1512
la05.jss, 48253, 6, 24012, timeout, 1393
la06.jss, 22066, 18, 10808, timeout, 2260
la07.jss, 25416, 25, 12470, timeout, 2245
la08.jss, 21723, 9, 10644, timeout, 2370
la09.jss, 22132, 5, 10847, timeout, 2812
la10.jss, 25368, 3, 12473, timeout, 2813
la11.jss, 11706, 6, 5464, timeout, 3295
la12.jss, 12978, 12, 6101, timeout, 2974
la13.jss, 11424, 7, 5324, timeout, 3199
la14.jss, 17004, 10, 8114, timeout, 3640
la15.jss, 9429, 7, 4326, timeout, 3486
la16.jss, 15088, 7, 7336, timeout, 3656
la17.jss, 13782, 8, 6644, timeout, 3564
la18.jss, 11402, 11, 5466, timeout, 3959
la19.jss, 10867, 6, 5220, timeout, 3800
la20.jss, 10502, 10, 5038, timeout, 3319
la21.jss, 6733, 11, 2885, timeout, 5617
la22.jss, 6065, 8, 2542, timeout, 5394
la23.jss, 7221, 20, 3351, timeout, 5697
la24.jss, 5393, 6, 2187, timeout, 5887
la25.jss, 8310, 15, 3664, timeout, 5192
la26.jss, 4019, 8, 1137, timeout, 8199
la27.jss, 3732, 5, 1131, timeout, 8328
la28.jss, 5115, 9, 1811, timeout, 7933
la29.jss, 3153, 5, 844, timeout, 7010
la30.jss, 3470, 5, 875, timeout, 7805
la31.jss, 4171, 1, 166, timeout, 12256
la32.jss, 4172, 2, 166, timeout, 12337
la33.jss, 4172, 1, 167, timeout, 11324
la34.jss, 4170, 2, 165, timeout, 10688
la35.jss, 4170, 2, 165, timeout, 11259
