problem, nodes, solutions, fails, time, optimum
la01.jss, 53785, 4, 26800, timeout, 1983
la02.jss, 60321, 9, 30064, timeout, 1492
la03.jss, 60528, 4, 30170, timeout, 1405
la04.jss, 59005, 23, 29392, timeout, 1512
la05.jss, 53036, 5, 26424, timeout, 1393
la06.jss, 24969, 18, 12259, timeout, 2260
la07.jss, 28549, 24, 14043, timeout, 2245
la08.jss, 27831, 9, 13698, timeout, 2370
la09.jss, 23691, 4, 11631, timeout, 2812
la10.jss, 26913, 3, 13245, timeout, 2813
la11.jss, 15403, 6, 7316, timeout, 3295
la12.jss, 13548, 12, 6382, timeout, 2974
la13.jss, 15043, 7, 7136, timeout, 3199
la14.jss, 16343, 10, 7782, timeout, 3640
la15.jss, 12932, 7, 6081, timeout, 3486
la16.jss, 16272, 6, 7930, timeout, 3656
la17.jss, 17395, 7, 8490, timeout, 3564
la18.jss, 17063, 20, 8311, timeout, 3580
la19.jss, 14085, 3, 6832, timeout, 4045
la20.jss, 14135, 10, 6856, timeout, 3319
la21.jss, 7543, 9, 3291, timeout, 5617
la22.jss, 7338, 8, 3185, timeout, 5394
la23.jss, 7763, 19, 3611, timeout, 5697
la24.jss, 6345, 6, 2694, timeout, 5887
la25.jss, 8614, 15, 3821, timeout, 5192
la26.jss, 4131, 7, 1203, timeout, 8199
la27.jss, 3749, 5, 1139, timeout, 8328
la28.jss, 5161, 8, 1835, timeout, 7933
la29.jss, 3248, 4, 890, timeout, 7010
la30.jss, 3874, 5, 1076, timeout, 7805
la31.jss, 4169, 1, 165, timeout, 12256
la32.jss, 4172, 1, 168, timeout, 12337
la33.jss, 4172, 1, 168, timeout, 11324
la34.jss, 4167, 2, 163, timeout, 10688
la35.jss, 4174, 1, 169, timeout, 11259
