problem, nodes, solutions, fails, time, optimum
la01.jss, 52806, 4, 26311, timeout, 1983
la02.jss, 55450, 9, 27629, timeout, 1492
la03.jss, 57613, 4, 28713, timeout, 1405
la04.jss, 57708, 23, 28745, timeout, 1512
la05.jss, 55850, 7, 27826, timeout, 1393
la06.jss, 23159, 19, 11352, timeout, 2260
la07.jss, 28520, 24, 14030, timeout, 2245
la08.jss, 26969, 9, 13268, timeout, 2370
la09.jss, 25178, 4, 12373, timeout, 2812
la10.jss, 28488, 6, 14029, timeout, 2813
la11.jss, 13624, 8, 6425, timeout, 3295
la12.jss, 12999, 12, 6108, timeout, 2974
la13.jss, 15702, 7, 7467, timeout, 3199
la14.jss, 16676, 10, 7949, timeout, 3640
la15.jss, 14369, 7, 6796, timeout, 3486
la16.jss, 16588, 6, 8089, timeout, 3656
la17.jss, 17512, 7, 8551, timeout, 3564
la18.jss, 17048, 20, 8303, timeout, 3580
la19.jss, 13999, 4, 6790, timeout, 4045
la20.jss, 14015, 16, 6788, timeout, 3319
la21.jss, 6057, 3, 2552, timeout, 5932
la22.jss, 7466, 8, 3251, timeout, 5394
la23.jss, 5978, 14, 2502, timeout, 5831
la24.jss, 6256, 14, 2641, timeout, 5887
la25.jss, 9033, 15, 4172, timeout, 5192
la26.jss, 4102, 7, 1191, timeout, 8199
la27.jss, 3755, 5, 1143, timeout, 8328
la28.jss, 5097, 20, 1794, timeout, 7933
la29.jss, 3174, 4, 858, timeout, 7010
la30.jss, 4001, 5, 1140, timeout, 7805
la31.jss, 4176, 1, 171, timeout, 12256
la32.jss, 4176, 1, 171, timeout, 12337
la33.jss, 4176, 1, 171, timeout, 11324
la34.jss, 4171, 2, 166, timeout, 10688
la35.jss, 4177, 1, 171, timeout, 11259
