problem, nodes, solutions, fails, time, optimum
la01.jss, 6209059, -1, 4765757, timeout, 666
la02.jss, 9148324, -1, 4688242, timeout, 655
la03.jss, 9874610, -1, 4022406, timeout, 588
la04.jss, 541579, -1, 277782, 35.01s, 574
la05.jss, 560519, -1, 245324, 23.01s, 532
la06.jss, 6833965, -1, 3947577, timeout, 815
la07.jss, 19330095, -1, 6268646, timeout, 853
la08.jss, 7220485, -1, 4294314, timeout, 863
la09.jss, 7669156, -1, 4973993, timeout, 969
la10.jss, 11334012, -1, 6347385, timeout, 958
la11.jss, 6558161, -1, 3330503, timeout, 1159
la12.jss, 10657873, -1, 5065808, timeout, 1039
la13.jss, 9199241, -1, 5091209, timeout, 1115
la14.jss, 10450800, -1, 4361509, timeout, 1292
la15.jss, 13945457, -1, 6069994, timeout, 1227
la16.jss, 289427, -1, 98983, 29.01s, 939
la17.jss, 453965, -1, 135585, 26.01s, 784
la18.jss, 407847, -1, 110532, 30.01s, 845
la19.jss, 100107, -1, 26421, 5.01s, 808
la20.jss, 325158, -1, 139733, 30.01s, 900
la21.jss, 6740002, -1, 2855954, timeout, 1164
la22.jss, 7873145, -1, 2851739, timeout, 1071
la23.jss, 6291688, -1, 3133743, timeout, 1032
la24.jss, 6413800, -1, 2759350, timeout, 989
la25.jss, 8921696, -1, 2934861, timeout, 1147
la26.jss, 4707476, -1, 2536160, timeout, 1253
la27.jss, 7769689, -1, 2304551, timeout, 1382
la28.jss, 8207648, -1, 3047274, timeout, 1392
la29.jss, 5267576, -1, 2936293, timeout, 1348
la30.jss, 4103467, -1, 1693492, timeout, 1340
la31.jss, 7976912, -1, 1887247, timeout, 1892
la32.jss, 8838305, -1, 2574696, timeout, 2108
la33.jss, 4997869, -1, 1930345, timeout, 1849
la34.jss, 3520683, -1, 1900743, timeout, 1842
la35.jss, 7956364, -1, 2961204, timeout, 1957
la36.jss, 4553135, -1, 1461380, timeout, 1340
la37.jss, 6343707, -1, 1813214, timeout, 1502
la38.jss, 6716363, -1, 1984135, timeout, 1370
la39.jss, 6961111, -1, 1660715, timeout, 1308
la40.jss, 10686688, -1, 2556445, timeout, 1386
