problem, nodes, solutions, fails, time, optimum
la01.jss, 157130643, 7, 78565268, timeout, 693
la02.jss, 443039390, 6, 221519654, timeout, 716
la03.jss, 423939104, 1, 211969528, timeout, 711
la04.jss, 129646248, 18, 64823029, timeout, 642
la05.jss, 562634724, 5, 281317318, timeout, 532
la06.jss, 519794764, 13, 259897277, timeout, 945
la07.jss, 483878275, 5, 241939086, timeout, 853
la08.jss, 279933549, 8, 139966715, timeout, 863
la09.jss, 278791862, 6, 139395875, timeout, 1046
la10.jss, 485333886, 4, 242666889, timeout, 967
la11.jss, 193775044, 8, 96887443, timeout, 1289
la12.jss, 186107517, 17, 93053600, timeout, 1064
la13.jss, 387487380, 4, 193743625, timeout, 1175
la14.jss, 170677580, 15, 85338669, timeout, 1292
la15.jss, 141880825, 11, 70940310, timeout, 1232
la16.jss, 231038246, 13, 115518955, timeout, 1046
la17.jss, 130345217, 10, 65172448, timeout, 821
la18.jss, 156226602, 16, 78113097, timeout, 912
la19.jss, 301501844, 11, 150750753, timeout, 934
la20.jss, 64692277, 14, 32345975, timeout, 1075
la21.jss, 179002572, 16, 89501037, timeout, 1234
la22.jss, 157162527, 8, 78581130, timeout, 1154
la23.jss, 338410947, 31, 169205128, timeout, 1112
la24.jss, 139736937, 35, 69867907, timeout, 1090
la25.jss, 167666633, 20, 83833093, timeout, 1242
la26.jss, 265358942, 17, 132679205, timeout, 1351
la27.jss, 270418659, 10, 135209168, timeout, 1639
la28.jss, 145270013, 10, 72634823, timeout, 1526
la29.jss, 83714630, 7, 41857167, timeout, 1458
la30.jss, 259125376, 7, 129562537, timeout, 1557
la31.jss, 148775683, 16, 74387562, timeout, 1963
la32.jss, 115121392, 8, 57560479, timeout, 2274
la33.jss, 110604087, 25, 55301629, timeout, 1979
la34.jss, 58516614, 11, 29258034, timeout, 2002
la35.jss, 144861573, 20, 72430471, timeout, 1989
la36.jss, 59312306, 20, 29655656, timeout, 1551
la37.jss, 196372462, 3, 98186115, timeout, 1640
la38.jss, 117015239, 34, 58507136, timeout, 1609
la39.jss, 175515913, 15, 87757732, timeout, 1443
la40.jss, 205310950, 11, 102655248, timeout, 1532
