problem, nodes, solutions, fails, time, optimum
ta01.jss, 140840, 0, 70415, timeout, none
ta02.jss, 177996, 0, 88995, timeout, none
ta03.jss, 246675, 0, 123335, timeout, none
ta04.jss, 34126, 0, 17061, timeout, none
ta05.jss, 55995, 0, 27994, timeout, none
ta06.jss, 69951, 0, 34972, timeout, none
ta07.jss, 125977, 0, 62986, timeout, none
ta08.jss, 54571, 0, 27282, timeout, none
ta09.jss, 86305, 0, 43149, timeout, none
ta10.jss, 105794, 0, 52894, timeout, none
ta11.jss, 22668, 0, 11328, timeout, none
ta12.jss, 26556, 0, 13273, timeout, none
ta13.jss, 24798, 0, 12397, timeout, none
ta14.jss, 23346, 0, 11669, timeout, none
ta15.jss, 17812, 0, 8904, timeout, none
ta16.jss, 35228, 0, 17608, timeout, none
ta17.jss, 32278, 0, 16136, timeout, none
ta18.jss, 18274, 0, 9134, timeout, none
ta19.jss, 53069, 0, 26531, timeout, none
ta20.jss, 29492, 0, 14744, timeout, none
ta21.jss, 34269, 0, 17132, timeout, none
ta22.jss, 20333, 0, 10162, timeout, none
ta23.jss, 11463, 0, 5729, timeout, none
ta24.jss, 51688, 0, 25840, timeout, none
ta25.jss, 9264, 0, 4631, timeout, none
ta26.jss, 11691, 0, 5842, timeout, none
ta27.jss, 26600, 0, 13298, timeout, none
ta28.jss, 13126, 0, 6557, timeout, none
ta29.jss, 17452, 0, 8722, timeout, none
ta30.jss, 18003, 0, 8999, timeout, none
ta31.jss, 7005, 0, 3500, timeout, none
ta32.jss, 3860, 0, 1928, timeout, none
ta33.jss, 2557, 0, 1277, timeout, none
ta34.jss, 2081, 0, 1039, timeout, none
ta35.jss, 2250, 0, 1123, timeout, none
ta36.jss, 3092, 0, 1544, timeout, none
ta37.jss, 7534, 0, 3764, timeout, none
ta38.jss, 6388, 0, 3191, timeout, none
ta39.jss, 8049, 0, 4019, timeout, none
ta40.jss, 2776, 0, 1386, timeout, none
ta41.jss, 2112, 0, 1053, timeout, none
ta42.jss, 3380, 0, 1687, timeout, none
ta43.jss, 2115, 0, 1053, timeout, none
ta44.jss, 1879, 0, 938, timeout, none
ta45.jss, 4105, 0, 2050, timeout, none
ta46.jss, 1080, 0, 536, timeout, none
ta47.jss, 1829, 0, 912, timeout, none
ta48.jss, 1015, 0, 506, timeout, none
ta49.jss, 3736, 0, 1866, timeout, none
ta50.jss, 1800, 0, 898, timeout, none
ta51.jss, 908, 0, 452, timeout, none
ta52.jss, 169, 0, 83, timeout, none
ta53.jss, 266, 0, 131, timeout, none
ta54.jss, 149, 0, 72, timeout, none
ta55.jss, 253, 0, 126, timeout, none
ta56.jss, 397, 0, 197, timeout, none
ta57.jss, 103, 0, 51, timeout, none
ta58.jss, 189, 0, 93, timeout, none
ta59.jss, 223, 0, 111, timeout, none
ta60.jss, 173, 0, 86, timeout, none
ta61.jss, 147, 0, 73, timeout, none
ta62.jss, 181, 0, 90, timeout, none
ta63.jss, 121, 0, 60, timeout, none
ta64.jss, 179, 0, 89, timeout, none
ta65.jss, 113, 0, 56, timeout, none
ta66.jss, 105, 0, 52, timeout, none
ta67.jss, 207, 0, 103, timeout, none
ta68.jss, 45, 0, 22, timeout, none
ta69.jss, 69, 0, 34, timeout, none
ta70.jss, 207, 0, 103, timeout, none
ta71.jss, 2, 0, 0, timeout, none
ta72.jss, 2, 0, 0, timeout, none
ta73.jss, 2, 0, 0, timeout, none
ta74.jss, 2, 0, 0, timeout, none
ta75.jss, 2, 0, 0, timeout, none
ta76.jss, 2, 0, 0, timeout, none
ta77.jss, 2, 0, 0, timeout, none
ta78.jss, 2, 0, 0, timeout, none
ta79.jss, 2, 0, 0, timeout, none
ta80.jss, 2, 0, 0, timeout, none
