problem, nodes, solutions, fails, time, optimum
ta01.jss, 11523759, -1, 2921697, timeout, 1405
ta02.jss, 9205501, -1, 3077493, timeout, 1343
ta03.jss, 10730024, -1, 2258387, timeout, 1398
ta04.jss, 3215486, -1, 1261215, timeout, 1259
ta05.jss, 3348111, -1, 2237242, timeout, 1343
ta06.jss, 4997444, -1, 1884955, timeout, 1343
ta07.jss, 8663909, -1, 1893540, timeout, 1291
ta08.jss, 4659569, -1, 2015411, timeout, 1293
ta09.jss, 3147633, -1, 1140139, timeout, 1334
ta10.jss, 5315044, -1, 1968908, timeout, 1382
ta11.jss, 8516498, -1, 2170970, timeout, 1518
ta12.jss, 5176338, -1, 1510875, timeout, 1589
ta13.jss, 9988376, -1, 1901902, timeout, 1537
ta14.jss, 5395606, -1, 1623846, timeout, 1502
ta15.jss, 8283551, -1, 2642474, timeout, 1679
ta16.jss, 4444397, -1, 1340767, timeout, 1496
ta17.jss, 12578913, -1, 2896653, timeout, 1663
ta18.jss, 4429328, -1, 2002343, timeout, 1597
ta19.jss, 4393309, -1, 1126490, timeout, 1498
ta20.jss, 4198491, -1, 1375004, timeout, 1522
ta21.jss, 6282799, -1, 1254421, timeout, 1834
ta22.jss, 5914523, -1, 1370425, timeout, 1786
ta23.jss, 5613854, -1, 1093617, timeout, 1723
ta24.jss, 9332403, -1, 1895260, timeout, 1897
ta25.jss, 3455603, -1, 934320, timeout, 1747
ta26.jss, 3266316, -1, 821452, timeout, 1809
ta27.jss, 15887078, -1, 2029101, timeout, 1988
ta28.jss, 3686219, -1, 1065537, timeout, 1745
ta29.jss, 4762093, -1, 1212490, timeout, 1818
ta30.jss, 8761516, -1, 1559716, timeout, 1786
ta31.jss, 8524883, -1, 1605127, timeout, 1986
ta32.jss, 11116363, -1, 2481422, timeout, 2192
ta33.jss, 4751168, -1, 1121188, timeout, 2068
ta34.jss, 5489355, -1, 1333100, timeout, 2325
ta35.jss, 9088374, -1, 3026461, timeout, 2347
ta36.jss, 5431503, -1, 1759027, timeout, 2231
ta37.jss, 12278580, -1, 2347134, timeout, 2061
ta38.jss, 5622270, -1, 1598815, timeout, 2058
ta39.jss, 2427393, -1, 698539, timeout, 2134
ta40.jss, 8806169, -1, 1435868, timeout, 2112
ta41.jss, 19894838, -1, 2093272, timeout, 2547
ta42.jss, 8586114, -1, 1150013, timeout, 2370
ta43.jss, 4512185, -1, 913978, timeout, 2378
ta44.jss, 4331587, -1, 1144338, timeout, 2505
ta45.jss, 7132828, -1, 1361770, timeout, 2693
ta46.jss, 6249778, -1, 1224927, timeout, 2481
ta47.jss, 2815148, -1, 828438, timeout, 2171
ta48.jss, 3815409, -1, 762414, timeout, 2344
ta49.jss, 3344787, -1, 654362, timeout, 2271
ta50.jss, 10101830, -1, 1837212, timeout, 2300
ta51.jss, 8895443, -1, 1952504, timeout, 3175
ta52.jss, 3476670, -1, 1085499, timeout, 3167
ta53.jss, 7374846, -1, 1561233, timeout, 3168
ta54.jss, 6054163, -1, 1537581, timeout, 3168
ta55.jss, 3669003, -1, 1226440, timeout, 3219
ta56.jss, 3045811, -1, 1053584, timeout, 3288
ta57.jss, 2172209, -1, 911439, timeout, 3321
ta58.jss, 3607602, -1, 1084870, timeout, 3318
ta59.jss, 10141227, -1, 2435730, timeout, 3309
ta60.jss, 3980586, -1, 938279, timeout, 3147
ta61.jss, 5998485, -1, 1114320, timeout, 3434
ta62.jss, 3648723, -1, 641433, timeout, 3593
ta63.jss, 3093902, -1, 633510, timeout, 3332
ta64.jss, 2007107, -1, 584699, timeout, 3273
ta65.jss, 2301244, -1, 565141, timeout, 3361
ta66.jss, 2113504, -1, 465064, timeout, 3460
ta67.jss, 4633266, -1, 909474, timeout, 3513
ta68.jss, 2729587, -1, 542545, timeout, 3278
ta69.jss, 4745941, -1, 725588, timeout, 3556
ta70.jss, 4401182, -1, 986300, timeout, 3476
ta71.jss, 4969675, -1, 768527, timeout, 6186
ta72.jss, 2632254, -1, 602848, timeout, 6027
ta73.jss, 1402855, -1, 265370, timeout, 6117
ta74.jss, 1752377, -1, 384764, timeout, 6308
ta75.jss, 2544215, -1, 497500, timeout, 6308
ta76.jss, 2033919, -1, 541901, timeout, 6328
ta77.jss, 1861782, -1, 486588, timeout, 6118
ta78.jss, 4178250, -1, 675868, timeout, 6190
ta79.jss, 2124669, -1, 476297, timeout, 6198
ta80.jss, 1414006, -1, 229354, timeout, 5732
