problem, nodes, solutions, fails, time, optimum
ta01.jss, 139280855, 9, 69640245, timeout, 1572
ta02.jss, 169697731, 24, 84848418, timeout, 1367
ta03.jss, 170685025, 14, 85342267, timeout, 1524
ta04.jss, 118218692, 19, 59109001, timeout, 1388
ta05.jss, 31895245, 29, 15947086, timeout, 1402
ta06.jss, 201829923, 15, 100914526, timeout, 1510
ta07.jss, 132521678, 7, 66260678, timeout, 1474
ta08.jss, 165691042, 5, 82845361, timeout, 1408
ta09.jss, 181338301, 23, 90668555, timeout, 1482
ta10.jss, 74488290, 16, 37243778, timeout, 1480
ta11.jss, 112980836, 38, 56489724, timeout, 1612
ta12.jss, 128988377, 26, 64493605, timeout, 1758
ta13.jss, 93530874, 30, 46764803, timeout, 1690
ta14.jss, 184931079, 41, 92464479, timeout, 1646
ta15.jss, 102413835, 8, 51206687, timeout, 1759
ta16.jss, 18338383, 38, 9168248, timeout, 1651
ta17.jss, 125261653, 62, 62629801, timeout, 1736
ta18.jss, 64055870, 23, 32027435, timeout, 1777
ta19.jss, 125806417, 10, 62902897, timeout, 1785
ta20.jss, 47368947, 39, 23683736, timeout, 1781
ta21.jss, 26252154, 44, 13124973, timeout, 1992
ta22.jss, 43230959, 16, 21615074, timeout, 1995
ta23.jss, 65667082, 1, 32833341, timeout, 2054
ta24.jss, 52853093, 47, 26425206, timeout, 2044
ta25.jss, 85462967, 28, 42730512, timeout, 1969
ta26.jss, 97965345, 22, 48981744, timeout, 2044
ta27.jss, 105808763, 24, 52903614, timeout, 2273
ta28.jss, 47660520, 36, 23828885, timeout, 1885
ta29.jss, 141896419, 4, 70947965, timeout, 2097
ta30.jss, 134085292, 46, 67041157, timeout, 1866
ta31.jss, 66827670, 10, 33413477, timeout, 2262
ta32.jss, 24731857, 16, 12365471, timeout, 2367
ta33.jss, 24295643, 50, 12146669, timeout, 2351
ta34.jss, 40189441, 12, 20094331, timeout, 2580
ta35.jss, 118477312, 14, 59238275, timeout, 2424
ta36.jss, 101546331, 16, 50772692, timeout, 2350
ta37.jss, 43710797, 21, 21854901, timeout, 2194
ta38.jss, 58691784, 33, 29344921, timeout, 2162
ta39.jss, 92812456, 15, 46405810, timeout, 2416
ta40.jss, 100308303, 10, 50153789, timeout, 2359
ta41.jss, 55097864, 43, 27547438, timeout, 2734
ta42.jss, 43017041, 42, 21507223, timeout, 2703
ta43.jss, 24967269, 60, 12481704, timeout, 2645
ta44.jss, 92898918, 19, 46448790, timeout, 2691
ta45.jss, 55678694, 18, 27838892, timeout, 2829
ta46.jss, 78399616, 21, 39199275, timeout, 2729
ta47.jss, 51286437, 53, 25641612, timeout, 2436
ta48.jss, 56913067, 6, 28456185, timeout, 2870
ta49.jss, 71160005, 30, 35579281, timeout, 2774
ta50.jss, 85562805, 20, 42780833, timeout, 2494
ta51.jss, 53907851, 27, 26953103, timeout, 3312
ta52.jss, 68925846, 40, 34461879, timeout, 3249
ta53.jss, 58980223, 31, 29489281, timeout, 3310
ta54.jss, 58985539, 31, 29491939, timeout, 3296
ta55.jss, 44907898, 22, 22453363, timeout, 3366
ta56.jss, 32131086, 17, 16064910, timeout, 3505
ta57.jss, 53716712, 23, 26857647, timeout, 3480
ta58.jss, 70470300, 30, 35234172, timeout, 3525
ta59.jss, 51092743, 15, 25545821, timeout, 3398
ta60.jss, 41537051, 29, 20767731, timeout, 3454
ta61.jss, 30218499, 71, 15106846, timeout, 3597
ta62.jss, 49316352, 21, 24657206, timeout, 4145
ta63.jss, 61429068, 44, 30713158, timeout, 3630
ta64.jss, 56885803, 39, 28441251, timeout, 3375
ta65.jss, 30686657, 29, 15342410, timeout, 3714
ta66.jss, 42294148, 8, 21146473, timeout, 3952
ta67.jss, 59902960, 16, 29950634, timeout, 3838
ta68.jss, 20255251, 89, 10124545, timeout, 3531
ta69.jss, 31753164, 12, 15875882, timeout, 4009
ta70.jss, 59079597, 25, 29538844, timeout, 3737
ta71.jss, 20542478, 26, 10269921, timeout, 6338
ta72.jss, 29201157, 16, 14599250, timeout, 6230
ta73.jss, 26788203, 23, 13392807, timeout, 6464
ta74.jss, 15937645, 25, 7967355, timeout, 6570
ta75.jss, 21253370, 104, 10622525, timeout, 6470
ta76.jss, 24238284, 33, 12117536, timeout, 6552
ta77.jss, 23232040, 5, 11614976, timeout, 6443
ta78.jss, 21845092, 33, 10921053, timeout, 6348
ta79.jss, 23045451, 25, 11521314, timeout, 6396
ta80.jss, 29148258, 1, 14573125, timeout, 6276
